celltype_update	total_cells	age_mean	age_shh_weighted
Epiblast	11315	1.9774635439681838	1.6387485390632022
Primitive streak	7573	2.2544566222104847	1.9218891459611709
Extraembryonic ectoderm	10351	3.588059124722249	2.4072472881622384
Nascent mesoderm	5501	2.7562261407016906	2.6762772098503884
Definitive endoderm	354	3.3192090395480225	3.1831325301204814
Anterior primitive streak	893	2.541993281075028	3.4783215282249413
Extraembryonic visceral endoderm	8894	4.365302451090623	3.615744258079598
Embryonic visceral endoderm	1260	3.15	4.707892666724938
Primordial germ cells	380	3.892105263157895	5.165441706297738
Hematoendothelial progenitors	2598	5.57197844495766	5.193701399688958
Blood progenitors	2978	5.301880456682337	5.433704407638699
Extraembryonic mesoderm	3194	5.718847839699436	5.445533357370507
Definitive ectoderm	6516	5.124309392265193	5.709787438715778
Notochord	952	5.131302521008403	5.861117705535856
Amniotic mesoderm	1152	6.6640625	6.057164213431463
Cardiopharyngeal mesoderm	2214	5.9286359530261965	6.093416423761182
Intermediate mesoderm	1064	5.9718045112781954	6.10156606889766
Paraxial mesoderm (Tbx6+)	6185	6.044462409054163	6.140950618952095
Allantois	2804	6.56169757489301	6.214629937865465
Amniotic ectoderm	524	6.351145038167939	6.441620225635449
Gut	1896	6.431434599156118	6.468793419121943
Forebrain	1429	7.395381385584325	6.6836210170922135
Primitive erythroid cells	6732	6.991532976827094	6.688456082505846
Surface ectoderm	2795	6.746690518783542	6.800362285749079
Gut mesenchyme	1065	6.949295774647887	6.8294282431793585
Paraxial mesoderm (Tbx6-)	3107	6.832635983263598	6.86916664143042
CLE and NMPs	4992	6.545873397435898	6.957633776056415
Endothelium	982	7.2922606924643585	7.077355623100304
Spinal cord	2150	7.147906976744186	7.167634860243839
Lateral plate mesoderm	2580	7.1468992248062015	7.21713978623037
Floor plate	258	7.441860465116279	7.232915196946251
Cardiogenic mesoderm	877	7.246294184720639	7.519393741851369
Midbrain	1228	7.493485342019544	7.52989117633203
Hindbrain	1075	7.56	7.582155574502231
Neural crest	721	7.783633841886269	7.988870339454647
Parietal endoderm	268	3.014925373134328	NA
