celltype_new	total_cells	age_mean	age_weighted
Epiblast	11315	11.864781263809103	11.864781263809103
Primitive streak	7573	13.526739733262907	13.526739733262907
Anterior primitive streak	893	15.251959686450167	15.251959686450167
Nascent mesoderm	5501	16.537356844210144	16.537356844210144
Parietal endoderm	268	18.08955223880597	18.08955223880597
Embryonic visceral endoderm	1260	18.9	18.9
Definitive endoderm	354	19.915254237288135	19.915254237288135
Extraembryonic ectoderm	10351	21.528354748333495	21.528354748333495
Primordial germ cells	380	23.352631578947367	23.352631578947367
Extraembryonic visceral endoderm	8894	26.191814706543738	26.191814706543738
Definitive ectoderm	6516	30.74585635359116	30.74585635359116
Notochord	952	30.787815126050422	30.78781512605042
Blood progenitors	2978	31.811282740094022	31.811282740094025
Hematoendothelial progenitors	2598	33.43187066974596	33.431870669745955
Extraembryonic mesoderm	3194	34.31308703819662	34.31308703819662
Cardiopharyngeal mesoderm	2214	35.57181571815718	35.57181571815718
Intermediate mesoderm	1064	35.830827067669176	35.83082706766917
Paraxial mesoderm (Tbx6+)	6185	36.26677445432498	36.26677445432498
Amniotic ectoderm	524	38.10687022900763	38.10687022900763
Gut	1896	38.58860759493671	38.58860759493671
CLE and NMPs	4992	39.27524038461539	39.27524038461539
Allantois	2804	39.37018544935806	39.37018544935806
Amniotic mesoderm	1152	39.984375	39.984375
Surface ectoderm	2795	40.48014311270125	40.48014311270125
Paraxial mesoderm (Tbx6-)	3107	40.995815899581586	40.995815899581586
Gut mesenchyme	1065	41.695774647887326	41.695774647887326
Primitive erythroid cells	6732	41.94919786096256	41.94919786096257
Lateral plate mesoderm	2580	42.88139534883721	42.88139534883721
Spinal cord	2150	42.88744186046512	42.88744186046512
Cardiogenic mesoderm	877	43.47776510832383	43.47776510832383
Endothelium	982	43.75356415478615	43.753564154786154
Forebrain	1429	44.37228831350595	44.372288313505955
Floor plate	258	44.651162790697676	44.651162790697676
Midbrain	1228	44.960912052117266	44.960912052117266
Hindbrain	1075	45.36	45.36
Neural crest	721	46.70180305131761	46.70180305131761
