system	celltype_new	total_cells	age_mean	age_weighted
Blood	Primitive erythroid cells	108605	53.43544035725795	53.43544035725795
Blood	Megakaryocytes	12442	120.0544928468092	120.0544928468092
Blood	Megakaryocyte-erythroid progenitors	11206	138.04604676066393	138.04604676066393
Blood	Hematopoietic stem cells (Cd34+)	31693	149.74499100747798	149.74499100747798
Blood	Microglia	4642	167.61999138302457	167.61999138302457
Blood	T-NK progenitors	987	173.59270516717325	173.59270516717325
Blood	Border-associated macrophages	42271	174.3246197156443	174.3246197156443
Blood	Definitive early erythroblasts (CD36-)	741363	177.95703319426516	177.95703319426516
Blood	Granulocytes	2845	183.51353251318102	183.51353251318102
Blood	B cell progenitors	1023	190.9090909090909	190.9090909090909
Blood	Hematopoietic stem cells (Mpo+)	15396	196.37334372564302	196.37334372564302
Blood	Definitive erythroblasts (CD36+)	73181	198.67878274415492	198.67878274415492
Blood	Kupffer cells	19084	199.47138964577655	199.47138964577655
Blood	Plasmacytoid dendritic cells	685	200.1021897810219	200.1021897810219
Blood	Monocytes	19516	201.30221356835418	201.30221356835418
Blood	Conventional dendritic cells	2600	202.12153846153845	202.12153846153845
Blood	Mast cells	13184	205.17324029126215	205.17324029126215
Blood	Osteoclasts	2147	207.84257102934328	207.84257102934328
Blood	Natural killer cells	1400	215.30142857142857	215.30142857142857
Blood	Monocytic myeloid-derived suppressor cells	15310	215.98628347485302	215.98628347485305
Blood	Regulatory T cells	4765	216.06925498426023	216.06925498426023
Blood	Border-associated macrophages (Ms4a8a+)	1728	221.07638888888889	221.07638888888889
Blood	B cells	19693	227.87721525415122	227.87721525415122
Blood	PMN myeloid-derived suppressor cells	7462	231.5532028946663	231.55320289466633
Blood	Adipose tissue macrophages	2293	232.63148713475795	232.63148713475798
Blood	T cells	22815	237.15739644970415	237.15739644970415
Blood	Activated T cells	1304	249.59815950920245	249.59815950920245
Brain_spinal_cord	NMPs and spinal cord progenitors	53719	28.922280757273963	28.92228075727396
Brain_spinal_cord	Midbrain-hindbrain boundary	66056	41.420673368051354	41.420673368051354
Brain_spinal_cord	Anterior roof plate	16080	45.76194029850746	45.76194029850746
Brain_spinal_cord	Posterior roof plate	11564	48.34296091317883	48.342960913178835
Brain_spinal_cord	Floorplate and p3 domain	44899	49.6645359584846	49.6645359584846
Brain_spinal_cord	Spinal cord/r7/r8	395141	55.24201234496041	55.24201234496041
Brain_spinal_cord	Hypothalamus (Sim1+)	14571	57.179328803788344	57.179328803788344
Brain_spinal_cord	Hindbrain	196381	58.93865496152886	58.93865496152886
Brain_spinal_cord	Anterior floor plate	16234	68.01318221017617	68.01318221017617
Brain_spinal_cord	Diencephalon	77273	71.9117932524944	71.9117932524944
Brain_spinal_cord	Hypothalamus	52884	73.17982754708419	73.17982754708419
Brain_spinal_cord	Neural progenitor cells (Neurod1+)	23099	79.31694012727824	79.31694012727824
Brain_spinal_cord	Dorsal telencephalon	29378	83.26250936074614	83.26250936074614
Brain_spinal_cord	Midbrain	143471	83.546291585059	83.546291585059
Brain_spinal_cord	Telencephalon	413590	105.6160883967214	105.6160883967214
Brain_spinal_cord	Spinal cord dorsal progenitors (after E13.0)	8087	129.55162606652652	129.55162606652652
Brain_spinal_cord	Spinal cord ventral progenitors (after E13.0)	1965	130.28396946564885	130.28396946564885
Brain_spinal_cord	Cajal-Retzius cells	67799	137.93929113998732	137.93929113998732
Brain_spinal_cord	Choroid plexus	7264	139.89151982378854	139.89151982378854
