system	celltype_new	total_cells	age_mean	age_weighted
Blood	Activated T cells	1304	42.59969325153374	43.86438071683025
Blood	Adipose tissue macrophages	2293	39.77191452245966	39.415010460104135
Blood	B cell progenitors	1023	32.81818181818182	33.17589047889176
Blood	B cells	19693	38.97953587569187	39.584422816485265
Blood	Border-associated macrophages	42271	30.054079629060112	30.425008162302174
Blood	Border-associated macrophages (Ms4a8a+)	1728	37.842592592592595	37.859653388261975
Blood	Conventional dendritic cells	2600	34.68692307692308	35.90002104765782
Blood	Definitive early erythroblasts (CD36-)	741363	30.65950418351063	30.695247147460503
Blood	Definitive erythroblasts (CD36+)	73181	34.113130457359155	35.68295638542336
Blood	Granulocytes	2845	31.58558875219684	31.642186392982207
Blood	Hematopoietic stem cells (Cd34+)	31693	25.957466948537533	26.85552296339827
Blood	Hematopoietic stem cells (Mpo+)	15396	33.728890620940504	35.481474696214924
Blood	Kupffer cells	19084	34.24523160762943	33.33123333000244
Blood	Mast cells	13184	35.19554004854369	35.08821021584147
Blood	Megakaryocyte-erythroid progenitors	11206	24.007406746385865	24.029584810133013
Blood	Megakaryocytes	12442	21.00884102234367	21.45279141720714
Blood	Microglia	4642	28.936665230504097	28.85070875726104
Blood	Monocytes	19516	34.55036892805903	32.69931846896988
Blood	Monocytic myeloid-derived suppressor cells	15310	36.997713912475504	35.2199026753726
Blood	Natural killer cells	1400	36.88285714285714	37.99644722718983
Blood	Osteoclasts	2147	35.640428504890544	35.51043681144635
Blood	PMN myeloid-derived suppressor cells	7462	39.59220048244438	38.25549950898394
Blood	Plasmacytoid dendritic cells	685	34.35036496350365	34.32459078749369
Blood	Primitive erythroid cells	108605	9.883458404309192	10.447194712604544
Blood	Regulatory T cells	4765	37.0115424973767	38.57016912462018
Blood	T cells	22815	40.52623274161736	40.27329241456016
Blood	T-NK progenitors	987	29.931104356636272	29.859142459442694
Gut	Airway club cells	2265	41.29668874172185	39.73165425646591
Gut	Airway goblet cells	135	38.75555555555555	39.021139931346994
Gut	Alveolar Type 1 cells	5304	41.65742835595777	41.022347613964
Gut	Alveolar Type 2 cells	7181	42.0350926054867	42.318340244969896
Gut	Biliary epithelial cells	1066	32.50562851782364	32.90269488630407
Gut	Extraembryonic visceral endoderm	1660	2.6349397590361447	2.822845131208565
Gut	Foregut epithelial cells	3988	33.1993480441324	32.66388047801252
Gut	Gut	21281	7.69362341995207	7.770594416214636
Gut	Hepatocytes	156655	33.21736937857074	31.88902550198167
Gut	Intestinal enteroendocrine cells	220	37.804545454545455	37.091896072772954
Gut	Intestinal goblet cells	952	35.858193277310924	35.11732789073212
Gut	Lung cells (Eln+)	254	40.18897637795275	38.18897637795275
Gut	Lung progenitor cells	28164	32.7070728589689	32.63265133352364
Gut	Midgut/Hindgut epithelial cells	29802	35.48456479430911	35.538613244641205
Gut	Pancreatic acinar cells	3480	30.792816091954023	30.44703274453358
Gut	Pancreatic islets	932	30.266094420600854	30.67649096017743
Gastrulation	Epiblast	11315	11.864781263809103	11.864781263809103
Gastrulation	Primitive streak	7573	13.526739733262907	13.526739733262907
Gastrulation	Anterior primitive streak	893	15.251959686450167	15.251959686450167
Gastrulation	Nascent mesoderm	5501	16.537356844210144	16.537356844210144
Gastrulation	Parietal endoderm	268	18.08955223880597	18.08955223880597
Gastrulation	Embryonic visceral endoderm	1260	18.9	18.9
Gastrulation	Definitive endoderm	354	19.915254237288135	19.915254237288135
Gastrulation	Extraembryonic ectoderm	10351	21.528354748333495	21.528354748333495
Gastrulation	Primordial germ cells	380	23.352631578947367	23.352631578947367
Gastrulation	Extraembryonic visceral endoderm	8894	26.191814706543738	26.191814706543738
Gastrulation	Definitive ectoderm	6516	30.74585635359116	30.74585635359116
Gastrulation	Notochord	952	30.787815126050422	30.78781512605042
Gastrulation	Blood progenitors	2978	31.811282740094022	31.811282740094025
Gastrulation	Hematoendothelial progenitors	2598	33.43187066974596	33.431870669745955
Gastrulation	Extraembryonic mesoderm	3194	34.31308703819662	34.31308703819662
Gastrulation	Cardiopharyngeal mesoderm	2214	35.57181571815718	35.57181571815718
Gastrulation	Intermediate mesoderm	1064	35.830827067669176	35.83082706766917
Gastrulation	Paraxial mesoderm (Tbx6+)	6185	36.26677445432498	36.26677445432498
Gastrulation	Amniotic ectoderm	524	38.10687022900763	38.10687022900763
Gastrulation	Gut	1896	38.58860759493671	38.58860759493671
Gastrulation	CLE and NMPs	4992	39.27524038461539	39.27524038461539
Gastrulation	Allantois	2804	39.37018544935806	39.37018544935806
Gastrulation	Amniotic mesoderm	1152	39.984375	39.984375
Gastrulation	Surface ectoderm	2795	40.48014311270125	40.48014311270125
Gastrulation	Paraxial mesoderm (Tbx6-)	3107	40.995815899581586	40.995815899581586
Gastrulation	Gut mesenchyme	1065	41.695774647887326	41.695774647887326
Gastrulation	Primitive erythroid cells	6732	41.94919786096256	41.94919786096257
Gastrulation	Lateral plate mesoderm	2580	42.88139534883721	42.88139534883721
Gastrulation	Spinal cord	2150	42.88744186046512	42.88744186046512
Gastrulation	Cardiogenic mesoderm	877	43.47776510832383	43.47776510832383
Gastrulation	Endothelium	982	43.75356415478615	43.753564154786154
Gastrulation	Forebrain	1429	44.37228831350595	44.372288313505955
Gastrulation	Floor plate	258	44.651162790697676	44.651162790697676
Gastrulation	Midbrain	1228	44.960912052117266	44.960912052117266
Gastrulation	Hindbrain	1075	45.36	45.36
Gastrulation	Neural crest	721	46.70180305131761	46.70180305131761
Notochord	Ciliated nodal cells	60	0.6666666666666666	0.4849904598975228
Notochord	Notochord	3745	6.436048064085448	5.981110453932646
Endothelium	Arterial endothelial cells	23238	15.691109389792585	15.892289172351457
Endothelium	Brain capillary endothelial cells	11258	22.678806182270385	22.22059524082163
Endothelium	Brain pericytes	1609	30.148539465506527	31.11828325149389
Endothelium	Endocardial cells	12185	12.716044316782927	12.53385432381544
Endothelium	Endothelium	87850	12.034604439385314	12.305081784747145
Endothelium	Glomerular endothelial cells	10331	36.28787145484464	36.53230881506355
Endothelium	Hematoendothelial progenitors	9693	4.612813370473537	4.372629044120434
Endothelium	Liver sinusoidal endothelial cells	18008	33.18319635717459	34.309698143180114
Endothelium	Lymphatic vessel endothelial cells	9999	33.89348934893489	34.35963281256564
Endothelium	Microvascular endothelial cells	2888	38.74445983379501	38.81576765136392
Endothelium	Pericytes	11678	26.640863161500256	26.812703279035308
Endothelium	Venous and capillary endothelial cells	29811	38.27899097648519	38.81411211112566
Epithelial_cells	Amniotic ectoderm	11493	7.50152266597059	7.532759552859062
Epithelial_cells	Apical ectodermal ridge	6328	10.674936788874842	9.498369695665385
Epithelial_cells	Basal keratinocytes	13356	34.93845462713387	35.149269441980536
Epithelial_cells	Bladder urothelial cells	536	37.3134328358209	37.02920734105827
Epithelial_cells	Branchial arch epithelium	29374	25.73517396336897	25.847871944191464
Epithelial_cells	Cochlear hair cells	248	36.354838709677416	36.79717365383567
Epithelial_cells	Conjunctival goblet cells	566	37.17667844522968	38.25728408246055
Epithelial_cells	Corneal epithelial cells	894	36.391498881431765	35.83818956138062
Epithelial_cells	Dental epithelial cells	4112	35.11843385214008	36.08567373453683
Epithelial_cells	Granular keratinocytes	33413	28.2499027324694	28.466314743885803
Epithelial_cells	Lens epithelial cells	654	31.051987767584095	31.762780585441067
Epithelial_cells	Nonsensory cochlear epithelium	30	39.56666666666667	40.30893726318542
Epithelial_cells	Olfactory bulb cells	3454	28.154313839027218	28.617844226386865
Epithelial_cells	Olfactory epithelial cells	29880	15.33413654618474	14.8546044249727
Epithelial_cells	Olfactory pit cells	2080	7.719230769230769	7.687590238669733
Epithelial_cells	Otic epithelial cells	26153	14.266049783963595	14.543165459114613
Epithelial_cells	Parathyroid epithelial cells	199	25.97989949748744	25.396420441967788
Epithelial_cells	Pineal gland	155	39.303225806451614	38.86765407124673
Epithelial_cells	Pituitary gland cells	2980	31.668456375838925	32.071233257012295
Epithelial_cells	Pituitary/Pineal gland progenitors	2366	20.362214708368555	20.770578118843478
Epithelial_cells	Placodal area	59952	7.190969442220443	7.350172509814615
Epithelial_cells	Pre-epidermal keratinocytes	112634	12.419819947795515	12.049528142257325
Epithelial_cells	Primordial germ cells	1384	23.57369942196532	22.93855829016844
Epithelial_cells	Thymic epithelial cells	912	32.584429824561404	33.65292749191887
Epithelial_cells	Thyroid gland cells	936	34.3525641025641	34.54126669360193
Epithelial_cells	Tooth junctional epithelium	905	38.550276243093926	38.62028955001262
Eye	Amacrine cells	2609	40.87504791107704	40.7753222705037
Eye	Amacrine/Horizontal precursor cells	2320	36.30560344827586	35.398448556996435
Eye	Bipolar precursor cells	1105	39.41990950226244	39.912003452646886
Eye	Cholinergic amacrine cells	580	39.18448275862069	39.01061603620683
Eye	Ciliary margin cells	553	24.918625678119348	24.809566471570967
Eye	Cone precursor cells	2793	36.93197278911565	37.64925652017528
Eye	Eye field	42457	7.830251784158091	8.119862889068393
Eye	Horizontal cells	471	35.76645435244161	36.813107921210474
Eye	Iris pigment epithelium	236	35.17372881355932	34.81975593867427
Eye	Naive retinal progenitor cells	22496	34.066678520625885	34.53983356319809
Eye	Optic stalk	3437	13.6491125981961	14.255105470726752
Eye	PV-containing retinal ganglion cells	742	33.66576819407008	32.86399119552576
Eye	Photoreceptor precursor cells	1540	40.176623376623375	39.475164904431594
Eye	Retinal ganglion cells	6903	33.147037519918875	32.338532443224345
Eye	Retinal pigment cells	1850	22.778378378378378	21.952251870167945
Eye	Retinal progenitor cells	4757	35.38805970149254	35.44776134262107
Eye	Rod precursor cells	467	42.63169164882227	43.18691533752408
Eye	Suprachiasmatic nucleus	4116	26.849125364431487	27.59894432241461
Renal	Anterior intermediate mesoderm	7833	7.677390527256479	8.043300667901498
Renal	Ascending loop of Henle	1728	39.9369212962963	39.1228463755476
Renal	Collecting duct intercalated cells	182	39.96703296703296	41.467818605160716
Renal	Collecting duct principal cells	840	38.62380952380953	38.09526036135436
Renal	Connecting tubule	254	39.346456692913385	39.43118733972782
Renal	Distal convoluted tubule	639	39.90297339593114	39.56052986245229
Renal	Metanephric mesenchyme	16036	33.3190321776004	33.23132531865703
Renal	Nephron progenitors	11348	35.73528375044061	35.8766915782678
Renal	Podocytes	2396	38.69198664440734	38.786561311776474
Renal	Posterior intermediate mesoderm	10584	8.829837490551776	8.820635702904779
Renal	Proximal tubule cells	7609	38.58259955316073	38.668204784260396
Renal	Renal pericytes and mesangial cells	7231	10.531185174941225	10.341360996964085
Renal	Ureteric bud	3705	28.373009446693658	28.047217225140326
Renal	Ureteric bud stalk	253	29.08300395256917	27.99284787263915
Mesoderm	Adipocyte cells (Cyp2e1+)	4767	41.8246276484162	41.50405576568115
Mesoderm	Adipocyte progenitor cells	19151	34.963605033679706	34.58405692652449
Mesoderm	Brown adipocyte cells	42631	41.015528605944034	43.015528605944034
Mesoderm	Chondrocytes (Atp1a2+)	97338	23.033676467566615	22.257549426363617
Mesoderm	Chondrocytes (Otor+)	6521	35.58503297040331	35.687872130210415
Mesoderm	Dermatome	159301	26.88259332960873	25.949338494930416
Mesoderm	Dermomyotome	131041	8.742912523561326	8.205510758535159
Mesoderm	Early chondrocytes	130217	24.171982152867898	24.245066490289187
Mesoderm	Facial mesenchyme	378403	12.041289313245407	11.630046069610733
Mesoderm	Fibroblasts	473634	29.335898605252147	29.33469585879672
Mesoderm	Mesodermal progenitors (Tbx6+)	50325	5.868375558867362	5.72946034349573
Mesoderm	Muscle progenitor cells	26992	14.867997925311204	14.589976922364999
Mesoderm	Muscle progenitor cells (Prdm1+)	5017	10.228224038269882	9.445265893202123
Mesoderm	Myoblasts	149216	28.45436146257774	27.661584669391406
Mesoderm	Myofibroblasts	39998	28.426821341067058	28.54295127282206
Mesoderm	Myotubes	22340	32.48491495076097	32.88504503328093
Mesoderm	Pre-osteoblasts (Sp7+)	86242	36.04897845597273	35.67642090980682
Mesoderm	Sclerotome	475696	11.561448908546623	11.561474424979961
Lateral_plate_mesoderm	Adrenocortical cells	2148	36.0512104283054	36.900019302712344
Lateral_plate_mesoderm	Airway smooth muscle cells	4926	36.18229801055623	37.27340487941188
Lateral_plate_mesoderm	Allantois	31010	7.087294421154467	6.712301265585035
Lateral_plate_mesoderm	Amniotic mesoderm	25231	10.97237525266537	10.925758664455167
Lateral_plate_mesoderm	Atrial cardiomyocytes	1005	30.97313432835821	31.794130647963218
Lateral_plate_mesoderm	Cardiopharyngeal mesoderm	19277	7.512320381802147	7.348912471816769
Lateral_plate_mesoderm	Extraembryonic mesoderm	57523	5.6804408671314075	5.663562218737729
Lateral_plate_mesoderm	First heart field	28638	7.737237237237238	7.7070056248826235
Lateral_plate_mesoderm	Foregut mesenchyme	17976	10.387572318647086	10.042277768335419
Lateral_plate_mesoderm	Gastrointestinal smooth muscle cells	7825	35.00038338658147	34.67092125373224
Lateral_plate_mesoderm	Gonad progenitor cells	4229	15.92504138094112	15.911256511969722
Lateral_plate_mesoderm	Granulosa cells	76	38.63157894736842	38.30346045146648
Lateral_plate_mesoderm	Gut mesenchyme	56937	16.55085445316754	17.082057703618695
Lateral_plate_mesoderm	Hepatic mesenchyme	24510	19.773684210526312	19.522036025950598
Lateral_plate_mesoderm	Leydig cells	245	34.84897959183674	34.52898647906086
Lateral_plate_mesoderm	Limb mesenchyme progenitors	222702	14.344253756140496	14.654745719678871
Lateral_plate_mesoderm	Lung mesenchyme	60258	32.032360848352084	31.294535269078345
Lateral_plate_mesoderm	Meninges	5063	24.542958720126407	24.51889069349356
Lateral_plate_mesoderm	Mesothelial cells	37131	26.27898521451079	25.322930727149405
Lateral_plate_mesoderm	Proepicardium	9451	13.22304518040419	13.724375238516025
Lateral_plate_mesoderm	Renal stromal cells	12270	35.42053789731052	35.21615256313576
Lateral_plate_mesoderm	Second heart field	3537	6.107152954481199	5.953799803104094
