system	celltype_new	total_cells	age_mean
Blood	Activated T cells	1304	42.59969325153374
Blood	Adipose tissue macrophages	2293	39.77191452245966
Blood	B cell progenitors	1023	32.81818181818182
Blood	B cells	19693	38.97953587569187
Blood	Border-associated macrophages	42271	30.054079629060112
Blood	Border-associated macrophages (Ms4a8a+)	1728	37.842592592592595
Blood	Conventional dendritic cells	2600	34.68692307692308
Blood	Definitive early erythroblasts (CD36-)	741363	30.659504183510634
Blood	Definitive erythroblasts (CD36+)	73181	34.113130457359155
Blood	Granulocytes	2845	31.585588752196838
Blood	Hematopoietic stem cells (Cd34+)	31693	25.957466948537533
Blood	Hematopoietic stem cells (Mpo+)	15396	33.728890620940504
Blood	Kupffer cells	19084	34.24523160762943
Blood	Mast cells	13184	35.19554004854369
Blood	Megakaryocyte-erythroid progenitors	11206	24.007406746385865
Blood	Megakaryocytes	12442	21.008841022343674
Blood	Microglia	4642	28.936665230504094
Blood	Monocytes	19516	34.55036892805903
Blood	Monocytic myeloid-derived suppressor cells	15310	36.997713912475504
Blood	Natural killer cells	1400	36.88285714285714
Blood	Osteoclasts	2147	35.640428504890544
Blood	PMN myeloid-derived suppressor cells	7462	39.59220048244438
Blood	Plasmacytoid dendritic cells	685	34.35036496350365
Blood	Primitive erythroid cells	108605	9.883458404309193
Blood	Regulatory T cells	4765	37.0115424973767
Blood	T cells	22815	40.526232741617356
Blood	T-NK progenitors	987	29.931104356636272
Gut	Airway club cells	2265	41.29668874172185
Gut	Airway goblet cells	135	38.75555555555555
Gut	Alveolar Type 1 cells	5304	41.65742835595777
Gut	Alveolar Type 2 cells	7181	42.0350926054867
Gut	Biliary epithelial cells	1066	32.50562851782364
Gut	Extraembryonic visceral endoderm	1660	2.6349397590361447
Gut	Foregut epithelial cells	3988	33.1993480441324
Gut	Gut	21281	7.69362341995207
Gut	Hepatocytes	156655	33.21736937857074
Gut	Intestinal enteroendocrine cells	220	37.804545454545455
Gut	Intestinal goblet cells	952	35.858193277310924
Gut	Lung cells (Eln+)	254	40.188976377952756
Gut	Lung progenitor cells	28164	32.7070728589689
Gut	Midgut/Hindgut epithelial cells	29802	35.48456479430911
Gut	Pancreatic acinar cells	3480	30.792816091954023
Gut	Pancreatic islets	932	30.266094420600858
Notochord	Ciliated nodal cells	60	0.6666666666666666
Notochord	Notochord	3745	6.436048064085448
Endothelium	Arterial endothelial cells	23238	15.691109389792583
Endothelium	Brain capillary endothelial cells	11258	22.678806182270385
Endothelium	Brain pericytes	1609	30.148539465506527
Endothelium	Endocardial cells	12185	12.716044316782929
Endothelium	Endothelium	87850	12.034604439385314
Endothelium	Glomerular endothelial cells	10331	36.28787145484464
Endothelium	Hematoendothelial progenitors	9693	4.612813370473537
Endothelium	Liver sinusoidal endothelial cells	18008	33.18319635717459
Endothelium	Lymphatic vessel endothelial cells	9999	33.89348934893489
Endothelium	Microvascular endothelial cells	2888	38.74445983379501
Endothelium	Pericytes	11678	26.640863161500256
Endothelium	Venous and capillary endothelial cells	29811	38.27899097648519
Epithelial_cells	Amniotic ectoderm	11493	7.50152266597059
Epithelial_cells	Apical ectodermal ridge	6328	10.674936788874842
Epithelial_cells	Basal keratinocytes	13356	34.93845462713387
Epithelial_cells	Bladder urothelial cells	536	37.3134328358209
Epithelial_cells	Branchial arch epithelium	29374	25.73517396336897
Epithelial_cells	Cochlear hair cells	248	36.354838709677416
Epithelial_cells	Conjunctival goblet cells	566	37.17667844522968
Epithelial_cells	Corneal epithelial cells	894	36.391498881431765
Epithelial_cells	Dental epithelial cells	4112	35.11843385214008
Epithelial_cells	Granular keratinocytes	33413	28.249902732469398
Epithelial_cells	Lens epithelial cells	654	31.051987767584098
Epithelial_cells	Nonsensory cochlear epithelium	30	39.56666666666667
Epithelial_cells	Olfactory bulb cells	3454	28.154313839027214
Epithelial_cells	Olfactory epithelial cells	29880	15.334136546184741
Epithelial_cells	Olfactory pit cells	2080	7.719230769230769
Epithelial_cells	Otic epithelial cells	26153	14.266049783963597
Epithelial_cells	Parathyroid epithelial cells	199	25.979899497487438
Epithelial_cells	Pineal gland	155	39.303225806451614
Epithelial_cells	Pituitary gland cells	2980	31.668456375838925
Epithelial_cells	Pituitary/Pineal gland progenitors	2366	20.362214708368555
Epithelial_cells	Placodal area	59952	7.190969442220443
Epithelial_cells	Pre-epidermal keratinocytes	112634	12.419819947795517
Epithelial_cells	Primordial germ cells	1384	23.57369942196532
Epithelial_cells	Thymic epithelial cells	912	32.584429824561404
Epithelial_cells	Thyroid gland cells	936	34.3525641025641
Epithelial_cells	Tooth junctional epithelium	905	38.550276243093926
Eye	Amacrine cells	2609	40.87504791107704
Eye	Amacrine/Horizontal precursor cells	2320	36.30560344827586
Eye	Bipolar precursor cells	1105	39.41990950226244
Eye	Cholinergic amacrine cells	580	39.18448275862069
Eye	Ciliary margin cells	553	24.918625678119348
Eye	Cone precursor cells	2793	36.93197278911565
Eye	Eye field	42457	7.830251784158091
Eye	Horizontal cells	471	35.76645435244161
Eye	Iris pigment epithelium	236	35.17372881355932
Eye	Naive retinal progenitor cells	22496	34.066678520625885
Eye	Optic stalk	3437	13.649112598196101
Eye	PV-containing retinal ganglion cells	742	33.66576819407008
Eye	Photoreceptor precursor cells	1540	40.176623376623375
Eye	Retinal ganglion cells	6903	33.147037519918875
Eye	Retinal pigment cells	1850	22.778378378378378
Eye	Retinal progenitor cells	4757	35.38805970149254
Eye	Rod precursor cells	467	42.63169164882227
Eye	Suprachiasmatic nucleus	4116	26.849125364431487
Renal	Anterior intermediate mesoderm	7833	7.677390527256479
Renal	Ascending loop of Henle	1728	39.9369212962963
Renal	Collecting duct intercalated cells	182	39.967032967032964
Renal	Collecting duct principal cells	840	38.62380952380953
Renal	Connecting tubule	254	39.346456692913385
Renal	Distal convoluted tubule	639	39.90297339593114
Renal	Metanephric mesenchyme	16036	33.3190321776004
Renal	Nephron progenitors	11348	35.73528375044061
Renal	Podocytes	2396	38.69198664440734
Renal	Posterior intermediate mesoderm	10584	8.829837490551776
Renal	Proximal tubule cells	7609	38.58259955316073
Renal	Renal pericytes and mesangial cells	7231	10.531185174941225
Renal	Ureteric bud	3705	28.373009446693658
Renal	Ureteric bud stalk	253	29.08300395256917
Mesoderm	Adipocyte cells (Cyp2e1+)	4767	41.8246276484162
Mesoderm	Adipocyte progenitor cells	19151	34.963605033679706
Mesoderm	Brown adipocyte cells	42631	41.015528605944034
Mesoderm	Chondrocytes (Atp1a2+)	97338	23.033676467566618
Mesoderm	Chondrocytes (Otor+)	6521	35.58503297040331
Mesoderm	Dermatome	159301	26.88259332960873
Mesoderm	Dermomyotome	131041	8.742912523561326
Mesoderm	Early chondrocytes	130217	24.171982152867898
Mesoderm	Facial mesenchyme	378403	12.041289313245409
Mesoderm	Fibroblasts	473634	29.335898605252147
Mesoderm	Mesodermal progenitors (Tbx6+)	50325	5.868375558867362
Mesoderm	Muscle progenitor cells	26992	14.867997925311203
Mesoderm	Muscle progenitor cells (Prdm1+)	5017	10.228224038269882
Mesoderm	Myoblasts	149216	28.45436146257774
Mesoderm	Myofibroblasts	39998	28.426821341067054
Mesoderm	Myotubes	22340	32.48491495076097
Mesoderm	Pre-osteoblasts (Sp7+)	86242	36.04897845597273
Mesoderm	Sclerotome	475696	11.561448908546625
Lateral_plate_mesoderm	Adrenocortical cells	2148	36.0512104283054
Lateral_plate_mesoderm	Airway smooth muscle cells	4926	36.18229801055623
Lateral_plate_mesoderm	Allantois	31010	7.087294421154467
Lateral_plate_mesoderm	Amniotic mesoderm	25231	10.97237525266537
Lateral_plate_mesoderm	Atrial cardiomyocytes	1005	30.97313432835821
