system	celltype_new	total_cells	age_weighted
Blood	Primitive erythroid cells	108605	53.43544035725795
Blood	Megakaryocytes	12442	120.0544928468092
Blood	Megakaryocyte-erythroid progenitors	11206	138.04604676066393
Blood	Hematopoietic stem cells (Cd34+)	31693	149.74499100747798
Blood	Microglia	4642	167.61999138302457
Blood	T-NK progenitors	987	173.59270516717325
Blood	Border-associated macrophages	42271	174.3246197156443
Blood	Definitive early erythroblasts (CD36-)	741363	177.95703319426516
Blood	Granulocytes	2845	183.51353251318105
Blood	B cell progenitors	1023	190.9090909090909
Blood	Hematopoietic stem cells (Mpo+)	15396	196.37334372564305
Blood	Definitive erythroblasts (CD36+)	73181	198.67878274415492
Blood	Kupffer cells	19084	199.47138964577655
Blood	Plasmacytoid dendritic cells	685	200.1021897810219
Blood	Monocytes	19516	201.30221356835415
Blood	Conventional dendritic cells	2600	202.12153846153845
Blood	Mast cells	13184	205.17324029126215
Blood	Osteoclasts	2147	207.84257102934328
Blood	Natural killer cells	1400	215.30142857142857
Blood	Monocytic myeloid-derived suppressor cells	15310	215.98628347485305
Blood	Regulatory T cells	4765	216.06925498426023
Blood	Border-associated macrophages (Ms4a8a+)	1728	221.07638888888889
Blood	B cells	19693	227.8772152541512
Blood	PMN myeloid-derived suppressor cells	7462	231.55320289466633
Blood	Adipose tissue macrophages	2293	232.631487134758
Blood	T cells	22815	237.15739644970415
Blood	Activated T cells	1304	249.59815950920245
Brain_spinal_cord	Spinal cord dorsal progenitors (after E13.0)	8087	9.551626066526524
Brain_spinal_cord	Spinal cord ventral progenitors (after E13.0)	1965	10.283969465648855
Brain_spinal_cord	NMPs and spinal cord progenitors	53719	28.92228075727396
Brain_spinal_cord	Striatal projection neurons	6235	40.238011226944664
Brain_spinal_cord	Spinal dI3 interneurons	5430	41.18674033149171
Brain_spinal_cord	Midbrain-hindbrain boundary	66056	41.420673368051354
Brain_spinal_cord	Anterior roof plate	16080	45.76194029850746
Brain_spinal_cord	Precerebellar neurons	1286	46.52566096423017
Brain_spinal_cord	Spinal V0 interneurons	9397	48.33138235607109
Brain_spinal_cord	Posterior roof plate	11564	48.342960913178835
Brain_spinal_cord	Floorplate and p3 domain	44899	49.6645359584846
Brain_spinal_cord	Spinal dI6 interneurons	10964	49.82342210871945
Brain_spinal_cord	Spinal dI1 interneurons	35714	51.697709581676655
Brain_spinal_cord	Midbrain dopaminergic neurons	5495	51.807461328480436
Brain_spinal_cord	Spinal V3 interneurons	4440	52.127027027027026
Brain_spinal_cord	Spinal cord motor neurons	31602	52.61401177140687
Brain_spinal_cord	Spinal V1 interneurons	31325	52.843288108539504
Brain_spinal_cord	Neurons (Slc17a8+)	1938	53.869969040247675
Brain_spinal_cord	Spinal dI2 interneurons	21843	54.27194066749073
Brain_spinal_cord	GABAergic neurons (after E13.0)	205268	54.88970516592942
Brain_spinal_cord	Spinal V2b interneurons	8575	55.17061224489796
Brain_spinal_cord	Spinal cord/r7/r8	395141	55.24201234496041
Brain_spinal_cord	Spinal V2a interneurons	11065	55.93095345684591
Brain_spinal_cord	Di/mesencephalon GABAergic neurons	15589	56.80697928026172
Brain_spinal_cord	Spinal dI5 interneurons	39157	56.82662103838394
Brain_spinal_cord	Hypothalamus (Sim1+)	14571	57.179328803788344
Brain_spinal_cord	Glutamatergic neurons (after E13.0)	372925	57.293584500905006
Brain_spinal_cord	Hindbrain	196381	58.93865496152886
Brain_spinal_cord	Ependymal cells	2872	59.201949860724234
Brain_spinal_cord	Neural progenitor cells (Neurod1+)	23099	61.31694012727824
Brain_spinal_cord	Spinal dI4 interneurons	38632	63.09008076206254
Brain_spinal_cord	Di/mesencephalon glutamatergic neurons	30999	63.79579986451176
Brain_spinal_cord	Anterior floor plate	16234	68.01318221017617
Brain_spinal_cord	Hypothalamic Sim1 neurons	19592	69.27807268272764
Brain_spinal_cord	Diencephalon	77273	71.9117932524944
Brain_spinal_cord	Hypothalamus	52884	73.17982754708419
Brain_spinal_cord	Cranial motor neurons	20964	80.65140240412136
Brain_spinal_cord	Dorsal telencephalon	29378	83.26250936074614
Brain_spinal_cord	Midbrain	143471	83.546291585059
Brain_spinal_cord	Cerebellar Purkinje cells	21825	89.81388316151202
Brain_spinal_cord	Intermediate neuronal progenitors	37282	104.67474920873345
Brain_spinal_cord	Cerebellum-related cells	4226	105.05821107430194
Brain_spinal_cord	Telencephalon	413590	105.6160883967214
Brain_spinal_cord	Cajal-Retzius cells	67799	107.93929113998732
Brain_spinal_cord	Choroid plexus	7264	109.89151982378854
Brain_spinal_cord	Cortical Interneurons (Prox1+)	2800	115.78285714285714
Brain_spinal_cord	Deep-layer neurons	164552	123.1566799552725
Brain_spinal_cord	Upper-layer neurons	96626	124.57423467803697
Brain_spinal_cord	Thalamic neuronal precursors	57266	126.67684140676842
Brain_spinal_cord	Oligodendrocyte progenitor cells	10900	128.59706422018348
Brain_spinal_cord	Committed oligodendrocyte precursors	512	128.98828125
Brain_spinal_cord	Subplate neurons	35716	132.29868966289618
Brain_spinal_cord	Astrocytes	52629	136.67400102605026
Brain_spinal_cord	GABAergic cortical interneurons	380281	141.56633647224027
Brain_spinal_cord	Neural progenitor cells (Ror1+)	12037	154.286782420869
Brain_spinal_cord	Multiciliated ependymal cells	4451	164.39272073691305
Endothelium	Hematoendothelial progenitors	9693	23.57660167130919
Endothelium	Endothelium	87850	66.25058622652249
Endothelium	Endocardial cells	12185	70.33762823143209
Endothelium	Arterial endothelial cells	23238	88.36405886909372
Endothelium	Brain capillary endothelial cells	11258	130.07283709362233
Endothelium	Pericytes	11678	153.8508306216818
Endothelium	Brain pericytes	1609	174.89123679303916
Endothelium	Liver sinusoidal endothelial cells	18008	193.0991781430475
Endothelium	Lymphatic vessel endothelial cells	9999	197.36093609360935
Endothelium	Glomerular endothelial cells	10331	211.72722872906783
Endothelium	Venous and capillary endothelial cells	29811	223.6739458589111
Endothelium	Microvascular endothelial cells	2888	226.46883656509695
Epithelial_cells	Placodal area	59952	37.796737389911925
Epithelial_cells	Amniotic ectoderm	11493	39.65753067084312
Epithelial_cells	Olfactory pit cells	2080	40.324038461538464
Epithelial_cells	Apical ectodermal ridge	6328	58.04962073324905
Epithelial_cells	Pre-epidermal keratinocytes	112634	68.69843919242857
Epithelial_cells	Otic epithelial cells	26153	79.68577218674722
Epithelial_cells	Olfactory epithelial cells	29880	86.04779116465863
