index	system	celltype_new	n_cells	mean_ucell	pct_ucell_pos
0	Blood	Activated T cells	6621.0	0.014762842135293426	0.06736142576650053
1	Blood	Adipose tissue macrophages	4190.0	0.0058215857862635905	0.03699284009546539
2	Blood	B cell progenitors	1295.0	0.029331788931788935	0.1861003861003861
3	Blood	B cells	43057.0	0.014974537628415045	0.08293657245047263
4	Blood	Border-associated macrophages	65191.0	0.007769830191284073	0.04884109769753493
5	Blood	Border-associated macrophages (Ms4a8a+)	4736.0	0.003984093468468468	0.026393581081081082
6	Blood	Conventional dendritic cells	4582.0	0.00959627043018575	0.05718027062418158
7	Blood	Definitive early erythroblasts (CD36-)	929291.0	0.018832959272774143	0.11842576760132187
8	Blood	Definitive erythroblasts (CD36+)	92446.0	0.003971443990125166	0.01576055210609437
9	Blood	Granulocytes	3547.0	0.007446229990915641	0.053284465745700595
10	Blood	Hematopoietic stem cells (Cd34+)	37750.0	0.015801277409860193	0.1134569536423841
11	Blood	Hematopoietic stem cells (Mpo+)	23128.0	0.009523281063837964	0.06792632307160153
12	Blood	Kupffer cells	33417.0	0.005052431729691807	0.03510189424544394
13	Blood	Mast cells	23828.0	0.023093093093093094	0.13954171562867215
14	Blood	Megakaryocyte-erythroid progenitors	13436.0	0.02643524858588866	0.18398332837153916
15	Blood	Megakaryocytes	14777.0	0.010802681344130894	0.0793801177505583
16	Blood	Microglia	8382.0	0.008815901800153769	0.05476020042949177
17	Blood	Monocytes	29268.0	0.0056960540901705315	0.04062457291239579
18	Blood	Monocytic myeloid-derived suppressor cells	24741.0	0.003304438426543434	0.021421931207307707
19	Blood	Natural killer cells	2961.0	0.01269417238920785	0.07328605200945626
20	Blood	Osteoclasts	3323.0	0.012625004179623499	0.09027986758952754
21	Blood	PMN myeloid-derived suppressor cells	15382.0	0.0018243834785246825	0.00864646989988298
22	Blood	Plasmacytoid dendritic cells	1101.0	0.02377101624785548	0.13533151680290645
23	Blood	Primitive erythroid cells	108610.0	0.04052129024337845	0.2103397477212043
24	Blood	Regulatory T cells	9800.0	0.023990204081632653	0.14653061224489797
25	Blood	T cells	70028.0	0.017122393899583026	0.09493345518935283
26	Blood	T-NK progenitors	1901.0	0.013896136536325909	0.10047343503419252
27	Brain_spinal_cord	Anterior floor plate	16274.0	0.17392096368854998	0.5374831018802999
28	Brain_spinal_cord	Anterior roof plate	16098.0	0.06835867020953523	0.2271710771524413
29	Brain_spinal_cord	Astrocytes	109750.0	0.2187713901149087	0.6340501138952164
30	Brain_spinal_cord	Cajal-Retzius cells	81803.0	0.03553461518823813	0.14192633521997972
31	Brain_spinal_cord	Cerebellar Purkinje cells	26737.0	0.031021598872637012	0.12607996409470024
32	Brain_spinal_cord	Cerebellum-related cells	9252.0	0.22160688792818778	0.5837656722870731
33	Brain_spinal_cord	Choroid plexus	9441.0	0.09033511931551405	0.34307806376443173
34	Brain_spinal_cord	Committed oligodendrocyte precursors	1865.0	0.09640040789073648	0.31528150134048255
35	Brain_spinal_cord	Cortical Interneurons (Prox1+)	7555.0	0.03421632528649003	0.0943745863666446
36	Brain_spinal_cord	Cranial motor neurons	23754.0	0.15136555782469577	0.3805674833712217
37	Brain_spinal_cord	Deep-layer neurons	236402.0	0.03693673313572131	0.10290945085066962
38	Brain_spinal_cord	Di/mesencephalon GABAergic neurons	15589.0	0.1038728119176488	0.25280646609788954
39	Brain_spinal_cord	Di/mesencephalon glutamatergic neurons	30999.0	0.06297319502420094	0.16074712087486692
40	Brain_spinal_cord	Diencephalon	78021.0	0.1987020069208009	0.5265761782084311
41	Brain_spinal_cord	Dorsal telencephalon	30144.0	0.07502094486166166	0.2468816348195329
42	Brain_spinal_cord	Ependymal cells	5895.0	0.047837364894270956	0.21611535199321458
43	Brain_spinal_cord	Floorplate and p3 domain	44992.0	0.2578311022098147	0.6822546230440967
44	Brain_spinal_cord	GABAergic cortical interneurons	603448.0	0.06860514643671048	0.17565390887035834
45	Brain_spinal_cord	GABAergic neurons (after E13.0)	292004.0	0.0665618987890793	0.19625416090190545
46	Brain_spinal_cord	Glutamatergic neurons (after E13.0)	570526.0	0.05963800550493163	0.17578339988011063
47	Brain_spinal_cord	Hindbrain	197367.0	0.19440434770672158	0.5204365471431395
48	Brain_spinal_cord	Hypothalamic Sim1 neurons	19592.0	0.11559049885809311	0.2837893017558187
49	Brain_spinal_cord	Hypothalamus	53378.0	0.28857504046004445	0.7748697965453932
50	Brain_spinal_cord	Hypothalamus (Sim1+)	14611.0	0.24154972643852632	0.6625829854219424
51	Brain_spinal_cord	Intermediate neuronal progenitors	42068.0	0.022265577028797633	0.076946847960445
52	Brain_spinal_cord	Midbrain	145124.0	0.11119556291509677	0.3047669579118547
53	Brain_spinal_cord	Midbrain dopaminergic neurons	5495.0	0.09515676712124299	0.2362147406733394
54	Brain_spinal_cord	Midbrain-hindbrain boundary	66071.0	0.16906317852343844	0.48390367937521755
55	Brain_spinal_cord	Multiciliated ependymal cells	10452.0	0.13278052327784676	0.4428817451205511
56	Brain_spinal_cord	NMPs and spinal cord progenitors	53734.0	0.2860191864505046	0.7103323780101984
57	Brain_spinal_cord	Neural progenitor cells (Neurod1+)	23270.0	0.15034721404497425	0.4369144821658788
58	Brain_spinal_cord	Neural progenitor cells (Ror1+)	33240.0	0.09222671554144334	0.30577617328519857
59	Brain_spinal_cord	Neurons (Slc17a8+)	1957.0	0.14190244032180846	0.3490035769034236
60	Brain_spinal_cord	Oligodendrocyte progenitor cells	29522.0	0.08463826033634186	0.3132917823995664
61	Brain_spinal_cord	Posterior roof plate	11623.0	0.1877154593675138	0.4951389486363245
62	Brain_spinal_cord	Precerebellar neurons	1286.0	0.08748454602096835	0.2255054432348367
63	Brain_spinal_cord	Spinal V0 interneurons	9397.0	0.11397992983195858	0.2900925827391721
64	Brain_spinal_cord	Spinal V1 interneurons	31325.0	0.15889173239745116	0.36405426975259375
65	Brain_spinal_cord	Spinal V2a interneurons	11065.0	0.12667895900479104	0.30926344328965205
66	Brain_spinal_cord	Spinal V2b interneurons	8575.0	0.09859492692976243	0.24396501457725947
67	Brain_spinal_cord	Spinal V3 interneurons	4440.0	0.19293542359394092	0.4797297297297297
68	Brain_spinal_cord	Spinal cord dorsal progenitors (after E13.0)	8358.0	0.04673515282447082	0.1474036850921273
69	Brain_spinal_cord	Spinal cord motor neurons	31680.0	0.12905728220692733	0.330239898989899
70	Brain_spinal_cord	Spinal cord ventral progenitors (after E13.0)	2021.0	0.11509293492662369	0.35675408213755566
71	Brain_spinal_cord	Spinal cord/r7/r8	395636.0	0.20034856098446058	0.5359269631681647
72	Brain_spinal_cord	Spinal dI1 interneurons	35714.0	0.06532310933566333	0.1675253402027216
73	Brain_spinal_cord	Spinal dI2 interneurons	21843.0	0.07513458895291043	0.19370049901570296
74	Brain_spinal_cord	Spinal dI3 interneurons	5430.0	0.09196752763883322	0.2434622467771639
75	Brain_spinal_cord	Spinal dI4 interneurons	38632.0	0.06857886525153957	0.1727324497825637
76	Brain_spinal_cord	Spinal dI5 interneurons	39157.0	0.0908732471376854	0.22739229256582474
77	Brain_spinal_cord	Spinal dI6 interneurons	10964.0	0.09983976092678418	0.2604888726742065
78	Brain_spinal_cord	Striatal projection neurons	6235.0	0.06000059448670499	0.16663993584603048
79	Brain_spinal_cord	Subplate neurons	103397.0	0.0298443689629836	0.09055388454210471
80	Brain_spinal_cord	Telencephalon	430409.0	0.10937344116464749	0.30268186771187405
81	Brain_spinal_cord	Thalamic neuronal precursors	81788.0	0.04497082448194412	0.18836504132635595
82	Brain_spinal_cord	Upper-layer neurons	238829.0	0.018635188451624107	0.05037076736912184
83	Endothelium	Arterial endothelial cells	26943.0	0.036823487444687754	0.22666369743532644
84	Endothelium	Brain capillary endothelial cells	15179.0	0.018719846864454548	0.13057513670202253
85	Endothelium	Brain pericytes	3617.0	0.01594034343992873	0.11501244124965442
86	Endothelium	Endocardial cells	14071.0	0.028457686810540197	0.18321370194016062
87	Endothelium	Endothelium	90215.0	0.028544555906568875	0.1915202571634429
88	Endothelium	Glomerular endothelial cells	17038.0	0.03556063570319939	0.16897523183472238
89	Endothelium	Hematoendothelial progenitors	9693.0	0.03208702729346493	0.2222222222222222
90	Endothelium	Liver sinusoidal endothelial cells	30802.0	0.018327244262638067	0.11366145055515875
91	Endothelium	Lymphatic vessel endothelial cells	25269.0	0.038624581722883994	0.21943883810202225
92	Endothelium	Microvascular endothelial cells	5624.0	0.020987908961593173	0.12748933143669985
93	Endothelium	Pericytes	14055.0	0.0609145183604095	0.28395588758448953
94	Endothelium	Venous and capillary endothelial cells	59523.0	0.019040660286313228	0.11644238361641718
95	Epithelial_cells	Amniotic ectoderm	11509.0	0.04868854326565683	0.2709184116778174
96	Epithelial_cells	Apical ectodermal ridge	6330.0	0.04860014042478498	0.2581358609794629
97	Epithelial_cells	Basal keratinocytes	19591.0	0.1667341296173413	0.5406053800214384
98	Epithelial_cells	Bladder urothelial cells	1313.0	0.017244393670136245	0.10205635948210205
99	Epithelial_cells	Branchial arch epithelium	41134.0	0.06561137042619515	0.287183351971605
100	Epithelial_cells	Cochlear hair cells	574.0	0.012158730158730159	0.09059233449477352
101	Epithelial_cells	Conjunctival goblet cells	1244.0	0.01380350125044659	0.07877813504823152
102	Epithelial_cells	Corneal epithelial cells	1078.0	0.011776540919398061	0.07235621521335807
103	Epithelial_cells	Dental epithelial cells	9903.0	0.1576061687255265	0.5870948197515904
104	Epithelial_cells	Granular keratinocytes	41185.0	0.028280309713622814	0.1569989073691878
105	Epithelial_cells	Lens epithelial cells	1605.0	0.036981585323641396	0.21806853582554517
106	Epithelial_cells	Nonsensory cochlear epithelium	51.0	0.021699346405228758	0.11764705882352941
107	Epithelial_cells	Olfactory bulb cells	5888.0	0.014310914855072463	0.09578804347826086
108	Epithelial_cells	Olfactory epithelial cells	33331.0	0.029289083569183177	0.1760823257628034
109	Epithelial_cells	Olfactory pit cells	2081.0	0.06168167013722035	0.35271504084574723
110	Epithelial_cells	Otic epithelial cells	29337.0	0.050400760510996734	0.27985138221358696
111	Epithelial_cells	Parathyroid epithelial cells	433.0	0.0772016936104696	0.34872979214780603
112	Epithelial_cells	Pineal gland	540.0	0.012770164609053497	0.07592592592592592
113	Epithelial_cells	Pituitary gland cells	4964.0	0.04208725042528427	0.23751007252215955
114	Epithelial_cells	Pituitary/Pineal gland progenitors	2797.0	0.12242855440352758	0.5205577404361816
115	Epithelial_cells	Placodal area	60938.0	0.11633874685016829	0.45841675145229577
116	Epithelial_cells	Pre-epidermal keratinocytes	114402.0	0.06832767492409807	0.3177129770458558
117	Epithelial_cells	Primordial germ cells	1712.0	0.03399928608515057	0.22021028037383178
118	Epithelial_cells	Thymic epithelial cells	1937.0	0.03625813113061435	0.19617965926690759
119	Epithelial_cells	Thyroid gland cells	1578.0	0.03817814392339108	0.19898605830164764
120	Epithelial_cells	Tooth junctional epithelium	2918.0	0.006989452440788973	0.04489376285126799
121	Eye	Amacrine cells	10061.0	0.01425207346298689	0.0834907066891959
122	Eye	Amacrine/Horizontal precursor cells	5154.0	0.018701741904885095	0.1016686069072565
123	Eye	Bipolar precursor cells	3414.0	0.024772668098678643	0.14176918570591682
124	Eye	Cholinergic amacrine cells	1426.0	0.02642200405173757	0.17040673211781207
125	Eye	Ciliary margin cells	725.0	0.04524934865900383	0.2413793103448276
126	Eye	Cone precursor cells	5744.0	0.023332559579077684	0.1189066852367688
127	Eye	Eye field	43440.0	0.08374964190710046	0.37886740331491714
128	Eye	Horizontal cells	910.0	0.021473137973137973	0.14505494505494507
129	Eye	Iris pigment epithelium	592.0	0.0430335960960961	0.26013513513513514
130	Eye	Naive retinal progenitor cells	52693.0	0.13284630891305402	0.482492930749815
131	Eye	Optic stalk	3457.0	0.10022646482177869	0.4787387908591264
132	Eye	PV-containing retinal ganglion cells	1133.0	0.013719035010297146	0.1147396293027361
133	Eye	Photoreceptor precursor cells	4703.0	0.021724572967609327	0.10376355517754625
134	Eye	Retinal ganglion cells	11197.0	0.013523830788008692	0.1044922747164419
135	Eye	Retinal pigment cells	3242.0	0.063407190348893	0.3130783466995682
136	Eye	Retinal progenitor cells	10201.0	0.04667143744077378	0.21576316047446328
137	Eye	Rod precursor cells	2743.0	0.02025754445659659	0.09515129420342691
138	Eye	Suprachiasmatic nucleus	6017.0	0.0847104315550385	0.3383746052850258
139	Gastrulation	Allantois	2804.0	0.004547115232207954	0.05420827389443652
140	Gastrulation	Amniotic ectoderm	524.0	0.0015600084817642052	0.030534351145038167
141	Gastrulation	Amniotic mesoderm	1152.0	0.008387345679012342	0.08680555555555555
142	Gastrulation	Anterior primitive streak	893.0	0.0011593878312803276	0.014557670772676373
143	Gastrulation	Blood progenitors	2978.0	0.00041224535482426653	0.007387508394895903
144	Gastrulation	CLE and NMPs	4992.0	0.006091635505698003	0.058693910256410256
145	Gastrulation	Cardiogenic mesoderm	877.0	0.0031095907766375257	0.03192702394526796
146	Gastrulation	Cardiopharyngeal mesoderm	2214.0	0.00998594800762822	0.10569105691056911
147	Gastrulation	Definitive ectoderm	6516.0	0.0031198247049996574	0.0334561080417434
148	Gastrulation	Definitive endoderm	354.0	0.0002605147520401752	0.011299435028248588
