system	celltype_new	total_cells	age_mean	age_weighted_celltype	meta_group
Blood	Activated T cells	1304	42.59969325153374	43.86438071683025	B_M1
Blood	Adipose tissue macrophages	2293	39.77191452245966	39.415010460104135	B_M2
Blood	B cell progenitors	1023	32.81818181818182	33.17589047889176	B_M3
Blood	B cells	19693	38.97953587569187	39.584422816485265	B_M4
Blood	Border-associated macrophages	42271	30.054079629060112	30.425008162302177	B_M5
Blood	Border-associated macrophages (Ms4a8a+)	1728	37.842592592592595	37.859653388261975	B_M6
Blood	Conventional dendritic cells	2600	34.68692307692308	35.90002104765782	B_M7
Blood	Definitive early erythroblasts (CD36-)	741363	30.65950418351063	30.695247147460503	B_M8
Blood	Definitive erythroblasts (CD36+)	73181	34.113130457359155	35.68295638542336	B_M9
Blood	Granulocytes	2845	31.58558875219684	31.642186392982207	B_M10
Blood	Hematopoietic stem cells (Cd34+)	31693	25.957466948537533	26.85552296339827	B_M11
Blood	Hematopoietic stem cells (Mpo+)	15396	33.728890620940504	35.481474696214924	B_M12
Blood	Kupffer cells	19084	34.24523160762943	33.33123333000244	B_M13
Blood	Mast cells	13184	35.19554004854369	35.08821021584147	B_M14
Blood	Megakaryocyte-erythroid progenitors	11206	24.007406746385865	24.029584810133013	B_M15
Blood	Megakaryocytes	12442	21.00884102234367	21.45279141720714	B_M16
Blood	Microglia	4642	28.936665230504097	28.85070875726104	B_M17
Blood	Monocytes	19516	34.55036892805903	32.69931846896988	B_M18
Blood	Monocytic myeloid-derived suppressor cells	15310	36.997713912475504	35.2199026753726	B_M19
Blood	Natural killer cells	1400	36.88285714285714	37.99644722718983	B_M20
Blood	Osteoclasts	2147	35.640428504890544	35.51043681144635	B_M21
Blood	PMN myeloid-derived suppressor cells	7462	39.59220048244438	38.25549950898394	B_M23
Blood	Plasmacytoid dendritic cells	685	34.35036496350365	34.32459078749369	B_M22
Blood	Primitive erythroid cells	108605	9.883458404309192	10.447194712604544	B_M24
Blood	Regulatory T cells	4765	37.0115424973767	38.57016912462018	B_M25
Blood	T cells	22815	40.52623274161736	40.27329241456016	B_M26
Blood	T-NK progenitors	987	29.931104356636272	29.859142459442698	B_M27
Gut	Airway club cells	2265	41.29668874172185	39.73165425646591	G_M1
Gut	Airway goblet cells	135	38.75555555555555	39.021139931346994	G_M2
Gut	Alveolar Type 1 cells	5304	41.65742835595777	41.022347613964	G_M3
Gut	Alveolar Type 2 cells	7181	42.0350926054867	42.318340244969896	G_M4
Gut	Biliary epithelial cells	1066	32.50562851782364	32.90269488630407	G_M5
Gut	Extraembryonic visceral endoderm	1660	2.6349397590361447	2.822845131208565	G_M6
Gut	Foregut epithelial cells	3988	33.1993480441324	32.66388047801252	G_M7
Gut	Gut	21281	7.69362341995207	7.770594416214636	G_M8
Gut	Hepatocytes	156655	33.21736937857074	31.88902550198167	G_M9
Gut	Intestinal enteroendocrine cells	220	37.804545454545455	37.091896072772954	G_M10
Gut	Intestinal goblet cells	952	35.858193277310924	35.11732789073212	G_M11
Gut	Lung cells (Eln+)	254	40.18897637795275	38.18897637795275	G_M12
Gut	Lung progenitor cells	28164	32.7070728589689	32.63265133352364	G_M13
Gut	Midgut/Hindgut epithelial cells	29802	35.48456479430911	35.538613244641205	G_M14
Gut	Pancreatic acinar cells	3480	30.792816091954023	30.44703274453358	G_M15
Gut	Pancreatic islets	932	30.266094420600854	30.67649096017743	G_M16
Notochord	Ciliated nodal cells	60	0.6666666666666666	0.4849904598975228	No_M2
Notochord	Notochord	3745	6.436048064085448	5.981110453932646	No_M1
Endothelium	Arterial endothelial cells	23238	15.691109389792585	15.892289172351456	En_M1
Endothelium	Brain capillary endothelial cells	11258	22.678806182270385	22.22059524082163	En_M2
Endothelium	Brain pericytes	1609	30.148539465506527	31.11828325149389	En_M3
Endothelium	Endocardial cells	12185	12.716044316782927	12.53385432381544	En_M4
Endothelium	Endothelium	87850	12.034604439385314	12.305081784747143	En_M5
Endothelium	Glomerular endothelial cells	10331	36.28787145484464	36.53230881506355	En_M6
Endothelium	Hematoendothelial progenitors	9693	4.612813370473537	4.372629044120434	En_M7
Endothelium	Liver sinusoidal endothelial cells	18008	33.18319635717459	34.309698143180114	En_M8
Endothelium	Lymphatic vessel endothelial cells	9999	33.89348934893489	34.35963281256564	En_M9
Endothelium	Microvascular endothelial cells	2888	38.74445983379501	38.81576765136392	En_M10
Endothelium	Pericytes	11678	26.640863161500256	26.812703279035308	En_M11
