system	meta_group	total_cells_node	node_age_mean	node_age_weighted	n_celltypes_in_node
Blood	B_M1	1304	42.59969325153374	43.86438071683025	1
Blood	B_M10	2845	31.58558875219684	31.64218639298221	1
Blood	B_M11	31693	25.957466948537533	26.85552296339827	1
Blood	B_M12	15396	33.728890620940504	35.481474696214924	1
Blood	B_M13	19084	34.24523160762943	33.33123333000244	1
Blood	B_M14	13184	35.19554004854369	35.08821021584147	1
Blood	B_M15	11206	24.007406746385865	24.029584810133013	1
Blood	B_M16	12442	21.00884102234367	21.45279141720714	1
Blood	B_M17	4642	28.9366652305041	28.85070875726104	1
Blood	B_M18	19516	34.55036892805903	32.69931846896988	1
Blood	B_M19	15310	36.997713912475504	35.2199026753726	1
Blood	B_M2	2293	39.77191452245966	39.415010460104135	1
Blood	B_M20	1400	36.88285714285714	37.99644722718983	1
Blood	B_M21	2147	35.640428504890544	35.51043681144635	1
Blood	B_M22	685	34.35036496350365	34.32459078749369	1
Blood	B_M23	7462	39.59220048244438	38.25549950898394	1
Blood	B_M24	108605	9.883458404309192	10.447194712604544	1
Blood	B_M25	4765	37.0115424973767	38.57016912462018	1
Blood	B_M26	22815	40.52623274161736	40.27329241456016	1
Blood	B_M27	987	29.931104356636272	29.859142459442698	1
Blood	B_M3	1023	32.81818181818182	33.17589047889176	1
Blood	B_M4	19693	38.97953587569187	39.584422816485265	1
Blood	B_M5	42271	30.054079629060112	30.42500816230218	1
Blood	B_M6	1728	37.842592592592595	37.859653388261975	1
Blood	B_M7	2600	34.68692307692308	35.90002104765782	1
Blood	B_M8	741363	30.65950418351063	30.6952471474605	1
Blood	B_M9	73181	34.113130457359155	35.68295638542336	1
Brain_spinal_cord	BS_M1	16234	12.310582727608724	12.798416559340923	1
Brain_spinal_cord	BS_M10	20964	15.441900400686892	14.773544870483581	1
Brain_spinal_cord	BS_M11	164552	29.526113325878743	29.952184660663292	1
Brain_spinal_cord	BS_M12	15589	15.46782988004362	15.69088251472566	1
Brain_spinal_cord	BS_M13	30999	14.63263331075196	14.629775312087578	1
Brain_spinal_cord	BS_M14	77273	12.980601244936784	12.468808622406232	1
Brain_spinal_cord	BS_M15	29378	14.87412349377085	15.797142447234531	1
Brain_spinal_cord	BS_M16	2872	37.866991643454035	37.95125814364831	1
Brain_spinal_cord	BS_M17	380281	28.59438941204004	28.69272972028673	1
Brain_spinal_cord	BS_M18	205268	29.148284194321576	28.76439647203634	1
Brain_spinal_cord	BS_M19	372925	29.548930750150845	29.79343030686558	1
Brain_spinal_cord	BS_M2	16080	8.603047263681592	9.35163078819726	1
Brain_spinal_cord	BS_M20	196381	10.7855698871072	10.981179182619696	1
Brain_spinal_cord	BS_M21	19592	14.546345447121274	14.678482118936904	1
Brain_spinal_cord	BS_M22	52884	13.195049542394676	13.211105373924768	1
Brain_spinal_cord	BS_M23	14571	10.527280214123945	10.475635996216417	1
Brain_spinal_cord	BS_M24	37282	25.44579153478891	26.3381883647615	1
Brain_spinal_cord	BS_M25	143471	14.921614821113671	14.82312394247023	1
Brain_spinal_cord	BS_M26	5495	15.634576888080073	15.504999003062116	1
Brain_spinal_cord	BS_M27	66056	7.778506116022768	7.327085836303372	1
Brain_spinal_cord	BS_M28	4451	36.398786789485506	36.69223542922437	1
Brain_spinal_cord	BS_M29	23099	14.219490021213039	13.987930938484894	1
Brain_spinal_cord	BS_M3	52629	32.779000171008384	31.80262636547822	1
Brain_spinal_cord	BS_M30	12037	37.714463736811496	36.8816468154458	1
Brain_spinal_cord	BS_M31	53719	5.563562240548037	5.4510732158772575	1
Brain_spinal_cord	BS_M32	1938	17.978328173374614	17.31352963791685	1
Brain_spinal_cord	BS_M33	10900	37.43284403669725	37.76511412425749	1
Brain_spinal_cord	BS_M34	44899	9.24298982159959	9.211649375949458	1
Brain_spinal_cord	BS_M35	11564	8.931771013490142	8.867702489537479	1
Brain_spinal_cord	BS_M36	1286	15.754276827371696	16.080627411453445	1
Brain_spinal_cord	BS_M37	8087	22.59193767775442	22.88250571876845	1
Brain_spinal_cord	BS_M38	31602	11.769001961901145	11.872253705719062	1
Brain_spinal_cord	BS_M39	1965	22.713994910941476	22.581525953748397	1
Brain_spinal_cord	BS_M4	67799	23.989881856664553	23.318396212168512	1
Brain_spinal_cord	BS_M40	395141	10.183443378439586	9.929216764160484	1
Brain_spinal_cord	BS_M41	35714	13.616284930279445	13.053201404559523	1
Brain_spinal_cord	BS_M42	21843	13.045323444581788	12.635771729648866	1
Brain_spinal_cord	BS_M43	5430	14.864456721915282	15.356306882271067	1
Brain_spinal_cord	BS_M44	38632	15.515013460343756	15.701676994591702	1
Brain_spinal_cord	BS_M45	39157	14.471103506397323	14.733480786810656	1
Brain_spinal_cord	BS_M46	10964	14.303903684786574	15.111644109689149	1
Brain_spinal_cord	BS_M47	9397	13.055230392678514	13.291942723529798	1
Brain_spinal_cord	BS_M48	31325	12.807214684756584	12.45297114552636	1
Brain_spinal_cord	BS_M49	11065	13.321825576140984	12.63465589192929	1
Brain_spinal_cord	BS_M5	21825	24.96898052691867	24.547276763787774	1
Brain_spinal_cord	BS_M50	8575	14.195102040816328	14.28598568350218	1
Brain_spinal_cord	BS_M51	4440	13.687837837837838	13.53732020595192	1
Brain_spinal_cord	BS_M52	6235	9.706335204490776	9.755190183782137	1
Brain_spinal_cord	BS_M53	35716	38.0497816104827	36.48007345462247	1
Brain_spinal_cord	BS_M54	413590	18.602492806886037	19.235662176168606	1
Brain_spinal_cord	BS_M55	57266	29.112806901128067	28.934336376516775	1
Brain_spinal_cord	BS_M56	96626	36.76237244633949	37.01807338350018	1
Brain_spinal_cord	BS_M6	4226	35.50970184571699	34.72108630364846	1
Brain_spinal_cord	BS_M7	7264	24.31525330396476	23.93547946361678	1
Brain_spinal_cord	BS_M8	512	39.498046875	39.34878121458656	1
Brain_spinal_cord	BS_M9	2800	35.29714285714286	35.18479463113795	1
Endothelium	En_M1	23238	15.691109389792583	15.892289172351457	1
Endothelium	En_M10	2888	38.74445983379501	38.81576765136392	1
Endothelium	En_M11	11678	26.640863161500256	26.812703279035308	1
Endothelium	En_M12	29811	38.27899097648519	38.81411211112565	1
Endothelium	En_M2	11258	22.678806182270385	22.22059524082163	1
Endothelium	En_M3	1609	30.148539465506527	31.11828325149389	1
Endothelium	En_M4	12185	12.716044316782927	12.53385432381544	1
Endothelium	En_M5	87850	12.034604439385314	12.305081784747145	1
Endothelium	En_M6	10331	36.28787145484464	36.53230881506355	1
Endothelium	En_M7	9693	4.612813370473537	4.372629044120434	1
Endothelium	En_M8	18008	33.18319635717459	34.309698143180114	1
Endothelium	En_M9	9999	33.89348934893489	34.35963281256564	1
Epithelial_cells	Ep_M1	11493	7.501522665970591	7.532759552859062	1
Epithelial_cells	Ep_M10	33413	28.2499027324694	28.466314743885803	1
Epithelial_cells	Ep_M11	654	31.05198776758409	31.762780585441067	1
Epithelial_cells	Ep_M12	30	39.56666666666667	40.30893726318542	1
Epithelial_cells	Ep_M13	3454	28.154313839027218	28.617844226386865	1
Epithelial_cells	Ep_M14	29880	15.33413654618474	14.8546044249727	1
Epithelial_cells	Ep_M15	2080	7.719230769230769	7.687590238669733	1
Epithelial_cells	Ep_M16	26153	14.266049783963595	14.54316545911461	1
Epithelial_cells	Ep_M17	199	25.97989949748744	25.396420441967788	1
Epithelial_cells	Ep_M18	155	39.303225806451614	38.86765407124673	1
Epithelial_cells	Ep_M19	2980	31.668456375838925	32.071233257012295	1
Epithelial_cells	Ep_M2	6328	10.674936788874842	9.498369695665383	1
Epithelial_cells	Ep_M20	2366	20.362214708368555	20.77057811884348	1
Epithelial_cells	Ep_M21	59952	7.190969442220443	7.350172509814615	1
Epithelial_cells	Ep_M22	112634	12.419819947795515	12.049528142257323	1
Epithelial_cells	Ep_M23	1384	23.57369942196532	22.93855829016844	1
Epithelial_cells	Ep_M24	912	32.584429824561404	33.65292749191887	1
Epithelial_cells	Ep_M25	936	34.3525641025641	34.54126669360193	1
Epithelial_cells	Ep_M26	905	38.550276243093926	38.62028955001262	1
Epithelial_cells	Ep_M3	13356	34.93845462713387	35.149269441980536	1
Epithelial_cells	Ep_M4	536	37.3134328358209	37.02920734105827	1
Epithelial_cells	Ep_M5	29374	25.73517396336897	25.847871944191464	1
Epithelial_cells	Ep_M6	248	36.354838709677416	36.79717365383567	1
Epithelial_cells	Ep_M7	566	37.17667844522968	38.25728408246055	1
Epithelial_cells	Ep_M8	894	36.391498881431765	35.83818956138062	1
Epithelial_cells	Ep_M9	4112	35.11843385214008	36.08567373453683	1
Eye	Ey_M1	2609	40.87504791107704	40.7753222705037	1
Eye	Ey_M10	22496	34.066678520625885	34.53983356319809	1
Eye	Ey_M11	3437	13.6491125981961	14.255105470726752	1
Eye	Ey_M12	1540	40.176623376623375	39.475164904431594	1
Eye	Ey_M13	742	33.66576819407008	32.86399119552576	1
Eye	Ey_M14	6903	33.147037519918875	32.338532443224345	1
Eye	Ey_M15	1850	22.778378378378378	21.952251870167945	1
Eye	Ey_M16	4757	35.38805970149254	35.44776134262107	1
Eye	Ey_M17	467	42.63169164882227	43.18691533752408	1
Eye	Ey_M18	4116	26.849125364431487	27.59894432241461	1
Eye	Ey_M2	2320	36.30560344827586	35.398448556996435	1
Eye	Ey_M3	1105	39.41990950226244	39.912003452646886	1
Eye	Ey_M4	580	39.18448275862069	39.01061603620683	1
Eye	Ey_M5	553	24.918625678119348	24.809566471570967	1
Eye	Ey_M6	2793	36.93197278911565	37.64925652017528	1
Eye	Ey_M7	42457	7.830251784158091	8.119862889068393	1
Eye	Ey_M8	471	35.76645435244161	36.813107921210474	1
Eye	Ey_M9	236	35.17372881355932	34.81975593867427	1
Gastrulation	Ga_M1	10351	3.588059124722249	2.4072472881622384	1
Gastrulation	Ga_M10	893	2.541993281075028	3.4783215282249413	1
Gastrulation	Ga_M11	2978	5.301880456682337	5.433704407638699	1
Gastrulation	Ga_M12	877	7.246294184720639	7.519393741851369	1
Gastrulation	Ga_M13	2214	5.9286359530261965	6.093416423761182	1
Gastrulation	Ga_M14	4992	6.545873397435898	6.957633776056414	1
Gastrulation	Ga_M15	6516	5.124309392265193	5.709787438715778	1
Gastrulation	Ga_M16	354	3.3192090395480225	3.183132530120482	1
Gastrulation	Ga_M17	982	7.2922606924643585	7.077355623100304	1
Gastrulation	Ga_M18	3194	5.718847839699436	5.445533357370507	1
Gastrulation	Ga_M19	258	7.441860465116279	7.232915196946251	1
