system	meta_group	total_cells_node	node_age_mean	node_age_weighted	n_celltypes_in_node	delta_input	delta_output	delta_delta
Blood	B_M1	1304	42.59969325153374	43.86438071683025	1	-0.00236	0	-0.00236
Blood	B_M10	2845	31.58558875219684	31.64218639298221	1	-0.008355	0	-0.008355
Blood	B_M11	31693	25.957466948537533	26.85552296339827	1	0.0153890320550359	0.009769	0.0056200320550359
Blood	B_M12	15396	33.728890620940504	35.481474696214924	1	-0.006278	-0.006219	-5.9000000000000025e-5
Blood	B_M13	19084	34.24523160762943	33.33123333000244	1	-0.002717	0	-0.002717
Blood	B_M14	13184	35.19554004854369	35.08821021584147	1	0.007292	0	0.007292
Blood	B_M15	11206	24.007406746385865	24.029584810133013	1	0.010634	-0.023235000000000002	0.033869
Blood	B_M16	12442	21.00884102234367	21.45279141720714	1	-0.015633	0	-0.015633
Blood	B_M17	4642	28.9366652305041	28.85070875726104	1	0.001046	0	0.001046
Blood	B_M18	19516	34.55036892805903	32.69931846896988	1	-0.010105	0.004026	-0.014131
Blood	B_M19	15310	36.997713912475504	35.2199026753726	1	-0.006219	-0.00148	-0.004739
Blood	B_M2	2293	39.77191452245966	39.415010460104135	1	1.26e-4	0	1.26e-4
Blood	B_M20	1400	36.88285714285714	37.99644722718983	1	-0.001202	0	-0.001202
Blood	B_M21	2147	35.640428504890544	35.51043681144635	1	0.004855	0	0.004855
Blood	B_M22	685	34.35036496350365	34.32459078749369	1	0.00797	0	0.00797
Blood	B_M23	7462	39.59220048244438	38.25549950898394	1	-0.00148	0	-0.00148
Blood	B_M24	108605	9.883458404309192	10.447194712604544	1	0	0	0
Blood	B_M25	4765	37.0115424973767	38.57016912462018	1	0.018283	-0.006868	0.025151
Blood	B_M26	22815	40.52623274161736	40.27329241456016	1	-0.003642	-0.00236	-0.0012819999999999997
Blood	B_M27	987	29.931104356636272	29.859142459442698	1	-0.001905	0.012118	-0.014023
Blood	B_M3	1023	32.81818181818182	33.17589047889176	1	0.013531	-0.014357	0.027888
Blood	B_M4	19693	38.97953587569187	39.584422816485265	1	-0.014357	0	-0.014357
Blood	B_M5	42271	30.054079629060112	30.42500816230218	1	-0.008031	-6.019999999999997e-4	-0.007429
Blood	B_M6	1728	37.842592592592595	37.859653388261975	1	-0.003786	0	-0.003786
Blood	B_M7	2600	34.68692307692308	35.90002104765782	1	-0.0023049999999999998	0	-0.0023049999999999998
Blood	B_M8	741363	30.65950418351063	30.6952471474605	1	-0.00457	-0.014862	0.010291999999999999
Blood	B_M9	73181	34.113130457359155	35.68295638542336	1	-0.014862	0	-0.014862
Brain_spinal_cord	BS_M1	16234	12.310582727608724	12.798416559340923	1	0.0773451669615904	-0.078764	0.15610916696159038
Brain_spinal_cord	BS_M10	20964	15.441900400686892	14.77354487048358	1	-0.106466	0	-0.106466
Brain_spinal_cord	BS_M11	164552	29.526113325878743	29.952184660663292	1	0.014671	-0.007092	0.021763
Brain_spinal_cord	BS_M12	15589	15.46782988004362	15.69088251472566	1	-0.007323	-0.037311	0.029987999999999997
Brain_spinal_cord	BS_M13	30999	14.63263331075196	14.629775312087578	1	-0.048222	-0.003335	-0.044887
Brain_spinal_cord	BS_M14	77273	12.980601244936784	12.468808622406232	1	0.189490048286169	-0.234564	0.424054048286169
Brain_spinal_cord	BS_M15	29378	14.87412349377085	15.797142447234531	1	-0.158033	0.015314	-0.173347
Brain_spinal_cord	BS_M16	2872	37.866991643454035	37.95125814364831	1	-0.042498	0	-0.042498
Brain_spinal_cord	BS_M17	380281	28.59438941204004	28.69272972028673	1	-0.040768	-0.002043	-0.038724999999999996
Brain_spinal_cord	BS_M18	205268	29.148284194321576	28.76439647203634	1	-0.199012	0	-0.199012
Brain_spinal_cord	BS_M19	372925	29.548930750150845	29.79343030686558	1	-0.434596	0	-0.434596
Brain_spinal_cord	BS_M2	16080	8.603047263681592	9.35163078819726	1	-0.1686964000525086	0.021976	-0.1906724000525086
Brain_spinal_cord	BS_M20	196381	10.7855698871072	10.981179182619696	1	0.184099954941864	-0.35207367749718604	0.53617363243905
Brain_spinal_cord	BS_M21	19592	14.546345447121274	14.678482118936904	1	-0.125959	-0.084058	-0.041900999999999994
Brain_spinal_cord	BS_M22	52884	13.195049542394676	13.211105373924768	1	0.279363081825413	-0.047025	0.32638808182541296
Brain_spinal_cord	BS_M23	14571	10.527280214123945	10.475635996216417	1	0.12617699999999998	-0.125959	0.25213599999999997
Brain_spinal_cord	BS_M24	37282	25.44579153478891	26.3381883647615	1	-0.087108	0.022992	-0.1101
Brain_spinal_cord	BS_M25	143471	14.921614821113671	14.82312394247023	1	0.10735426722201	0.023614	0.08374026722201
Brain_spinal_cord	BS_M26	5495	15.634576888080073	15.504999003062116	1	-0.078764	-0.035519	-0.043245
Brain_spinal_cord	BS_M27	66056	7.778506116022768	7.327085836303372	1	0.165221882830351	-0.011937000000000003	0.177158882830351
Brain_spinal_cord	BS_M28	4451	36.398786789485506	36.69223542922437	1	-0.299868	0	-0.299868
Brain_spinal_cord	BS_M29	23099	14.21949002121304	13.987930938484894	1	-0.050001	0	-0.050001
Brain_spinal_cord	BS_M3	52629	32.779000171008384	31.80262636547822	1	0.152188	-0.220124	0.372312
Brain_spinal_cord	BS_M30	12037	37.714463736811496	36.8816468154458	1	-0.102178	0	-0.102178
Brain_spinal_cord	BS_M31	53719	5.563562240548037	5.4510732158772575	1	0.279927550944807	-0.085671	0.365598550944807
Brain_spinal_cord	BS_M32	1938	17.978328173374614	17.31352963791685	1	-0.115929	0	-0.115929
Brain_spinal_cord	BS_M33	10900	37.43284403669725	37.76511412425749	1	-0.268634	0.011762	-0.280396
Brain_spinal_cord	BS_M34	44899	9.24298982159959	9.211649375949458	1	0.37093330548285497	-0.34744600000000003	0.718379305482855
Brain_spinal_cord	BS_M35	11564	8.931771013490142	8.867702489537479	1	0.15940731724865098	0	0.15940731724865098
Brain_spinal_cord	BS_M36	1286	15.754276827371696	16.080627411453445	1	-0.054601	0	-0.054601
Brain_spinal_cord	BS_M37	8087	22.59193767775442	22.88250571876845	1	0	0	0
Brain_spinal_cord	BS_M38	31602	11.769001961901145	11.872253705719062	1	-0.071291	0	-0.071291
Brain_spinal_cord	BS_M39	1965	22.713994910941476	22.581525953748397	1	0	0	0
Brain_spinal_cord	BS_M4	67799	23.989881856664553	23.318396212168512	1	-0.073839	0	-0.073839
