system,node,n_cells,mean_stage,median_stage,mean_ucell
Blood,B_M1,6621,18.881815435734783,19.0,0.014762842135293426
Blood,B_M10,3392,16.187205188679247,16.0,0.007438417190775682
Blood,B_M11,35653,14.768140128460438,14.75,0.015858428619065872
Blood,B_M12,22451,17.067680726916397,17.25,0.009497250802983286
Blood,B_M13,32415,17.41706000308499,18.25,0.005004366976879702
Blood,B_M14,23288,17.612354002061146,18.5,0.022846344326119317
Blood,B_M15,12958,14.461490970828832,14.0,0.026492351357376827
Blood,B_M16,14370,13.8069798190675,13.25,0.010802396968994047
Blood,B_M17,8210,16.729415347137635,18.5,0.00871270807957775
Blood,B_M18,28898,17.23573430687245,17.25,0.005677244099937712
Blood,B_M19,24514,17.75056090397324,18.25,0.003227194437645608
Blood,B_M2,4188,18.284383954154727,18.5,0.0058243659131911275
Blood,B_M20,2920,18.027140410958904,19.0,0.01266251902587519
Blood,B_M21,3234,17.446583178726037,17.75,0.012711159211159211
Blood,B_M22,1077,17.306638811513462,18.0,0.024030847002991847
Blood,B_M23,15341,18.34239945244769,19.0,0.0018292592834017773
Blood,B_M24,108606,10.226745759902768,10.25,0.04052278265780282
Blood,B_M25,9604,18.009136817992502,19.0,0.024065354713313898
Blood,B_M26,69902,18.63495679665818,19.0,0.017125113253793407
Blood,B_M27,1805,16.94016620498615,18.25,0.013316528162511542
Blood,B_M3,1227,16.46088019559902,16.25,0.028946119713845874
Blood,B_M4,42940,18.30972869119702,19.0,0.014911830461108522
Blood,B_M5,63260,16.503248498261144,17.5,0.007687524150771069
Blood,B_M6,4725,18.345925925925926,19.0,0.003976343327454438
Blood,B_M7,4471,17.500670990829793,18.25,0.009441984144735207
Blood,B_M8,868811,15.940786891510351,15.75,0.018558221395549652
Blood,B_M9,89723,16.78007868662439,17.0,0.0038569027884587997
Endothelium,En_M1,26714,12.634197424571386,10.0,0.036887628625855776
Endothelium,En_M10,5580,18.190636200716845,18.75,0.02087331740342493
Endothelium,En_M11,13991,15.169212350796942,16.0,0.06094447224009085
Endothelium,En_M12,59447,18.157400709876026,18.75,0.01902589421389361
Endothelium,En_M2,14756,14.742545405258877,14.25,0.01875541399355441
Endothelium,En_M3,3536,17.31052036199095,19.0,0.015961726998491705
Endothelium,En_M4,14017,11.985414139972889,10.0,0.028489841700157746
Endothelium,En_M5,88499,10.820948259302364,10.0,0.02855508850696367
Endothelium,En_M6,16889,17.667697909882172,18.25,0.03559345004309182
Endothelium,En_M7,9693,8.984168987929435,9.0,0.03208702729346493
Endothelium,En_M8,30171,17.236742235921913,18.25,0.018301882970770313
Endothelium,En_M9,24922,17.885984270925288,19.0,0.03846576875406825
Epithelial_cells,Ep_M1,11493,9.65291481771513,9.75,0.04874278062975532
Epithelial_cells,Ep_M10,39828,15.486950135583006,15.75,0.028570634282972338
Epithelial_cells,Ep_M11,1593,17.568424356559948,19.0,0.0366746181209458
Epithelial_cells,Ep_M12,51,18.20098039215686,18.5,0.021699346405228758
Epithelial_cells,Ep_M13,5688,16.442642405063292,17.5,0.014177527738709172
Epithelial_cells,Ep_M14,32918,12.269679202867732,11.25,0.02948165812692819
Epithelial_cells,Ep_M15,2081,9.684766938971649,9.75,0.06168167013722035
Epithelial_cells,Ep_M16,28814,12.029693898799193,10.5,0.0504693281815167
Epithelial_cells,Ep_M17,428,16.789135514018692,19.0,0.07787616822429907
Epithelial_cells,Ep_M18,539,18.590445269016698,19.0,0.012793856936714079
Epithelial_cells,Ep_M19,4757,16.91212949337818,17.5,0.04219456707074954
Epithelial_cells,Ep_M2,6328,10.418734197218711,10.25,0.04855580137659784
Epithelial_cells,Ep_M20,2732,13.665721083455344,12.5,0.12399723442329591
Epithelial_cells,Ep_M21,60897,9.72184015632954,9.5,0.11638357481576359
Epithelial_cells,Ep_M22,112691,10.866667701946028,10.0,0.06866492345341588
Epithelial_cells,Ep_M23,1695,14.632035398230087,15.0,0.0341984267453294
Epithelial_cells,Ep_M24,1835,17.45735694822888,19.0,0.037676052073872236
Epithelial_cells,Ep_M25,1527,17.36836935166994,18.5,0.03728028814669286
Epithelial_cells,Ep_M26,2916,18.49957133058985,19.0,0.006982738911751258
Epithelial_cells,Ep_M3,19423,17.270323842866706,17.25,0.1671602853432643
Epithelial_cells,Ep_M4,1302,18.20890937019969,19.0,0.017028759173920462
Epithelial_cells,Ep_M5,39809,15.446249591800848,15.25,0.06527173643034377
Epithelial_cells,Ep_M6,562,18.04626334519573,19.0,0.011869315935152234
Epithelial_cells,Ep_M7,1241,18.107977437550364,19.0,0.013836869907780465
Epithelial_cells,Ep_M8,1078,17.2152133580705,17.0,0.011776540919398061
Epithelial_cells,Ep_M9,9664,17.948856581125828,19.0,0.15871493285504049
Eye,Ey_M1,10061,18.732581254348474,19.0,0.01425207346298689
Eye,Ey_M10,52158,17.821101269220446,19.0,0.13260254312750575
Eye,Ey_M11,3444,11.178208478513357,10.75,0.09989243773390113
Eye,Ey_M12,4702,18.605061675882602,19.0,0.021729193251098823
Eye,Ey_M13,1053,17.00332383665717,17.25,0.013604727234356864
Eye,Ey_M14,10916,17.12612220593624,17.75,0.013380338748422297
Eye,Ey_M15,3214,15.802271313005601,17.75,0.06309752471824656
Eye,Ey_M16,10089,17.866983843790265,19.0,0.04666439796918536
Eye,Ey_M17,2743,18.899197958439665,19.0,0.02025754445659659
Eye,Ey_M18,5829,15.795805455481215,15.5,0.08424648786717752
Eye,Ey_M2,5092,18.009672034564023,19.0,0.01867109627302086
Eye,Ey_M3,3408,18.547681924882628,19.0,0.02481628195096505
Eye,Ey_M4,1426,18.408660589060307,19.0,0.02642200405173757
Eye,Ey_M5,695,15.005395683453237,14.25,0.04531270983213429
Eye,Ey_M6,5683,18.008710188280837,19.0,0.023399104541810857
Eye,Ey_M7,43369,9.947628490396367,9.5,0.0837155725671947
Eye,Ey_M8,893,17.782474804031356,18.5,0.021468707229065572
Eye,Ey_M9,586,18.01066552901024,19.0,0.04345942358740994
Gut,G_M1,6264,18.66522988505747,19.0,0.03035325315737193
Gut,G_M10,536,18.261660447761194,19.0,0.01689158374792703
Gut,G_M11,1742,17.751004592422504,18.5,0.013904834800357188
Gut,G_M12,5308,18.94244536548606,19.0,0.06971154651260153
Gut,G_M13,28335,15.945314981471679,16.25,0.10026030233515676
Gut,G_M14,47342,17.502497782096235,18.0,0.01572127169203761
Gut,G_M15,3615,15.580843706777317,15.75,0.042809405255878286
Gut,G_M16,1270,16.296850393700787,16.25,0.03201513560804899
Gut,G_M2,408,18.483455882352942,19.0,0.020398148148148148
Gut,G_M3,14321,18.690506947838838,19.0,0.04143598755518314
Gut,G_M4,21443,18.75177214009234,19.0,0.02226382606082275
Gut,G_M5,1693,17.03322504430006,17.5,0.03465537835531929
Gut,G_M6,1660,8.562590361445784,8.5,0.02061305220883534
Gut,G_M7,6924,17.300801559792028,18.5,0.029170518005006738
Gut,G_M8,21284,9.698360270625821,9.75,0.16319227275574766
Gut,G_M9,284606,17.378628700730133,18.5,0.02735600834526015
Lateral_plate_mesoderm,L_M1,3012,17.404548472775563,18.25,0.03253847572672274
Lateral_plate_mesoderm,L_M10,11861,17.350750358317175,17.75,0.17510378551555517
Lateral_plate_mesoderm,L_M11,4558,12.255923650724002,11.25,0.034305592121300764
Lateral_plate_mesoderm,L_M12,108,17.87962962962963,17.5,0.030814814814814812
Lateral_plate_mesoderm,L_M13,60627,12.325186797961305,11.25,0.3054016728886836
Lateral_plate_mesoderm,L_M14,27547,13.389450756888229,12.75,0.13993188610980023
Lateral_plate_mesoderm,L_M15,294,16.885204081632654,16.5,0.06645124716553287
Lateral_plate_mesoderm,L_M16,222719,11.33664842245161,11.25,0.07100449495153584
Lateral_plate_mesoderm,L_M17,71695,16.275249320036266,16.5,0.27445824209033637
Lateral_plate_mesoderm,L_M18,6165,14.79991889699919,14.25,0.03206246733351356
Lateral_plate_mesoderm,L_M19,57732,15.989840989399294,16.5,0.10315780772458179
Lateral_plate_mesoderm,L_M2,6843,17.413122899313166,17.75,0.06108073132316885
Lateral_plate_mesoderm,L_M20,9452,11.056792213288194,10.0,0.026119045939718814
Lateral_plate_mesoderm,L_M21,22277,17.68092651613772,18.5,0.12243894799319677
Lateral_plate_mesoderm,L_M22,3537,9.317571388182076,9.25,0.08193739201457606
Lateral_plate_mesoderm,L_M23,1719,16.754653868528216,17.75,0.06428679464805119
Lateral_plate_mesoderm,L_M24,126741,9.757024956407161,9.75,0.04262483945824774
Lateral_plate_mesoderm,L_M25,126235,11.322746068839862,10.5,0.1512815419213724
Lateral_plate_mesoderm,L_M26,23229,16.995092341469714,17.75,0.0329871090255954
Lateral_plate_mesoderm,L_M27,11384,17.814871749824317,18.25,0.017530012883579294
Lateral_plate_mesoderm,L_M28,3727,17.815065736517305,18.5,0.017386727484124852
Lateral_plate_mesoderm,L_M3,31010,9.542608835859399,9.5,0.10525506825755132
Lateral_plate_mesoderm,L_M4,25256,10.514133275261324,9.75,0.04701557385703727
Lateral_plate_mesoderm,L_M5,1274,16.233712715855575,16.75,0.018539072039072037
Lateral_plate_mesoderm,L_M6,19283,9.653684592646373,9.75,0.12039908497409924
Lateral_plate_mesoderm,L_M7,57543,9.219026640946769,9.25,0.08730442355185591
Lateral_plate_mesoderm,L_M8,28641,9.69855277399532,9.75,0.040080618693481375
Lateral_plate_mesoderm,L_M9,17982,10.35028639750862,10.0,0.24843900072912417
Mesoderm,M_M1,14376,18.73676613800779,19.0,0.02915994293784693
Mesoderm,M_M10,615070,15.984469247402735,16.0,0.10413455508276778
Mesoderm,M_M11,50325,9.274471932439145,9.25,0.20365356739006646
Mesoderm,M_M12,26992,11.467019857735625,11.5,0.17555442341543506
Mesoderm,M_M13,5017,10.307056009567471,10.25,0.11767405743321996
Mesoderm,M_M14,174368,15.460253601578271,15.5,0.07649261988891129
Mesoderm,M_M15,41897,15.044501992982791,15.25,0.039451401555183285
Mesoderm,M_M16,43052,17.37645753971941,18.5,0.040345713185215175
Mesoderm,M_M17,132718,17.545875465272232,18.0,0.22489485233069703
Mesoderm,M_M18,476076,10.651271855754125,10.5,0.21334387080883793
Mesoderm,M_M2,19656,16.555364774114775,16.5,0.055163072442717336
Mesoderm,M_M3,80279,18.471026046662267,18.75,0.018681187342655486
Mesoderm,M_M4,115026,14.352881087754072,13.5,0.14315912908966244
Mesoderm,M_M5,11651,17.682623809115096,18.5,0.07193781971663334
Mesoderm,M_M6,191118,15.224687104302054,15.0,0.17144744875357448
Mesoderm,M_M7,131045,9.945743065359228,9.75,0.1677284831484719
Mesoderm,M_M8,138563,14.106626588627556,13.5,0.21683610954864976
Mesoderm,M_M9,381830,10.835764214440982,10.5,0.16663236324232444
Notochord,No_M1,3750,9.423613333333334,9.5,0.2833687111111111
Notochord,No_M2,60,8.166666666666666,8.0,0.2970722222222222
PNS_glia,PG_M1,3203,15.853730877302528,16.5,0.017838276615672808
PNS_glia,PG_M2,33773,14.786175347170817,14.25,0.02651945505449784
PNS_glia,PG_M3,6894,15.010733971569481,14.75,0.047321164942139705
PNS_glia,PG_M4,70014,10.225945525180677,10.0,0.058733769119192036
PNS_glia,PG_M5,3871,17.617088607594937,18.75,0.03478535549240794
PNS_glia,PG_M6,6561,16.81424325560128,17.0,0.06690042168368643
PNS_neurons,PN_M1,2764,17.708031837916064,18.75,0.011203288310017687
PNS_neurons,PN_M2,12600,15.994722222222222,15.75,0.013009585537918871
PNS_neurons,PN_M3,4761,10.901963873135896,10.0,0.029265233727741605
PNS_neurons,PN_M4,51407,11.284851284844477,11.0,0.032568913010117516
PNS_neurons,PN_M5,39088,16.965711983217357,18.5,0.016757981989357348
PNS_neurons,PN_M6,7717,11.340546844628742,11.0,0.039870142398456515
PNS_neurons,PN_M7,8067,16.893764720466095,17.5,0.027104210569811164
PNS_neurons,PN_M8,17794,16.096689895470384,16.5,0.03518466898954704
Renal,R_M1,7843,9.693465510646437,9.75,0.03403009052658422
Renal,R_M10,10586,9.967759304742112,9.75,0.06431640321598757
Renal,R_M11,16069,18.240307424232995,19.0,0.018332392944316524
Renal,R_M12,7927,11.140563895546865,9.75,0.11503354218353587
Renal,R_M13,5700,16.298114035087718,17.25,0.03729639376218324
Renal,R_M14,390,16.418589743589745,16.0,0.06118974358974359
Renal,R_M2,4080,18.46390931372549,19.0,0.01818496732026144
Renal,R_M3,433,18.471131639722863,19.0,0.05517397998460354
Renal,R_M4,1889,18.291159343568026,19.0,0.030474266219634137
Renal,R_M5,563,18.362344582593252,19.0,0.015819222419577658
Renal,R_M6,1284,18.36584890965732,19.0,0.011102284527518172
Renal,R_M7,28644,17.365137550621423,18.5,0.052928672283510995
Renal,R_M8,19829,17.67446669020122,18.5,0.03639031497077793
Renal,R_M9,4836,18.218672456575682,19.0,0.04627511258156419
