system,x,y,x_name,y_name,edge_type,x_number,y_number,x_id,y_id,n_x,median_x,sh_x,q90_x,frac>0_x,variance_x,std_x,n_y,median_y,sh_y,q90_y,frac>0_y,variance_y,std_y,abs_delta,delta,cohens_d,pct_change,abs_pct_change
Blood,B_M8,B_M9,Definitive early erythroblasts (CD36-),Definitive erythroblasts (CD36+),Developmental progression,206,207,67,70,929291,0.0,0.0,0.0,0.0,0.0,0.0,92446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Blood,B_M11,B_M18,Hematopoietic stem cells (Cd34+),Monocytes,Developmental progression,183,190,111,151,37750,0.0,0.0,0.0,0.0,0.0,0.0,29268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Blood,B_M19,B_M23,Monocytic myeloid-derived suppressor cells,PMN myeloid-derived suppressor cells,Developmental progression,191,196,152,186,24741,0.0,0.0,0.0,0.0,0.0,0.0,15382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Blood,B_M25,B_M26,Regulatory T cells,T cells,Developmental progression,198,199,213,247,9800,0.0,0.0,0.0,0.0,0.0,0.0,70028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Blood,B_M26,B_M1,T cells,Activated T cells,Developmental progression,199,181,247,5,70028,0.0,0.0,0.0,0.0,0.0,0.0,6621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Blood,B_M15,B_M8,Megakaryocyte-erythroid progenitors,Definitive early erythroblasts (CD36-),Developmental progression,187,206,138,67,13436,0.0,0.0,0.0,0.0,0.0,0.0,929291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Blood,B_M5,B_M17,Border-associated macrophages,Microglia,Developmental progression,203,189,36,145,65191,0.0,0.0,0.0,0.0,0.0,0.0,8382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Blood,B_M11,B_M5,Hematopoietic stem cells (Cd34+),Border-associated macrophages,Developmental progression,183,203,111,36,37750,0.0,0.0,0.0,0.0,0.0,0.0,65191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Blood,B_M12,B_M19,Hematopoietic stem cells (Mpo+),Monocytic myeloid-derived suppressor cells,Developmental progression,184,191,112,152,23128,0.0,0.0,0.0,0.0,0.0,0.0,24741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Blood,B_M11,B_M12,Hematopoietic stem cells (Cd34+),Hematopoietic stem cells (Mpo+),Developmental progression,183,184,111,112,37750,0.0,0.0,0.0,0.0,0.0,0.0,23128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Blood,B_M11,B_M7,Hematopoietic stem cells (Cd34+),Conventional dendritic cells,Developmental progression,183,205,111,61,37750,0.0,0.0,0.0,0.0,0.0,0.0,4582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Blood,B_M3,B_M4,B cell progenitors,B cells,Developmental progression,201,202,29,30,1295,0.0,0.0,0.0,0.0,0.0,0.0,43057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
