system,x,y,x_name,y_name,edge_type,x_number,y_number,x_id,y_id,n_x,median_x,sh_x,q90_x,frac>0_x,variance_x,std_x,n_y,median_y,sh_y,q90_y,frac>0_y,variance_y,std_y,abs_delta,delta,cohens_d,pct_change,abs_pct_change
Endothelium,En_M5,En_M11,Endothelium,Pericytes,Developmental progression,60,55,83,195,90215,0.0,0.0251902048643429,0.0,0.010231114559663,0.5910983330421813,0.7688291962732563,14055,-0.164948558807373,0.3773304220034702,0.0,0.0926360725720384,4.249117998729702,2.0613388849797847,0.35214,0.35214,0.2264,1397.93,1397.93
Endothelium,En_M5,En_M6,Endothelium,Glomerular endothelial cells,Developmental progression,60,61,83,102,90215,0.0,0.0251902048643429,0.0,0.010231114559663,0.5910983330421813,0.7688291962732563,17038,0.0,0.3213848899835039,0.0,0.0614508745157882,3.209103797417291,1.7913971635059858,0.296195,0.296195,0.2149,1175.83,1175.83
Endothelium,En_M2,En_M3,Brain capillary endothelial cells,Brain pericytes,Developmental progression,57,58,38,39,15179,0.0,-0.0529771926269692,0.0,0.0058633638579616,0.303225658152519,0.5506592940762183,3617,-0.3037815952301025,-0.29134532428559,0.0,0.0069118053635609,0.3525924838025527,0.5937949846559439,0.238368,-0.238368,-0.4163,449.94,449.94
Endothelium,En_M5,En_M9,Endothelium,Lymphatic vessel endothelial cells,Developmental progression,60,64,83,136,90215,0.0,0.0251902048643429,0.0,0.010231114559663,0.5910983330421813,0.7688291962732563,25269,-0.1343999290466308,-0.0894369246321959,0.0,0.0049863469072776,0.2875605291185836,0.5362467054617526,0.114627,-0.114627,-0.1729,-455.05,455.05
Endothelium,En_M5,En_M12,Endothelium,Venous and capillary endothelial cells,Developmental progression,60,56,83,260,90215,0.0,0.0251902048643429,0.0,0.010231114559663,0.5910983330421813,0.7688291962732563,59523,0.0,-0.0887736498292747,0.0,0.004233657577743,0.2542866643671408,0.5042684447465862,0.113964,-0.113964,-0.1753,-452.41,452.41
Endothelium,En_M7,En_M5,Hematoendothelial progenitors,Endothelium,Developmental progression,62,60,110,83,9693,0.0,0.1146851940168803,0.0,0.0244506344784896,1.2755107408881674,1.1293851162859228,90215,0.0,0.0251902048643429,0.0,0.010231114559663,0.5910983330421813,0.7688291962732563,0.089495,-0.089495,-0.0926,-78.04,78.04
Endothelium,En_M5,En_M2,Endothelium,Brain capillary endothelial cells,Developmental progression,60,57,83,38,90215,0.0,0.0251902048643429,0.0,0.010231114559663,0.5910983330421813,0.7688291962732563,15179,0.0,-0.0529771926269692,0.0,0.0058633638579616,0.303225658152519,0.5506592940762183,0.078167,-0.078167,-0.1169,-310.31,310.31
Endothelium,En_M5,En_M1,Endothelium,Arterial endothelial cells,Developmental progression,60,53,83,25,90215,0.0,0.0251902048643429,0.0,0.010231114559663,0.5910983330421813,0.7688291962732563,26943,0.0,-0.0456507904754424,0.0,0.0082396169691571,0.4604860870607902,0.6785912518304301,0.070841,-0.070841,-0.0977,-281.22,281.22
Endothelium,En_M5,En_M4,Endothelium,Endocardial cells,Developmental progression,60,59,83,82,90215,0.0,0.0251902048643429,0.0,0.010231114559663,0.5910983330421813,0.7688291962732563,14071,0.0,-0.0450593019800902,0.0,0.0079596332883235,0.4422129919058757,0.66499097129651,0.07025,-0.07025,-0.0977,-278.88,278.88
Endothelium,En_M5,En_M10,Endothelium,Microvascular endothelial cells,Developmental progression,60,54,83,146,90215,0.0,0.0251902048643429,0.0,0.010231114559663,0.5910983330421813,0.7688291962732563,5624,0.0,-0.0418659492797227,0.0,0.0053342816500711,0.2816675467942039,0.5307236067805953,0.067056,-0.067056,-0.1015,-266.2,266.2
Endothelium,En_M5,En_M8,Endothelium,Liver sinusoidal endothelial cells,Developmental progression,60,63,83,132,90215,0.0,0.0251902048643429,0.0,0.010231114559663,0.5910983330421813,0.7688291962732563,30802,0.0,0.0117174083528158,0.0,0.0141549250048698,0.7722763067879277,0.878792527726498,0.013473,-0.013473,-0.0163,-53.48,53.48
