celltype_new,n_cells,median,mean,q90,frac>0,variance,std
Arterial endothelial cells,26943,0.0,-0.04565079047544246,0.0,0.008239616969157109,0.46048608706079025,0.6785912518304301
Brain capillary endothelial cells,15179,0.0,-0.05297719262696921,0.0,0.005863363857961657,0.30322565815251906,0.5506592940762183
Brain pericytes,3617,-0.30378159523010256,-0.29134532428559,0.0,0.006911805363560962,0.3525924838025527,0.5937949846559439
Endocardial cells,14071,0.0,-0.045059301980090255,0.0,0.007959633288323503,0.44221299190587576,0.66499097129651
Endothelium,90215,0.0,0.025190204864342963,0.0,0.010231114559663027,0.5910983330421813,0.7688291962732563
Glomerular endothelial cells,17038,0.0,0.32138488998350395,0.0,0.06145087451578824,3.209103797417291,1.7913971635059858
Hematoendothelial progenitors,9693,0.0,0.11468519401688036,0.0,0.024450634478489632,1.2755107408881674,1.1293851162859228
Liver sinusoidal endothelial cells,30802,0.0,0.011717408352815891,0.0,0.014154925004869813,0.7722763067879277,0.878792527726498
Lymphatic vessel endothelial cells,25269,-0.13439992904663087,-0.08943692463219598,0.0,0.004986346907277692,0.28756052911858365,0.5362467054617526
Microvascular endothelial cells,5624,0.0,-0.04186594927972276,0.0,0.005334281650071123,0.2816675467942039,0.5307236067805953
Pericytes,14055,-0.16494855880737305,0.3773304220034702,0.0,0.09263607257203842,4.249117998729702,2.0613388849797847
Venous and capillary endothelial cells,59523,0.0,-0.0887736498292747,0.0,0.004233657577743057,0.2542866643671408,0.5042684447465862
