celltype_new,n_cells,median,mean,q90,frac>0,variance,std
Amniotic ectoderm,11509,-0.8675111961364746,0.16027397311461958,3.065528800964356,0.36414979581197326,4.543726118244958,2.1316017729034096
Apical ectodermal ridge,6330,-1.2572288274765016,-0.32964170805387205,2.6119951257705685,0.32037914691943126,3.5027243073173016,1.8715566535152768
Basal keratinocytes,19591,1.6331315231323242,1.1738448646998223,3.8442686557769776,0.5559695778673881,5.080739822128018,2.2540496494372118
Bladder urothelial cells,1313,-0.880867509841919,-0.6150362031330885,1.5461393442153923,0.1485148514851485,1.9195622325514057,1.3854826713284456
Branchial arch epithelium,41134,-0.8026718091964722,0.026348175961465745,3.0003377342224127,0.3206593086011572,3.816336601527489,1.9535446249132598
Cochlear hair cells,574,-1.6694069218635559,-1.2744551335893026,0.8850339956283569,0.17073170731707318,1.5000425443715921,1.2247622399354057
Conjunctival goblet cells,1244,-1.1005205059051513,-0.9097319897233099,0.9821083040237443,0.1310289389067524,1.6588663203166167,1.2879698444903966
Corneal epithelial cells,1078,-0.8428100800514221,-0.7108512432278862,0.6622868719100966,0.11038961038961038,1.2255553960706733,1.1070480549961115
Dental epithelial cells,9903,1.72295401096344,1.0879283548800207,3.508746526718141,0.5704332020599818,4.0179601216757295,2.004485001609074
Granular keratinocytes,41185,-1.0167122030258178,-0.523258396696202,2.2793378438949583,0.20150540245234916,2.5044813066778726,1.5825553092002418
Lens epithelial cells,1605,-1.0953901863098146,-0.4209650084593585,2.2054589099884057,0.2853582554517134,2.8109471162448436,1.6765879387150688
Nonsensory cochlear epithelium,51,-1.4666999530792237,-1.1247773032094919,1.1904391288757323,0.17647058823529413,1.6297564385230157,1.276619143880827
Olfactory bulb cells,5888,-1.4014142966270446,-1.0568590579351977,1.368057577133179,0.14249320652173914,1.7767609810235472,1.332951980014114
Olfactory epithelial cells,33331,-1.4133762741088867,-0.8037052143024592,2.0535580682754517,0.22612582880801657,2.8894635084206466,1.6998422010353333
Olfactory pit cells,2081,-1.1142733001708984,0.21288435675672818,2.9764392948150635,0.4199903892359443,5.531195866917444,2.3518494566866828
Otic epithelial cells,29337,-1.2289471817016602,-0.3579088571555418,2.417591873168946,0.33987796979922963,3.678928966688084,1.9180534316561892
Parathyroid epithelial cells,433,-0.7073841285705567,0.3484821942111361,3.0567436599731446,0.3833718244803695,4.219708230017652,2.0541928414872963
Pineal gland,540,-1.4563269877433778,-1.157592278789591,0.6619610733985909,0.10925925925925926,1.3071314043666706,1.143298475625097
Pituitary gland cells,4964,-1.3936444664001466,-0.7287968975617749,1.9993320050239562,0.27195809830781625,2.9051252031767048,1.7044427837791167
Pituitary/Pineal gland progenitors,2797,1.312296667098999,0.9406714901738308,3.607334163665772,0.532713621737576,5.975401279147168,2.4444633928834296
Placodal area,60938,0.857073812484741,0.8218202056211507,3.645911204814911,0.5206439331779842,5.921961051281636,2.4335079723069812
Pre-epidermal keratinocytes,114402,-0.8731455039978028,0.2650459126486161,3.332228034019471,0.37248474677016136,5.336159975464197,2.31001298166573
Primordial germ cells,1712,-0.7257124781608582,0.08986625273093998,2.916187347888947,0.38259345794392524,3.85834221953832,1.964266331111522
Thymic epithelial cells,1937,-0.9767574310302735,-0.38528864180850936,2.3896605815887453,0.2607124419204956,3.099355148626161,1.7604985511570752
Thyroid gland cells,1578,-0.9458763456344605,-0.3131817803002129,2.6521833696365356,0.25158428390367554,3.0594720419810537,1.749134655188403
Tooth junctional epithelium,2918,-0.9795363855361938,-0.9110898243441331,-0.3434312763214109,0.06100068540095956,0.9913354350005404,0.9956582922873392
