celltype_new,n_cells,median,mean,q90,frac>0,variance,std
Amacrine cells,10061,-0.8308521175384521,-0.8573441643568455,-0.3537812805175781,0.00655998409700825,0.25166329830490974,0.5016605409088
Amacrine/Horizontal precursor cells,5154,-0.6288051342964172,-0.5941511797201833,-0.265166090965271,0.02017850213426465,0.40731870174282286,0.6382152471876732
Bipolar precursor cells,3414,-0.5681466341018677,-0.46874626717235024,-0.18420881271362305,0.03983596953719976,0.7039123231562262,0.8389948290402189
Cholinergic amacrine cells,1426,-1.143700315952301,-1.0947963056825154,-0.5521175837516785,0.01332398316970547,0.31465593007940246,0.560942002420395
Ciliary margin cells,725,-0.6536326742172242,-0.3764716540829888,-0.08419287300109857,0.09655172413793103,1.4333823594461927,1.1972394745606214
Cone precursor cells,5744,-1.090853476524353,-1.0758885677735786,-0.6097581796646118,0.01915041782729805,0.4278461859487689,0.6540995229693788
Eye field,43440,-0.5468877792358399,-0.001329132476015425,3.0121768894195555,0.1727209944751381,2.7966784587033113,1.6723272582551871
Horizontal cells,910,-1.2746273684501648,-1.2689292584094372,-0.6572102823257446,0.014285714285714285,0.4078460551813965,0.6386282605564809
Iris pigment epithelium,592,-0.8682977199554444,-0.5099551686080727,1.7871382102966304,0.13006756756756757,1.5986413520755383,1.2643738972612248
Naive retinal progenitor cells,52693,-0.2782963466644287,1.142770479403365,4.135813095092773,0.35644203214848275,5.814740875409321,2.411377381375491
Optic stalk,3457,-0.4991151809692383,-0.06839359848562059,2.900888411521912,0.13335261787677177,1.9925117951378664,1.4115635993953182
PV-containing retinal ganglion cells,1133,-2.1424676513671876,-2.055479093431269,-1.2307475776672363,0.01588702559576346,0.4704934641635283,0.6859252613539818
Photoreceptor precursor cells,4703,-0.7999687767028809,-0.8099004500809056,-0.4318514251708984,0.0106315118009781,0.2466022823825753,0.49659065877498676
Retinal ganglion cells,11197,-1.7575143051147462,-1.6912437658087638,-0.734725009918213,0.02241671876395463,0.6662323606791454,0.816230580583174
Retinal pigment cells,3242,-1.0176229166984558,-0.5036149420111654,2.294429643154144,0.17365823565700186,2.5363370524470783,1.5925881615932846
Retinal progenitor cells,10201,-0.5216926383972168,-0.19419448817948384,0.0,0.09753945691598863,1.7897901703981884,1.3378303967238105
Rod precursor cells,2743,-0.8340724754333496,-0.8386885971923922,-0.4616368732452393,0.006926722566532993,0.21419823449616898,0.46281555126871976
Suprachiasmatic nucleus,6017,-0.6184229183197022,-0.4129450300600871,-0.17385844421386706,0.07661625394714974,1.4607003026474787,1.2085943499154208
