celltype_new,n_cells,median,mean,q90,frac>0,variance,std
Airway club cells,6264,-0.15198810577392577,-0.14206856351398114,0.0,0.003033205619412516,0.18614548011792037,0.43144580206315647
Airway goblet cells,408,-0.175640230178833,-0.225753173197017,0.0,0.004901960784313725,0.17908011002499616,0.4231785793550947
Alveolar Type 1 cells,14321,-0.1507129669189453,-0.10960886476126624,0.0,0.009217233433419453,0.4586841230761477,0.6772622262286209
Alveolar Type 2 cells,21443,0.0,-0.06774428932934629,0.0,0.00508324394907429,0.2955278660675498,0.5436247474752689
Biliary epithelial cells,1742,-0.15412315845489502,-0.08795229462887472,0.0,0.014351320321469576,0.7699372029234942,0.8774606560544433
Extraembryonic visceral endoderm,1660,-0.1475919485092163,-0.11905439799664969,0.0,0.006626506024096385,0.36963117498070014,0.607973005141429
Foregut epithelial cells,6962,-0.38548443794250487,-0.39482615480475025,0.0,0.00560183855214019,0.3909803998844009,0.6252842552666754
Gut,21287,-0.16101276397705078,0.0723126358707464,0.0,0.039601634800582514,2.062785680306653,1.4362401193068843
Hepatocytes,289569,0.0,-0.027696028173870776,0.0,0.004216611584803622,0.21753998262573382,0.466411816558858
Intestinal enteroendocrine cells,536,-0.305436429977417,-0.2945677532900625,0.0,0.005597014925373134,0.2768152897456293,0.5261323880409087
Intestinal goblet cells,1745,-0.19568561553955077,-0.2369674499642883,0.0,0.005157593123209169,0.2711744380468652,0.5207441195509223
Lung cells (Eln+),5308,-0.18340312957763671,1.1686261177781658,6.852109752655029,0.2123210248681236,8.847278135955532,2.974437448654036
Lung progenitor cells,28988,0.0,0.24958217269028402,0.0,0.0494342486546157,2.6045954872245525,1.6138759206409123
Midgut/Hindgut epithelial cells,47855,-0.1497270107269287,-0.12851067647016257,0.0,0.005098735764287953,0.29174892869233404,0.5401378793348361
Pancreatic acinar cells,3747,-0.1354524612426758,0.8567980227738913,6.8087820720672605,0.13637576728049106,6.545962472193825,2.55850786049092
Pancreatic islets,1323,-0.4885434150695801,-0.3871671193166835,-0.15975578117370606,0.01889644746787604,0.8838114656222076,0.9401124749848858
