celltype_new,n_cells,median,mean,q90,frac>0,variance,std
Adrenocortical cells,3048,-1.2777977061271668,-0.6187693197536344,2.0731148934364323,0.291994750656168,2.8337991148079933,1.6833891750893473
Airway smooth muscle cells,6938,-1.2448431253433228,-0.599408653000309,2.0786256709098816,0.3127702507927357,3.1587481492062945,1.7772867380381518
Allantois,31010,-0.9860954976081847,-0.008081179228877683,2.7973259420394907,0.46591422121896164,4.990959226171634,2.2340454843560447
Amniotic mesoderm,25520,-1.9574913382530212,-1.24217027109469,1.5581958079338074,0.2753918495297806,3.2841695120575527,1.8122277759866592
Atrial cardiomyocytes,1286,-1.9755395865440368,-1.7026751149497914,0.4922934913635253,0.13763608087091758,1.8918494720041152,1.375445190476202
Cardiopharyngeal mesoderm,19285,0.2769182777404784,0.44475329687634313,3.969133893966677,0.5093077521389681,6.908086658494246,2.628323925716586
Extraembryonic mesoderm,57543,-0.8782204055786133,0.1813822809966184,3.2133884830474857,0.39989225448794813,4.566622142780922,2.136965639120321
First heart field,28647,-1.721372365951538,-1.0765931939298072,1.4464829730987552,0.2987747408105561,3.010555919077795,1.7350953631076866
Foregut mesenchyme,17991,2.247132616043091,2.202043180776328,6.731266174316406,0.7197487632705242,9.482130875212519,3.079306882272782
Gastrointestinal smooth muscle cells,12120,-0.3170717668533325,0.6393234919466988,5.4286135969161995,0.4863036303630363,8.945675786261097,2.9909322603932536
Gonad progenitor cells,4598,-1.5235542750358582,-0.9287410599773684,1.9732227735519416,0.23227490213136145,3.1027210086428747,1.7614542312086552
Granulosa cells,108,-1.2557414746284485,-0.5803532944343709,1.6600141854286192,0.3148148148148148,2.7045303628111244,1.6445456402335341
Gut mesenchyme,61542,2.4715072250366212,2.6291528565661033,6.642102064132691,0.8160280783854928,8.05977845546177,2.838974895179908
Hepatic mesenchyme,28242,0.4482952547073362,0.40645262892797845,4.148243438720705,0.528609871822109,6.618763044865604,2.5726956766912026
Leydig cells,294,-0.7220930767059326,0.34515094390531786,3.170732944965362,0.43197278911564624,5.074004226012758,2.2525550439473747
Limb mesenchyme progenitors,223422,-1.254593369960785,-0.22841682706550345,2.7500394077301027,0.3637376802642533,4.740954704528445,2.1773733498250696
Lung mesenchyme,74124,2.128250932693481,2.164175618378229,6.34145539522171,0.7155577141006961,9.18124937201774,3.0300576515996753
Meninges,6376,-1.3988230895996094,-0.9917297773760565,1.688783710002899,0.1784818067754078,2.2255865912167003,1.491840001882474
Mesothelial cells,59211,-1.5637998008728027,-0.5259876602792979,3.382647075653076,0.3434834743544274,6.702586841239664,2.588935464865755
Proepicardium,9654,-2.343885579109192,-1.8349281636893637,0.8377436685562152,0.18386161176714316,2.726051370741529,1.6510758222266866
Renal stromal cells,22908,-0.9658157539367676,-0.012272903800364542,2.895603603363037,0.41937314475292475,4.898022152821351,2.2131475668877916
Second heart field,3537,-1.3799658966064454,-0.4457364104499849,2.4977856006622323,0.40458015267175573,4.963668828663023,2.227929269223559
Sertoli cells,1719,-0.8800766277313232,0.09995511101871954,2.7141591472625732,0.4258289703315881,3.762726658681972,1.9397748989720358
Somatic mesoderm,126741,-1.6812731266021728,-0.8757126159725005,2.0681106758117673,0.2957054149801564,3.9435248537295857,1.985831023458337
Splanchnic mesoderm,127703,-0.19315252304077157,0.45801968670464144,5.039171844482422,0.4962765166049349,8.43187191502288,2.9037685711886336
Vascular smooth muscle cells,24161,-1.81119131565094,-1.4601996930236332,0.9875147438049314,0.16116882579363437,2.4445272701498078,1.5634984074663485
Vascular smooth muscle cells (Pparg+),11440,-1.5130154657363892,-1.3304225683362334,-0.4397447814941406,0.09414335664335664,1.4814811580625233,1.2171611060424676
Ventricular cardiomyocytes,3735,-1.4567970943450927,-1.2465494304743796,0.7242363128662107,0.1507362784471218,1.7151682262645083,1.3096443128821307
