celltype_new,n_cells,median,mean,q90,frac>0,variance,std
Cortical Interneurons (Prox1+),7555,-0.6851118516921997,-0.42716066835669786,-0.08207779312133788,0.0943745863666446,1.1539233122300254,1.0742082257318761
Cranial motor neurons,23754,-0.38968864440917966,0.7419752810028875,3.4684597592353823,0.3805674833712217,3.9106980055614335,1.9775484837448192
Deep-layer neurons,236402,-0.5694222784042358,-0.31055331372749584,1.4339705252647383,0.10290945085066962,1.1566975036689857,1.0754987232298259
Di/mesencephalon GABAergic neurons,15589,-0.4108984851837158,0.4095668984569819,3.2712096071243284,0.25280646609788954,2.7547262307004785,1.6597367956096167
Di/mesencephalon glutamatergic neurons,30999,-0.5499064254760743,-0.06222056176578688,2.7786164207458497,0.16074712087486692,1.9023779325523469,1.3792671722883667
GABAergic cortical interneurons,603448,-0.4322610092163086,0.07481551181361966,2.945672871589661,0.17565390887035834,2.070809657998555,1.4390308050902019
GABAergic neurons (after E13.0),292004,-0.5884725332260132,-0.09227827928977164,2.4694148559570315,0.19625416090190545,1.9487435031071898,1.395974033822689
Glutamatergic neurons (after E13.0),570526,-0.5683145713806153,-0.14377478158684212,2.3504953742027284,0.17578339988011063,1.783169340305269,1.3353536386685247
Hypothalamic Sim1 neurons,19592,-0.4936755275726319,0.41854902518506243,3.2206213712692264,0.2837893017558187,3.036688765629401,1.7426097571256167
Midbrain dopaminergic neurons,5495,-0.41775999069213865,0.3198592423846008,3.174305722236633,0.2362147406733394,2.5035217014287015,1.5822520979378416
Neurons (Slc17a8+),1957,-0.37613160610198976,0.7304959733253482,3.390154083251953,0.3490035769034236,3.216790517379372,1.7935413341708553
Precerebellar neurons,1286,-0.41100653171539303,0.2821994493537891,3.0718402624130245,0.2255054432348367,2.3102408889475865,1.5199476599368764
Spinal V0 interneurons,9397,-0.46927940368652343,0.4247612839789419,3.1765541591644286,0.2900925827391721,2.819227678677787,1.6790555913005938
Spinal V1 interneurons,31325,-0.42045964241027833,0.8121178203308763,3.4457376670837405,0.36405426975259375,4.177000255798677,2.0437710869367627
Spinal V2a interneurons,11065,-0.48510099411010743,0.534915596459066,3.3486279315948484,0.30926344328965205,3.3073358643413604,1.8186082217842743
Spinal V2b interneurons,8575,-0.4710336112976074,0.3219529565460828,3.2263884410858155,0.24396501457725947,2.6508730859162153,1.6281502037331246
Spinal V3 interneurons,4440,-0.40837679862976073,0.9613813505323083,3.3935370874404907,0.4797297297297297,3.8049056831094945,1.9506167442912754
Spinal cord motor neurons,31680,-0.5113468480110168,0.5040423466942526,3.160438951015473,0.330239898989899,3.2915280635200057,1.8142568901674332
Spinal dI1 interneurons,35714,-0.4955183124542236,0.02034876112281832,2.854285423278809,0.1675253402027216,1.864925084176355,1.3656225994674938
Spinal dI2 interneurons,21843,-0.5165402221679688,0.08476113031718538,2.9537677288055413,0.19370049901570296,2.1319227692975478,1.460110533246558
Spinal dI3 interneurons,5430,-0.4738564014434814,0.26992923617758147,3.0316187319755556,0.2434622467771639,2.4048455790414622,1.5507564538126102
Spinal dI4 interneurons,38632,-0.428375883102417,0.12865629240256407,3.0654532408714297,0.1727324497825637,2.0429939567834374,1.4293333959519163
Spinal dI5 interneurons,39157,-0.4427392196655273,0.2813390348225335,3.1633516197204594,0.22739229256582474,2.4511345717756186,1.56560996795997
Spinal dI6 interneurons,10964,-0.47650235176086425,0.3263560642777721,3.107466241836548,0.2604888726742065,2.5829548406446334,1.6071573789285956
Striatal projection neurons,6235,-0.8280286693572998,-0.3313809452592227,2.3724879693984997,0.16663993584603048,1.8716420402841367,1.3680796907651749
Subplate neurons,103397,-0.6492815113067627,-0.42959524632653173,-0.08364705085754394,0.09055388454210471,0.9276145450543427,0.9631274812060668
Upper-layer neurons,238829,-0.49697791576385497,-0.38388643739589146,-0.10539701461791702,0.05037076736912184,0.6575309397586592,0.8108828150594013
