celltype_new,n_cells,median,mean,q90,frac>0,variance,std
Anterior floor plate,16274,0.569818598429362,0.2547792573455883,1.913923451741537,0.5345336118962762,2.2271271535366615,1.4923562421676204
Anterior roof plate,16098,-1.0954960123697917,-0.6851414516007979,1.2549846916198732,0.22102124487513977,1.404940821911643,1.1853019960801732
Astrocytes,109750,0.5738786522547402,0.44588310637179346,2.572513877550762,0.6072346241457859,2.741620046018198,1.6557838162085647
Cajal-Retzius cells,81803,-1.458787473042806,-1.3067428564766226,-0.014125535329182528,0.09905504688092123,0.8222741007763064,0.9067933065347948
Cerebellar Purkinje cells,26737,-1.4502748648325603,-1.3271189452593868,-0.19786032867431247,0.0871825560085275,0.6724065908640423,0.8200040188096899
Cerebellum-related cells,9252,0.40752298355102545,0.5180949147147187,3.4969328734079994,0.5555555555555556,3.9569799724842887,1.9892159190204286
Choroid plexus,9441,-0.9779479217529297,-0.5911437110232839,1.175662161509196,0.29255375489884544,1.4064720702511886,1.1859477519061237
Committed oligodendrocyte precursors,1865,-1.154773686726888,-0.726803050188639,1.1937654558817545,0.2670241286863271,1.6726069122556617,1.293293049643298
Diencephalon,78021,0.631101312637329,0.6139559051786919,3.5490172894795733,0.5244613629663808,3.7846912535347426,1.9454282956549034
Dorsal telencephalon,30144,-1.000889622370402,-0.5609520572525174,1.4531492977142335,0.2418391719745223,1.5121582557381175,1.2296984409757206
Ependymal cells,5895,-0.9858321062723796,-0.7846260970420073,0.7082347501118978,0.1825275657336726,0.8983680601478037,0.9478227999725496
Floorplate and p3 domain,44992,1.360066223144531,1.144278861835719,3.9514676456451423,0.6798097439544808,3.84498524287439,1.960863392201096
Hindbrain,197367,0.6088729890187579,0.6129830734890764,3.127527044932047,0.5186834678543019,3.621824149141488,1.9031090744204568
Hypothalamus,53378,1.58067977587382,1.4493508310084062,3.957769082705181,0.7741204241447788,3.1290350072238042,1.7689078571886678
Hypothalamus (Sim1+),14611,1.2230110613505043,0.9747687513888709,3.4708654848734537,0.6601190883580864,3.4369266694473306,1.8538949995744987
Intermediate neuronal progenitors,42068,-1.3183246199289957,-1.1971507443878746,-0.6594444243113198,0.07067129409527431,0.61136374237062,0.7818975267710085
Midbrain,145124,-0.7684153588612874,-0.057244728929028765,2.1105588289896646,0.3040020947603429,2.6704848976444713,1.6341618333703891
Midbrain-hindbrain boundary,66071,-0.415978577931722,0.3388539405463114,2.4363978576660155,0.4775771518517958,2.9370632315646255,1.7137862269153132
Multiciliated ependymal cells,10452,-0.8242679882049561,-0.3291065972951438,1.546151031176249,0.39714887102946805,2.1194944510463865,1.4558483612816229
NMPs and spinal cord progenitors,53734,1.4438213666280109,1.3899883409361142,4.191601898829144,0.7078386124241635,3.9041636755754654,1.9758956641420784
Neural progenitor cells (Neurod1+),23270,-0.7531648540496827,0.09103951450870297,2.050566848436991,0.433777395788569,2.790877179918379,1.6705918651538978
Neural progenitor cells (Ror1+),33240,-1.0156003189086915,-0.5760228124727363,1.4158794422149668,0.2753910950661853,1.8664480526526246,1.3661800952482892
Oligodendrocyte progenitor cells,29522,-1.235211885770162,-0.9181163300069786,0.8550559997558597,0.23057380936250932,1.4126535117560737,1.188551013527006
Posterior roof plate,11623,-0.42440369923909504,0.4118212831067193,3.278458670934042,0.49100920588488345,3.6247864903726774,1.9038872052652378
Spinal cord dorsal progenitors (after E13.0),8358,-0.8325962289174398,-0.5598364618542073,1.2684766928354905,0.14632687245752574,1.0239024030560795,1.011880626880503
Spinal cord ventral progenitors (after E13.0),2021,-0.9222989336649576,-0.24956693015396642,1.7114295260111492,0.3503216229589312,2.1396823889148013,1.4627653225705077
Spinal cord/r7/r8,395636,0.9613628419240315,0.8354992202788252,3.27359512646993,0.5354922201215259,3.714605946006167,1.9273313015686138
Telencephalon,430409,-0.9598113568623861,-0.2513933780141006,2.0139701004028323,0.2993780334519027,2.8657620087255578,1.692856168942169
Thalamic neuronal precursors,81788,-1.713559438387553,-1.507326874487638,0.08606657409667967,0.10665378784173718,1.1387317866402258,1.0671137646194175
