system,x,y,x_name,y_name,edge_type,x_number,y_number,x_id,y_id,n_x,median_x,sh_x,q90_x,frac>0_x,variance_x,std_x,n_y,median_y,sh_y,q90_y,frac>0_y,variance_y,std_y,abs_delta,delta,cohens_d,pct_change,abs_pct_change
Renal,R_M5,R_M3,Connecting tubule,Collecting duct intercalated cells,Developmental progression,148,146,60,55,563,-2.28094762802124,-1.322067387159087,3.4442943553924565,0.2042628774422735,6.842220555021973,2.615763856891897,434,-1.4700100994110108,0.2064846694744127,5.485602152824402,0.3110599078341013,11.167424902977691,3.3417697262046184,1.528552,1.528552,0.5094,-115.62,115.62
Renal,R_M8,R_M11,Nephron progenitors,Proximal tubule cells,Developmental progression,151,141,166,212,20280,-1.4349483680725097,-0.0683825165186172,5.3592858953476,0.286439842209073,10.683036305562574,3.2684914418677278,16160,-2.198067512512207,-1.3692645366728895,3.5969976749420187,0.1636138613861386,7.039292484790305,2.6531665015204577,1.300882,-1.300882,-0.437,1902.36,1902.36
Renal,R_M8,R_M5,Nephron progenitors,Connecting tubule,Developmental progression,151,148,166,60,20280,-1.4349483680725097,-0.0683825165186172,5.3592858953476,0.286439842209073,10.683036305562574,3.2684914418677278,563,-2.28094762802124,-1.322067387159087,3.4442943553924565,0.2042628774422735,6.842220555021973,2.615763856891897,1.253685,-1.253685,-0.4235,1833.34,1833.34
Renal,R_M8,R_M6,Nephron progenitors,Distal convoluted tubule,Developmental progression,151,149,166,77,20280,-1.4349483680725097,-0.0683825165186172,5.3592858953476,0.286439842209073,10.683036305562574,3.2684914418677278,1287,-1.845283069610596,-1.3016805874810444,2.2621281356811638,0.1041181041181041,4.616141841146271,2.1485208495954304,1.233298,-1.233298,-0.4459,1803.53,1803.53
Renal,R_M8,R_M2,Nephron progenitors,Ascending loop of Henle,Developmental progression,151,145,166,26,20280,-1.4349483680725097,-0.0683825165186172,5.3592858953476,0.286439842209073,10.683036305562574,3.2684914418677278,4087,-1.8259347248077396,-1.0899844055441792,3.725313325881958,0.1463175923660386,6.280069651176445,2.506006714112404,1.021602,-1.021602,-0.3508,1493.95,1493.95
Renal,R_M13,R_M14,Ureteric bud,Ureteric bud stalk,Developmental progression,143,144,256,257,5851,-1.8653231430053712,-0.4595146640372712,4.904513282775879,0.2861049393266108,10.85532697359632,3.294742322791924,401,-1.3024062538146972,0.467205285788177,5.245777416229248,0.4688279301745636,13.134998540252433,3.624223853496419,0.92672,0.92672,0.2676,-201.67,201.67
Renal,R_M1,R_M10,Anterior intermediate mesoderm,Posterior intermediate mesoderm,Developmental progression,139,140,21,203,7846,-1.4882240676879883,0.0210079621891874,5.787579507827759,0.263063981646699,10.992606609180044,3.315510007401582,10600,-1.2631340980529786,0.9146837644577026,6.504756417274475,0.3799056603773585,14.788047296225631,3.8455230198538186,0.893676,0.893676,0.2489,4253.99,4253.99
Renal,R_M10,R_M12,Posterior intermediate mesoderm,Renal pericytes and mesangial cells,Developmental progression,140,142,203,214,10600,-1.2631340980529786,0.9146837644577026,6.504756417274475,0.3799056603773585,14.788047296225631,3.8455230198538186,7956,-0.7452752876281739,1.785391601720247,7.4148636817932125,0.4089994972347913,16.25815982368251,4.032140848690992,0.870708,0.870708,0.221,95.19,95.19
Renal,R_M4,R_M3,Collecting duct principal cells,Collecting duct intercalated cells,Developmental progression,147,146,56,55,1895,-1.6622743034362792,-0.4598502658451452,4.242722921371462,0.3050131926121372,9.097626274316372,3.0162271589381944,434,-1.4700100994110108,0.2064846694744127,5.485602152824402,0.3110599078341013,11.167424902977691,3.3417697262046184,0.666335,0.666335,0.2093,-144.9,144.9
Renal,R_M7,R_M8,Metanephric mesenchyme,Nephron progenitors,Developmental progression,150,151,144,166,29547,-1.1424254035949708,0.5630357150442125,6.002071571350099,0.3412190746945544,12.335367356441736,3.512174163739853,20280,-1.4349483680725097,-0.0683825165186172,5.3592858953476,0.286439842209073,10.683036305562574,3.2684914418677278,0.631418,-0.631418,-0.1861,-112.15,112.15
Renal,R_M1,R_M13,Anterior intermediate mesoderm,Ureteric bud,Developmental progression,139,143,21,256,7846,-1.4882240676879883,0.0210079621891874,5.787579507827759,0.263063981646699,10.992606609180044,3.315510007401582,5851,-1.8653231430053712,-0.4595146640372712,4.904513282775879,0.2861049393266108,10.85532697359632,3.294742322791924,0.480523,-0.480523,-0.1454,-2287.34,2287.34
Renal,R_M10,R_M7,Posterior intermediate mesoderm,Metanephric mesenchyme,Developmental progression,140,150,203,144,10600,-1.2631340980529786,0.9146837644577026,6.504756417274475,0.3799056603773585,14.788047296225631,3.8455230198538186,29547,-1.1424254035949708,0.5630357150442125,6.002071571350099,0.3412190746945544,12.335367356441736,3.512174163739853,0.351648,-0.351648,-0.0955,-38.44,38.44
Renal,R_M8,R_M9,Nephron progenitors,Podocytes,Developmental progression,151,152,166,202,20280,-1.4349483680725097,-0.0683825165186172,5.3592858953476,0.286439842209073,10.683036305562574,3.2684914418677278,4879,-1.2893716049194337,0.1515452339033973,5.607970355987549,0.2779258044681287,10.25938057979499,3.203026784120762,0.219928,0.219928,0.068,-321.61,321.61
Renal,R_M1,R_M8,Anterior intermediate mesoderm,Nephron progenitors,Developmental progression,139,151,21,166,7846,-1.4882240676879883,0.0210079621891874,5.787579507827759,0.263063981646699,10.992606609180044,3.315510007401582,20280,-1.4349483680725097,-0.0683825165186172,5.3592858953476,0.286439842209073,10.683036305562574,3.2684914418677278,0.08939,-0.08939,-0.0272,-425.51,425.51
Renal,R_M13,R_M4,Ureteric bud,Collecting duct principal cells,Developmental progression,143,147,256,56,5851,-1.8653231430053712,-0.4595146640372712,4.904513282775879,0.2861049393266108,10.85532697359632,3.294742322791924,1895,-1.6622743034362792,-0.4598502658451452,4.242722921371462,0.3050131926121372,9.097626274316372,3.0162271589381944,0.000336,-0.000336,-0.0001,0.07,0.07
