celltype_new,n_cells,median,mean,q90,frac>0,variance,std
Anterior intermediate mesoderm,7846,-1.4882240676879883,0.021007962189187452,5.7875795078277585,0.263063981646699,10.992606609180044,3.3155100074015826
Ascending loop of Henle,4087,-1.8259347248077393,-1.0899844055441792,3.725313325881958,0.14631759236603867,6.280069651176445,2.5060067141124036
Collecting duct intercalated cells,434,-1.4700100994110108,0.20648466947441277,5.485602152824402,0.31105990783410137,11.167424902977691,3.3417697262046184
Collecting duct principal cells,1895,-1.6622743034362792,-0.45985026584514527,4.242722921371462,0.3050131926121372,9.097626274316372,3.0162271589381944
Connecting tubule,563,-2.28094762802124,-1.3220673871590867,3.4442943553924565,0.20426287744227353,6.842220555021973,2.615763856891897
Distal convoluted tubule,1287,-1.8452830696105957,-1.3016805874810444,2.2621281356811633,0.10411810411810411,4.616141841146271,2.1485208495954304
Metanephric mesenchyme,29547,-1.1424254035949708,0.5630357150442125,6.002071571350099,0.3412190746945544,12.335367356441736,3.512174163739853
Nephron progenitors,20280,-1.4349483680725097,-0.06838251651861729,5.3592858953475995,0.286439842209073,10.683036305562574,3.2684914418677273
Podocytes,4879,-1.2893716049194337,0.15154523390339739,5.607970355987549,0.2779258044681287,10.25938057979499,3.203026784120762
Posterior intermediate mesoderm,10600,-1.2631340980529786,0.9146837644577026,6.504756417274475,0.3799056603773585,14.788047296225633,3.8455230198538186
Proximal tubule cells,16160,-2.198067512512207,-1.3692645366728897,3.5969976749420187,0.16361386138613862,7.039292484790305,2.6531665015204577
Renal pericytes and mesangial cells,7956,-0.7452752876281739,1.785391601720247,7.4148636817932125,0.40899949723479134,16.25815982368251,4.032140848690992
Ureteric bud,5851,-1.8653231430053712,-0.45951466403727126,4.904513282775879,0.28610493932661085,10.85532697359632,3.2947423227919237
Ureteric bud stalk,401,-1.3024062538146972,0.467205285788177,5.245777416229248,0.4688279301745636,13.134998540252433,3.624223853496419
