id	meta_group	celltype_new	system	sh
1	PGa_M1	Oocyte	Pre_gastrulation	0.0060943415950886
2	PGa_M2	1-cell	Pre_gastrulation	0.00182557232433535
3	PGa_M3	2-cell	Pre_gastrulation	0.00595921713737655
4	PGa_M4	4-cell	Pre_gastrulation	0.00512236894228105
5	PGa_M5	8-cell	Pre_gastrulation	-0.0230316873914206
6	PGa_M6	Morula	Pre_gastrulation	-0.0042801994542779
7	PGa_M7	Inner cell mass	Pre_gastrulation	0.0054410149940789
8	PGa_M8	Trophectoderm	Pre_gastrulation	0.00096490019252405
9	PGa_M9	Extraembryonic ectoderm	Pre_gastrulation	-0.00528061597821115
10	PGa_M10	Hypoblast	Pre_gastrulation	0.0144533443210647
11	PGa_M11	Parietal endoderm	Pre_gastrulation	-0.0108734456078855
12	PGa_M12	Visceral endoderm	Pre_gastrulation	0.00221053269279083
13	PGa_M13	Extraembryonic visceral endoderm	Pre_gastrulation	-0.00863698639234125
14	PGa_M14	Embryonic visceral endoderm	Pre_gastrulation	0.0098473020665799
15	PGa_M15	Epiblast	Pre_gastrulation	-0.000631930794872267
16	PGa_M16	Primitive streak	Pre_gastrulation	-0.0102501884050779
17	Ga_M1	Extraembryonic ectoderm	Gastrulation	0.013011855756494
18	Ga_M2	Parietal endoderm	Gastrulation	0.0046432264613343
19	Ga_M3	Extraembryonic visceral endoderm	Gastrulation	0.0108630853661039
20	Ga_M4	Embryonic visceral endoderm	Gastrulation	0.0010089065255731
21	Ga_M5	Epiblast	Gastrulation	0.0005461285412677
22	Ga_M6	Primitive streak	Gastrulation	0.0005834176973751
23	Ga_M7	Allantois	Gastrulation	0.0045471152322079
24	Ga_M8	Amniotic ectoderm	Gastrulation	0.0015600084817642
25	Ga_M9	Amniotic mesoderm	Gastrulation	0.0083873456790123
26	Ga_M10	Anterior primitive streak	Gastrulation	0.0011593878312803
27	Ga_M11	Blood progenitors	Gastrulation	0.0004122453548242
28	Ga_M12	Cardiogenic mesoderm	Gastrulation	0.0031095907766375
29	Ga_M13	Cardiopharyngeal mesoderm	Gastrulation	0.0099859480076282
30	Ga_M14	CLE and NMPs	Gastrulation	0.006091635505698
31	Ga_M15	Definitive ectoderm	Gastrulation	0.0031198247049996
32	Ga_M16	Definitive endoderm	Gastrulation	0.0002605147520401
33	Ga_M17	Endothelium	Gastrulation	0.000744512333107
34	Ga_M18	Extraembryonic mesoderm	Gastrulation	0.0240241077019411
35	Ga_M19	Floor plate	Gastrulation	0.0965757967269595
36	Ga_M20	Forebrain	Gastrulation	0.0092119586346318
37	Ga_M21	Gut	Gastrulation	0.0180522737927801
38	Ga_M22	Gut mesenchyme	Gastrulation	0.0743738132498696
39	Ga_M23	Hematoendothelial progenitors	Gastrulation	0.0010999914464117
40	Ga_M24	Hindbrain	Gastrulation	0.0103043927648578
41	Ga_M25	Intermediate mesoderm	Gastrulation	0.0089153091060985
42	Ga_M26	Lateral plate mesoderm	Gastrulation	0.0180307924203273
43	Ga_M27	Midbrain	Gastrulation	0.0038412956930872
44	Ga_M28	Nascent mesoderm	Gastrulation	0.0032225857924821
45	Ga_M29	Neural crest	Gastrulation	0.0002769301895515
46	Ga_M30	Notochord	Gastrulation	0.0314645191409897
47	Ga_M31	Paraxial mesoderm (Tbx6+)	Gastrulation	0.0069135722626425
48	Ga_M32	Paraxial mesoderm (Tbx6-)	Gastrulation	0.0165324893609412
49	Ga_M33	Primitive erythroid cells	Gastrulation	0.0004304977883409
50	Ga_M34	Primordial germ cells	Gastrulation	0.002028947368421
51	Ga_M35	Spinal cord	Gastrulation	0.015675142118863
52	Ga_M36	Surface ectoderm	Gastrulation	0.0026115682766845
53	En_M1	Arterial endothelial cells	Endothelium	-0.0456507904754424
54	En_M10	Microvascular endothelial cells	Endothelium	-0.0418659492797227
55	En_M11	Pericytes	Endothelium	0.37733042200347
56	En_M12	Venous and capillary endothelial cells	Endothelium	-0.0887736498292747
57	En_M2	Brain capillary endothelial cells	Endothelium	-0.0529771926269692
58	En_M3	Brain pericytes	Endothelium	-0.29134532428559
59	En_M4	Endocardial cells	Endothelium	-0.0450593019800902
60	En_M5	Endothelium	Endothelium	0.0251902048643429
61	En_M6	Glomerular endothelial cells	Endothelium	0.321384889983504
62	En_M7	Hematoendothelial progenitors	Endothelium	0.11468519401688
63	En_M8	Liver sinusoidal endothelial cells	Endothelium	0.0117174083528158
64	En_M9	Lymphatic vessel endothelial cells	Endothelium	-0.0894369246321959
65	Ep_M1	Amniotic ectoderm	Epithelial_cells	0
66	Ep_M10	Granular keratinocytes	Epithelial_cells	-0.523258396696202
67	Ep_M11	Lens epithelial cells	Epithelial_cells	-0.420965008459359
68	Ep_M12	Nonsensory cochlear epithelium	Epithelial_cells	-1.12477730320949
69	Ep_M13	Olfactory bulb cells	Epithelial_cells	-1.0568590579352
70	Ep_M14	Olfactory epithelial cells	Epithelial_cells	-0.803705214302459
71	Ep_M15	Olfactory pit cells	Epithelial_cells	0.212884356756728
72	Ep_M16	Otic epithelial cells	Epithelial_cells	-0.357908857155542
73	Ep_M17	Parathyroid epithelial cells	Epithelial_cells	0.348482194211136
74	Ep_M18	Pineal gland	Epithelial_cells	-1.15759227878959
75	Ep_M19	Pituitary gland cells	Epithelial_cells	-0.728796897561775
76	Ep_M2	Apical ectodermal ridge	Epithelial_cells	-0.329641708053872
77	Ep_M20	Pituitary/Pineal gland progenitors	Epithelial_cells	0.940671490173831
78	Ep_M21	Placodal area	Epithelial_cells	0.821820205621151
79	Ep_M22	Pre-epidermal keratinocytes	Epithelial_cells	0.265045912648616
80	Ep_M23	Primordial germ cells	Epithelial_cells	0
81	Ep_M24	Thymic epithelial cells	Epithelial_cells	-0.385288641808509
