celltype_new,n_cells,mean,median,q90,frac>0,variance,std
Activated T cells,6621,-0.029794738696119982,-0.07555966695149739,-0.025407152175903322,0.06902280622262498,0.03971772354417433,0.19929305944807593
Adipose tissue macrophages,4190,-0.06863110513808524,-0.09085155169169108,-0.021731773058573493,0.056801909307875896,0.01733355996124806,0.13165697839935436
B cell progenitors,1295,0.04144726831173498,-0.0712039311726888,0.444963855425517,0.28803088803088805,0.061107807737557286,0.24719993474424157
B cells,43057,-0.007547530506905501,-0.05574077606201172,0.0,0.09320203451239055,0.037056905814387614,0.1925017034064572
Border-associated macrophages,65191,-0.04288942826813795,-0.07119109471638997,-0.017460316022237143,0.05779938948627878,0.021670498981488144,0.14720903158939722
Border-associated macrophages (Ms4a8a+),4736,-0.06363003523969972,-0.07871057192484537,-0.030759193102518716,0.032939189189189186,0.012028470000788648,0.10967438169777229
Conventional dendritic cells,4582,-0.06717992292053399,-0.1021280034383138,-0.03552323087056475,0.06831078131820166,0.026481493992035404,0.16273135528236532
Definitive early erythroblasts (CD36-),929291,0.015949004673227973,-0.04485140800476074,0.3454750474294027,0.1588867211669972,0.04101088563704285,0.20251144569392332
Definitive erythroblasts (CD36+),92446,-0.0037175303982780886,-0.014748659133911133,0.0,0.01583627198580793,0.009808700213100539,0.09903888232962112
Granulocytes,3547,-0.05402432840151196,-0.08676653544108073,-0.016894738197326654,0.08175923315477869,0.021505136815617568,0.1466462983358856
Hematopoietic stem cells (Cd34+),37750,-0.021665549749107026,-0.09581839561462402,0.31345796426137285,0.18810596026490067,0.041337803591883805,0.20331700271222722
Hematopoietic stem cells (Mpo+),23128,-0.050267352186797135,-0.09808703740437826,0.1641172793706257,0.13373400207540642,0.027791438732857988,0.1667076444943602
Kupffer cells,33417,-0.057772912854935514,-0.07953760147094727,-0.019797390302022298,0.05093216027770297,0.015358421364769479,0.12392909813586751
Mast cells,23828,0.00969819458141597,-0.0666443125406901,0.3777055818239848,0.17638912204129595,0.04942450228500625,0.22231622137173493
Megakaryocyte-erythroid progenitors,13436,0.017004596512120336,-0.09505953470865885,0.39844321091969803,0.299866031557011,0.055798572198543235,0.23621721401824897
Megakaryocytes,14777,-0.038124752675695574,-0.08524415334065755,0.19166070906321206,0.1405562698788658,0.02759757633676169,0.16612518272905433
Microglia,8382,-0.043026799642223355,-0.07560418764750163,-0.018372186819712307,0.06179909329515629,0.023550669329057368,0.15346227330864537
Monocytes,29268,-0.07471546470801231,-0.1004133669535319,-0.029151358604431205,0.07058903922372557,0.018221808913622184,0.1349881806441667
Monocytic myeloid-derived suppressor cells,24741,-0.06841364971515926,-0.08129408518473308,-0.02762488047281901,0.028091022998261994,0.01061659343863269,0.10303685475902634
Natural killer cells,2961,-0.05567490924227335,-0.09862576802571614,-0.023682921727498373,0.08476865923674434,0.0343696297636838,0.18539047916137388
Osteoclasts,3323,-0.04146141464091529,-0.09911154429117838,0.22140022691090908,0.18086066807102016,0.032913970987067206,0.18142207965698995
PMN myeloid-derived suppressor cells,15382,-0.05580683426346947,-0.059532998402913415,-0.018979137738545735,0.0087114809517618,0.0057130809610288075,0.07558492548801518
Plasmacytoid dendritic cells,1101,0.013180868738245465,-0.0713870620727539,0.4169811344146729,0.1553133514986376,0.055348687624740094,0.23526301797082366
Primitive erythroid cells,108610,0.06655054606809781,-0.06067450841267904,0.6010608590443931,0.22328514869717336,0.08207173727332845,0.2864816525945919
Regulatory T cells,9800,0.0008719443543427656,-0.08595003763834635,0.4043833317756653,0.18591836734693878,0.055565637883112313,0.23572364727178374
T cells,70028,-0.022261168319968216,-0.07966907819112141,0.22234656937917086,0.11017021762723482,0.04273647306888865,0.20672801713577346
T-NK progenitors,1901,-0.026275124450367875,-0.08991076787312825,0.28148189385732014,0.15886375591793792,0.0372806157119752,0.19308188861717507
