celltype_new,n_cells,mean,median,q90,frac>0,variance,std
Anterior floor plate,16274,0.0702193789847201,0.0168840463956197,0.6126277605692546,0.507005038712056,0.1581481835172556,0.3976784926511058
Anterior roof plate,16098,-0.2059160094821103,-0.295965830485026,0.2089224611918133,0.1783451360417443,0.069927041163656,0.264437215920256
Astrocytes,109750,0.1973013618097942,0.1979304234186808,0.811021277109782,0.5984510250569476,0.2342513997404879,0.4839952476424617
Cajal-Retzius cells,81803,-0.2263342218017504,-0.2762963612874349,0.0092432621320089,0.1022945368751757,0.0366384260658637,0.1914116664831685
Cerebellar Purkinje cells,26737,-0.2340936616026,-0.2791431427001953,-0.0414543027877807,0.0899128548453454,0.0299322423093094,0.1730093705823746
Cerebellum-related cells,9252,0.2154859401915495,0.110652515888214,0.9987064266204831,0.543450064850843,0.3124652377532234,0.5589859012114915
Choroid plexus,9441,-0.1264288450659944,-0.2324051666259765,0.29756294409434,0.2617307488613494,0.0776908782619834,0.2787308347886602
Committed oligodendrocyte precursors,1865,-0.0550866318741901,-0.1859853363037109,0.4518877417246503,0.285254691689008,0.1013122790606885,0.3182958985923139
Diencephalon,78021,0.1054517548543998,-0.0318214035034179,0.777690200805664,0.489252893451763,0.2439180099696658,0.4938805624537838
Dorsal telencephalon,30144,-0.1746025502721806,-0.2793508656819661,0.2816248394648235,0.2105228237791932,0.0797875907806804,0.2824669729024625
Ependymal cells,5895,-0.2249472718581258,-0.2805684153238932,0.0520313536326093,0.121119592875318,0.0423209443357608,0.205720549133432
Floorplate and p3 domain,44992,0.3423115149509001,0.3403608163197835,1.0584323539733886,0.6651849217638691,0.3109800900145099,0.5576558885320857
Hindbrain,197367,0.1030533454270931,-0.0550983460744221,0.7661683985392251,0.4858714982747876,0.2441674421650868,0.4941330207192055
Hypothalamus,53378,0.3504828058461221,0.3788475879033406,0.9213724575042728,0.7549739593090786,0.2318122571609972,0.4814688537807998
Hypothalamus (Sim1+),14611,0.2259043097272479,0.2343886280059814,0.8403410402933756,0.6365751830812402,0.2387000089314739,0.4885693491526806
Intermediate neuronal progenitors,42068,-0.2394702671131658,-0.2718953069051106,-0.1389024607340494,0.0655842920985071,0.0300685569345399,0.173402874643242
Midbrain,145124,-0.07517710412365,-0.2531643931070964,0.5136334733963012,0.280918387034536,0.1708166081344406,0.4132996590059574
Midbrain-hindbrain boundary,66071,-0.0164505061721766,-0.1979978942871093,0.5672704060872396,0.4023096366030482,0.1737146323759948,0.416790873671671
Multiciliated ependymal cells,10452,-0.0267291244863323,-0.2114300346374512,0.552139702161153,0.3832759280520474,0.1656685796098619,0.4070240528640315
NMPs and spinal cord progenitors,53734,0.2214577924057263,0.1712047330538431,0.9033720111846936,0.6236461086090743,0.2521915433814776,0.502186761455813
Neural progenitor cells (Neurod1+),23270,0.0086232985429035,-0.2069063186645507,0.5742551129659017,0.4102707348517404,0.1710481757821186,0.4135797091034793
Neural progenitor cells (Ror1+),33240,-0.0618870615631975,-0.2057302602132161,0.4711288283665978,0.2768351383874849,0.1205618923889261,0.3472202361454846
Oligodendrocyte progenitor cells,29522,-0.0946420630863321,-0.214361572265625,0.3721180721918743,0.2725425106700088,0.0898005677995498,0.2996674286597559
Posterior roof plate,11623,0.0087103914324973,-0.1716712061564127,0.5870963999430342,0.4244171040178955,0.1683962205725321,0.4103610855972238
Spinal cord dorsal progenitors (after E13.0),8358,-0.1179197061261539,-0.1997200393676758,0.2987306736310323,0.1446518305814788,0.0737422423150941,0.2715552288487448
Spinal cord ventral progenitors (after E13.0),2021,-0.002326211432665,-0.1932186889648437,0.5504414272308349,0.3443839683325086,0.1509366755005638,0.3885056955831714
Spinal cord/r7/r8,395636,0.1366890906933909,0.0402177397410075,0.7779166746139526,0.5118897168104015,0.2382131561914407,0.4880708516101332
Telencephalon,430409,-0.1001094938961106,-0.2848587799072266,0.5164819984436037,0.2724199540437119,0.1868956151073665,0.4323142550360403
Thalamic neuronal precursors,81788,-0.2221550361282954,-0.2905835978190104,0.0842006789843242,0.1274392331393358,0.0450829095109497,0.2123273640182766
Cortical Interneurons (Prox1+),7555,-0.0418524777101886,-0.0821612548828125,0.0,0.0953011250827266,0.024096946241291,0.1552319111564727
Cranial motor neurons,23754,0.1295304858282224,-0.0571768379211425,0.6300498946507772,0.3822935084617327,0.1105884306658647,0.3325483884577773
Deep-layer neurons,236402,-0.037414452020403,-0.0758488845825195,0.0906852114995319,0.1051598548235632,0.020560627753912,0.1433897756254332
Di/mesencephalon GABAergic neurons,15589,0.0566666931513323,-0.0671457544962565,0.4874029639561973,0.2548591955866316,0.0666561230534441,0.2581784713206044
Di/mesencephalon glutamatergic neurons,30999,-0.0005864013707941,-0.0750349426269531,0.3506564737955729,0.1630697764444014,0.0421455952616108,0.2052939240737796
GABAergic cortical interneurons,603448,0.0159846617257046,-0.0646445433298746,0.3854744075139363,0.177481738277366,0.0483747453311941,0.2199425955361856
GABAergic neurons (after E13.0),292004,-0.0023757197740751,-0.0739524714152018,0.2962472710609436,0.1982027643456939,0.0359394175010712,0.1895769434848848
Glutamatergic neurons (after E13.0),570526,-0.009946817087078,-0.0734684944152831,0.2652231001853943,0.1775309100724594,0.0332255507278166,0.1822787720164271
Hypothalamic Sim1 neurons,19592,0.0757080723496786,-0.0626638666788736,0.5154287988344831,0.2853205389955083,0.074360013041001,0.2726903244359819
Midbrain dopaminergic neurons,5495,0.0486489505469889,-0.0654075876871744,0.4728988367716471,0.2373066424021838,0.0589426934228087,0.2427811636490951
Neurons (Slc17a8+),1957,0.1093428102856985,-0.0587011973063151,0.549563772837321,0.3495145631067961,0.0844451951861942,0.2905945546396116
Precerebellar neurons,1286,0.0305497378249932,-0.0686691824595133,0.4150420395533244,0.2262830482115085,0.0483840558675752,0.2199637603505979
Spinal V0 interneurons,9397,0.0743866723853459,-0.0626823361714681,0.5082305908203124,0.2919016707459828,0.0688308350870231,0.2623563132212052
Spinal V1 interneurons,31325,0.1639040432265541,-0.0539919026692708,0.6891533406575521,0.3656185155626496,0.1372717602432524,0.3705020381094447
Spinal V2a interneurons,11065,0.0953653457629104,-0.0640818405151367,0.5644913495381674,0.3111613194758246,0.0868611419168575,0.2947221435807931
Spinal V2b interneurons,8575,0.0509963525922235,-0.067084732055664,0.4800317888259888,0.2460641399416909,0.0621245619588345,0.2492479928882769
Spinal V3 interneurons,4440,0.2054792897547329,-0.0305607811609903,0.7279933862686158,0.4806306306306306,0.1221105366157734,0.3494431808116642
Spinal cord motor neurons,31680,0.0879387216959085,-0.0660842164357503,0.5220370330810549,0.3326073232323232,0.085374555699121,0.2921892463783036
Spinal dI1 interneurons,35714,0.0036956946854629,-0.0723034604390462,0.3684990003903707,0.1692613540908327,0.0408371995286804,0.2020821603424717
Spinal dI2 interneurons,21843,0.0192526457188165,-0.0693880462646484,0.4094812593460082,0.1960353431305223,0.0473005585991585,0.2174869159263575
Spinal dI3 interneurons,5430,0.0302323496414884,-0.0700836054484049,0.407250249862671,0.2449355432780847,0.0483285601381872,0.2198375767201486
