celltype_new,n_cells,mean,median,q90,frac>0,variance,std
Arterial endothelial cells,26943,0.020207429499764736,-0.10504407246907552,0.4425291287104287,0.31284563708569946,0.07109097198940452,0.26662890313955934
Brain capillary endothelial cells,15179,-0.04167092499833078,-0.11746063232421874,0.3008890002568565,0.202911917781145,0.04466775984185208,0.21134748600788247
Brain pericytes,3617,-0.06647698534753353,-0.14087907155354817,0.2228747208913168,0.23583079900470003,0.040721086875454116,0.2017946651313015
Endocardial cells,14071,-0.010369819704918617,-0.11489877065022787,0.38941614627838134,0.26344964821263595,0.061011581097738216,0.2470052248389459
Endothelium,90215,-0.0011204762219409268,-0.11465861002604166,0.4038801253636679,0.2831679875852131,0.06296270749802045,0.25092370852117674
Glomerular endothelial cells,17038,0.02501672384573987,-0.08498993237813313,0.4838917357126876,0.2205071017725085,0.09201366859368254,0.30333754893465226
Hematoendothelial progenitors,9693,0.016676295180404206,-0.11026195526123046,0.38839316018422443,0.3801712576085835,0.06700149250300028,0.25884646511590664
Liver sinusoidal endothelial cells,30802,-0.031724607016574126,-0.0953514830271403,0.2857910435994468,0.14911369391597948,0.04536603322288844,0.21299303562062408
Lymphatic vessel endothelial cells,25269,0.02544619878554578,-0.09244614283243816,0.4720728092193606,0.27472397008191857,0.07309778173332893,0.2703660143829637
Microvascular endothelial cells,5624,-0.025931776510547157,-0.09668289184570313,0.32390919272104896,0.16963015647226173,0.048937119819758526,0.22121735876679868
Pericytes,14055,0.1055929347471341,-0.0810172971089681,0.6387753817240399,0.41551049448594807,0.1539567338829764,0.39237320739695825
Venous and capillary endothelial cells,59523,-0.03598953609690352,-0.09989826202392578,0.27853951327006055,0.15446130067368916,0.04510767238935896,0.21238566898300593
