celltype_new,n_cells,mean,median,q90,frac>0,variance,std
Amniotic ectoderm,11509,-0.1423650429054219,-0.2675813102722168,0.34511373265584316,0.2656182118342167,0.11686286922756588,0.3418521160203135
Apical ectodermal ridge,6330,-0.1930162340288981,-0.31871621131896977,0.32340726248423285,0.24123222748815165,0.1069114800165435,0.32697320993705814
Basal keratinocytes,19591,0.2497290387812904,0.1260762739181519,1.1046849377950032,0.5400438977081313,0.3649666242823847,0.6041246761078252
Bladder urothelial cells,1313,-0.23904358792135516,-0.28105649948120115,-0.02978773593902588,0.09063214013709063,0.05845858435308124,0.2417821009774736
Branchial arch epithelium,41134,-0.0753203284187206,-0.2282402229309082,0.5261766223907471,0.28818009432586184,0.15879453389741618,0.39849031844878763
Cochlear hair cells,574,-0.24697557709219842,-0.29600048065185547,-0.016447321494420283,0.09059233449477352,0.03307473332159451,0.18186460161778187
Conjunctival goblet cells,1244,-0.23667551038700924,-0.27183667182922366,-0.06451047992706298,0.06913183279742766,0.04702292449010603,0.2168476988351641
Corneal epithelial cells,1078,-0.186413643679725,-0.20801578521728514,-0.049082029342651365,0.07142857142857142,0.033263236261245444,0.1823821160674627
Dental epithelial cells,9903,0.24085278249725064,0.2046013689041138,0.8978410828908298,0.5888114712713319,0.2525359921537004,0.5025295933113794
Granular keratinocytes,41185,-0.19885046248556384,-0.27658029556274416,0.19204427115122474,0.1571931528469103,0.07860789789659897,0.28037100045582275
Lens epithelial cells,1605,-0.1348393030580083,-0.20469085693359376,0.2626442944208782,0.22305295950155762,0.070463551131961,0.2654497148839324
Nonsensory cochlear epithelium,51,-0.21350412639917113,-0.29225318908691406,0.08247359275817873,0.11764705882352941,0.047558635903707645,0.2180794256772235
Olfactory bulb cells,5888,-0.271035894687436,-0.3152534198760987,-0.02950813341140736,0.09239130434782608,0.04453125225436922,0.2110242930431689
Olfactory epithelial cells,33331,-0.22869868672645266,-0.31932910919189456,0.1890106232961019,0.17071194983648855,0.08211075471005592,0.2865497421217753
Olfactory pit cells,2081,-0.0854449206935315,-0.2509631729125977,0.43738943099975586,0.36136472849591544,0.1527357419540439,0.39081420387959787
Otic epithelial cells,29337,-0.16179732335423644,-0.28469558715820314,0.339421065012614,0.26147867880151343,0.11480024551695789,0.33882184923194947
Parathyroid epithelial cells,433,-0.03170646922968277,-0.18621530532836914,0.5414828516642253,0.3418013856812933,0.14778658574516856,0.3844302091994964
Pineal gland,540,-0.20569282895841717,-0.24482606887817382,-0.055070068359374995,0.07777777777777778,0.03876312073191988,0.19688352072207535
Pituitary gland cells,4964,-0.14307368470541482,-0.24894256591796876,0.3084450831413269,0.23489121676067687,0.08682080621414548,0.2946537055835977
Pituitary/Pineal gland progenitors,2797,0.12038361370201234,0.04584882100423182,0.7568269405364991,0.5244905255631033,0.21756327060705138,0.46643678093290564
Placodal area,60938,0.05725803110854207,-0.11328441301981607,0.7498533970514935,0.4498178476484295,0.25118927405596375,0.5011878630373682
Pre-epidermal keratinocytes,114402,-0.07659483754141218,-0.25041514396667486,0.5185572992960613,0.31974965472631595,0.1755604135729942,0.41899930020585263
Primordial germ cells,1712,-0.22282356887777274,-0.3041129779815674,0.1534442553520203,0.19217289719626168,0.06838200797838372,0.26149953724315406
Thymic epithelial cells,1937,-0.16880058669547496,-0.2549537467956543,0.2974233506520593,0.20030975735673723,0.0861213156162461,0.2934643344875934
Thyroid gland cells,1578,-0.14318349521322293,-0.23546046257019043,0.3177456370989481,0.20405576679340937,0.09126811615632037,0.30210613392700314
Tooth junctional epithelium,2918,-0.2653369450721671,-0.28242801666259765,-0.11309127330780028,0.04215215901302262,0.029692587748759085,0.17231537293218815
