system,x,y,x_name,y_name,edge_type,x_number,y_number,x_id,y_id,n_x,sh_x,median_x,q90_x,frac>0_x,variance_x,std_x,n_y,sh_y,median_y,q90_y,frac>0_y,variance_y,std_y,abs_delta,delta,cohens_d
Eye,Ey_M7,Ey_M10,Eye field,Naive retinal progenitor cells,Developmental progression,106,92,90,163,43440,-0.0440680175168317,-0.2073509788513183,0.5726026941935222,0.3675644567219153,0.1877348869292879,0.4332838410664399,52693,0.2065259274225056,-0.0772586059570312,0.9802705612182618,0.4847133395327652,0.2995951546403851,0.5473528611785866,0.2505939449393373,0.2505939449393373,0.5076612077430991
Eye,Ey_M10,Ey_M16,Naive retinal progenitor cells,Retinal progenitor cells,Developmental progression,92,98,163,218,52693,0.2065259274225056,-0.0772586059570312,0.9802705612182618,0.4847133395327652,0.2995951546403851,0.5473528611785866,10201,-0.0902335611835038,-0.2108741251627604,0.4629572852452596,0.2173316341535143,0.1205367539466022,0.3471840346942847,0.2967594886060094,-0.2967594886060094,-0.6474806265997158
Eye,Ey_M7,Ey_M16,Eye field,Retinal progenitor cells,Developmental progression,106,98,90,218,43440,-0.0440680175168317,-0.2073509788513183,0.5726026941935222,0.3675644567219153,0.1877348869292879,0.4332838410664399,10201,-0.0902335611835038,-0.2108741251627604,0.4629572852452596,0.2173316341535143,0.1205367539466022,0.3471840346942847,0.046165543666672096,-0.046165543666672096,-0.11758885598420694
Eye,Ey_M16,Ey_M2,Retinal progenitor cells,Amacrine/Horizontal precursor cells,Developmental progression,98,101,218,17,10201,-0.0902335611835038,-0.2108741251627604,0.4629572852452596,0.2173316341535143,0.1205367539466022,0.3471840346942847,5154,-0.1452701684166058,-0.1928549067179362,0.0267738444010414,0.1020566550252231,0.0459208548224924,0.214291518316737,0.05503660723310201,-0.05503660723310201,-0.19077208478412044
Eye,Ey_M16,Ey_M3,Retinal progenitor cells,Bipolar precursor cells,Developmental progression,98,102,218,33,10201,-0.0902335611835038,-0.2108741251627604,0.4629572852452596,0.2173316341535143,0.1205367539466022,0.3471840346942847,3414,-0.1946654969042945,-0.2631165313720703,0.1827967770894369,0.1411833626244874,0.0637716573719502,0.2525305078044042,0.1044319357207907,-0.1044319357207907,-0.34401370775208445
Eye,Ey_M7,Ey_M11,Eye field,Optic stalk,Developmental progression,106,93,90,182,43440,-0.0440680175168317,-0.2073509788513183,0.5726026941935222,0.3675644567219153,0.1877348869292879,0.4332838410664399,3457,0.0420554981258356,-0.0396377372741699,0.5972997315724691,0.4822100086780445,0.1704126058327495,0.4128106173934356,0.0861235156426673,0.0861235156426673,0.20351938895873392
Eye,Ey_M7,Ey_M5,Eye field,Ciliary margin cells,Developmental progression,106,104,90,52,43440,-0.0440680175168317,-0.2073509788513183,0.5726026941935222,0.3675644567219153,0.1877348869292879,0.4332838410664399,725,-0.1309661811971116,-0.246876475016276,0.3257132987976074,0.2455172413793103,0.1108064618079353,0.3328760457106148,0.08689816368027989,-0.08689816368027989,-0.224917553895131
Eye,Ey_M11,Ey_M18,Optic stalk,Suprachiasmatic nucleus,Developmental progression,93,100,182,244,3457,0.0420554981258356,-0.0396377372741699,0.5972997315724691,0.4822100086780445,0.1704126058327495,0.4128106173934356,6017,0.0392232050657153,-0.1662283325195312,0.6861544195810954,0.3403689546285524,0.1971793979663358,0.4440488688943322,0.002832293060120304,-0.002832293060120304,-0.006606480511913078
Eye,Ey_M12,Ey_M6,Photoreceptor precursor cells,Cone precursor cells,Developmental progression,94,105,196,58,4703,-0.131390885178292,-0.1876114273071289,0.0876645520528159,0.1052519668296831,0.0551588258046643,0.2348591616366377,5744,-0.1537663435832897,-0.2154737091064453,0.1881211833953856,0.1202994428969359,0.0589888259508612,0.2428761535245097,0.02237545840499769,-0.02237545840499769,-0.09365984796584846
Eye,Ey_M10,Ey_M5,Naive retinal progenitor cells,Ciliary margin cells,Developmental progression,92,104,163,52,52693,0.2065259274225056,-0.0772586059570312,0.9802705612182618,0.4847133395327652,0.2995951546403851,0.5473528611785866,725,-0.1309661811971116,-0.246876475016276,0.3257132987976074,0.2455172413793103,0.1108064618079353,0.3328760457106148,0.3374921086196172,-0.3374921086196172,-0.7450305629715266
