celltype_new,n_cells,mean,median,q90,frac>0,variance,std
Amacrine cells,10061,-0.17367338222351936,-0.21215293884277345,-0.06211142222086589,0.08438524997515158,0.03522606235773707,0.187686073957918
Amacrine/Horizontal precursor cells,5154,-0.14527016841660587,-0.1928549067179362,0.02677384440104148,0.10205665502522313,0.04592085482249243,0.214291518316737
Bipolar precursor cells,3414,-0.19466549690429458,-0.2631165313720703,0.18279677708943692,0.1411833626244874,0.06377165737195027,0.2525305078044042
Cholinergic amacrine cells,1426,-0.1618202207856448,-0.2347099431355794,0.1887728706995646,0.1718092566619916,0.04905427445454421,0.2214819957796665
Ciliary margin cells,725,-0.13096618119711165,-0.24687647501627605,0.3257132987976074,0.24551724137931036,0.11080646180793537,0.33287604571061485
Cone precursor cells,5744,-0.15376634358328975,-0.2154737091064453,0.18812118339538567,0.12029944289693593,0.05898882595086124,0.24287615352450978
Eye field,43440,-0.044068017516831745,-0.20735097885131837,0.5726026941935222,0.3675644567219153,0.18773488692928797,0.4332838410664399
Horizontal cells,910,-0.18070038262260701,-0.24622027079264325,0.13466586097081507,0.14615384615384616,0.0462394161085072,0.21503352322023467
Iris pigment epithelium,592,-0.13066180139511555,-0.23740638732910158,0.3048933471043904,0.2483108108108108,0.09374172388131988,0.30617270270440483
Naive retinal progenitor cells,52693,0.2065259274225056,-0.07725860595703125,0.9802705612182618,0.48471333953276524,0.29959515464038516,0.5473528611785866
Optic stalk,3457,0.042055498125835665,-0.039637737274169915,0.5972997315724691,0.48221000867804453,0.1704126058327495,0.4128106173934356
PV-containing retinal ganglion cells,1133,-0.2746802108825814,-0.32411181131998695,-0.02663923581441214,0.08384819064430715,0.03104811273519147,0.17620474663070648
Photoreceptor precursor cells,4703,-0.131390885178292,-0.1876114273071289,0.08766455205281597,0.10525196682968319,0.05515882580466435,0.23485916163663778
Retinal ganglion cells,11197,-0.23439235357692267,-0.28767985026041665,0.014295164744059074,0.10609984817361794,0.035639467454400574,0.18878418221450805
Retinal pigment cells,3242,-0.08294851509063253,-0.23560798645019532,0.47066576608022076,0.30475015422578655,0.14214250045709464,0.37701790469034047
Retinal progenitor cells,10201,-0.09023356118350388,-0.2108741251627604,0.4629572852452596,0.21733163415351436,0.12053675394660229,0.3471840346942847
Rod precursor cells,2743,-0.11745359726180454,-0.1725182088216146,-0.03720328076680474,0.09624498724024791,0.05226899131639011,0.2286241267154237
Suprachiasmatic nucleus,6017,0.03922320506571535,-0.16622833251953126,0.6861544195810954,0.34036895462855243,0.19717939796633588,0.44404886889433226
