system,x,y,x_name,y_name,edge_type,x_number,y_number,x_id,y_id,n_x,median_x,sh_x,q90_x,frac>0_x,variance_x,std_x,n_y,median_y,sh_y,q90_y,frac>0_y,variance_y,std_y,abs_delta,delta,cohens_d,pct_change,abs_pct_change
Gastrulation,Ga_M10,Ga_M16,Anterior primitive streak,Definitive endoderm,Developmental progression,893,354,Ga_M10,Ga_M16,,,,,,,,,,,,,,,,,,,
Gastrulation,Ga_M11,Ga_M33,Blood progenitors,Primitive erythroid cells,Developmental progression,2978,6732,Ga_M11,Ga_M33,,,,,,,,,,,,,,,,,,,
Gastrulation,Ga_M5,Ga_M6,Epiblast,Primitive streak,Developmental progression,11315,7573,Ga_M5,Ga_M6,14619,-0.05754289153924407,-0.03531620477801712,0.07214843089322788,0.1437170805116629,0.00480458671999412,0.0693151261990781,,,,,,,,,,,,
Gastrulation,Ga_M26,Ga_M13,Lateral plate mesoderm,Cardiopharyngeal mesoderm,Spatial continuity,2580,2214,Ga_M26,Ga_M13,,,,,,,,,,,,,,,,,,,
Gastrulation,Ga_M31,Ga_M25,Paraxial mesoderm (Tbx6+),Intermediate mesoderm,Developmental progression,6185,1064,Ga_M31,Ga_M25,,,,,,,,3551,-0.05036252201924354,0.0262550522486728,0.22340443507399835,0.3658124471979724,0.01825739253277103,0.13511991908216578,,,,,
Gastrulation,Ga_M3,Ga_M4,Extraembryonic visceral endoderm,Embryonic visceral endoderm,Spatial continuity,8894,1260,Ga_M3,Ga_M4,,,,,,,,,,,,,,,,,,,
Gastrulation,Ga_M18,Ga_M31,Extraembryonic mesoderm,Paraxial mesoderm (Tbx6+),Spatial continuity,3194,6185,Ga_M18,Ga_M31,,,,,,,,,,,,,,,,,,,
Gastrulation,Ga_M4,Ga_M21,Embryonic visceral endoderm,Gut,Developmental progression,1260,1896,Ga_M4,Ga_M21,,,,,,,,1940,0.00463612964573921,0.06319484664458229,0.29353014842902314,0.5025773195876289,0.02598524887604632,0.16119940718267647,,,,,
Gastrulation,Ga_M15,Ga_M36,Definitive ectoderm,Surface ectoderm,Developmental progression,6516,2795,Ga_M15,Ga_M36,,,,,,,,3523,-0.05756341264446874,-0.01674747781456002,0.12998734236038403,0.24013624751632132,0.00942228957205207,0.09706847877685154,,,,,
Gastrulation,Ga_M18,Ga_M7,Extraembryonic mesoderm,Allantois,Developmental progression,3194,2804,Ga_M18,Ga_M7,,,,,,,,1820,-0.05942749879518978,-0.00681103395438843,0.15632683691066723,0.29505494505494506,0.01216966665155292,0.11031621209755584,,,,,
Gastrulation,Ga_M13,Ga_M32,Cardiopharyngeal mesoderm,Paraxial mesoderm (Tbx6-),Developmental progression,2214,3107,Ga_M13,Ga_M32,,,,,,,,,,,,,,,,,,,
Gastrulation,Ga_M18,Ga_M26,Extraembryonic mesoderm,Lateral plate mesoderm,Spatial continuity,3194,2580,Ga_M18,Ga_M26,,,,,,,,,,,,,,,,,,,
Gastrulation,Ga_M5,Ga_M15,Epiblast,Definitive ectoderm,Developmental progression,11315,6516,Ga_M5,Ga_M15,14619,-0.05754289153924407,-0.03531620477801712,0.07214843089322788,0.1437170805116629,0.00480458671999412,0.0693151261990781,,,,,,,,,,,,
Gastrulation,Ga_M14,Ga_M31,CLE and NMPs,Paraxial mesoderm (Tbx6+),Developmental progression,4992,6185,Ga_M14,Ga_M31,,,,,,,,,,,,,,,,,,,
Gastrulation,Ga_M15,Ga_M35,Definitive ectoderm,Spinal cord,Developmental progression,6516,2150,Ga_M15,Ga_M35,,,,,,,,1796,-0.03839322034451556,0.07203718129803413,0.3297354310927538,0.4621380846325167,0.03204040547254831,0.1789983393010905,,,,,
Gastrulation,Ga_M28,Ga_M31,Nascent mesoderm,Paraxial mesoderm (Tbx6+),Developmental progression,5501,6185,Ga_M28,Ga_M31,5028,-0.05337048857330648,-8.6691568629759e-4,0.15684551485137846,0.3162291169451074,0.01066729045199583,0.1032825757424544,,,,,,,,,,,,
Gastrulation,Ga_M15,Ga_M27,Definitive ectoderm,Midbrain,Developmental progression,6516,1228,Ga_M15,Ga_M27,,,,,,,,,,,,,,,,,,,
Gastrulation,Ga_M14,Ga_M35,CLE and NMPs,Spinal cord,Developmental progression,4992,2150,Ga_M14,Ga_M35,,,,,,,,1796,-0.03839322034451556,0.07203718129803413,0.3297354310927538,0.4621380846325167,0.03204040547254831,0.1789983393010905,,,,,
Gastrulation,Ga_M26,Ga_M25,Lateral plate mesoderm,Intermediate mesoderm,Developmental progression,2580,1064,Ga_M26,Ga_M25,,,,,,,,3551,-0.05036252201924354,0.0262550522486728,0.22340443507399835,0.3658124471979724,0.01825739253277103,0.13511991908216578,,,,,
Gastrulation,Ga_M24,Ga_M35,Hindbrain,Spinal cord,Spatial continuity,1075,2150,Ga_M24,Ga_M35,,,,,,,,1796,-0.03839322034451556,0.07203718129803413,0.3297354310927538,0.4621380846325167,0.03204040547254831,0.1789983393010905,,,,,
Gastrulation,Ga_M15,Ga_M20,Definitive ectoderm,Forebrain,Developmental progression,6516,1429,Ga_M15,Ga_M20,,,,,,,,,,,,,,,,,,,
Gastrulation,Ga_M6,Ga_M28,Primitive streak,Nascent mesoderm,Developmental progression,7573,5501,Ga_M6,Ga_M28,,,,,,,,5028,-0.05337048857330648,-8.6691568629759e-4,0.15684551485137846,0.3162291169451074,0.01066729045199583,0.1032825757424544,,,,,
Gastrulation,Ga_M23,Ga_M11,Hematoendothelial progenitors,Blood progenitors,Developmental progression,2598,2978,Ga_M23,Ga_M11,,,,,,,,,,,,,,,,,,,
Gastrulation,Ga_M36,Ga_M8,Surface ectoderm,Amniotic ectoderm,Developmental progression,2795,524,Ga_M36,Ga_M8,3523,-0.05756341264446874,-0.01674747781456002,0.12998734236038403,0.24013624751632132,0.00942228957205207,0.09706847877685154,,,,,,,,,,,,
