celltype_new,n_cells,mean,median,q90,frac>0,variance,std
Airway club cells,6264,-0.02064933368808516,-0.11267011642456054,0.4217642838160195,0.1837484035759898,0.06553977344728279,0.25600736990813916
Airway goblet cells,408,-0.07124785853562011,-0.1437026087443034,0.2743853178024292,0.17401960784313725,0.043805754285164755,0.20929824243209677
Alveolar Type 1 cells,14321,0.01170996827902531,-0.1071856689453125,0.4961523183186849,0.24544375392779832,0.07759394104726945,0.27855689014502844
Alveolar Type 2 cells,21443,-0.03725069954274878,-0.10314544041951497,0.3013080085118611,0.11859348038987082,0.05182380962169701,0.227648434261466
Biliary epithelial cells,1742,-0.018025106697350777,-0.12734640757242838,0.3969021735191347,0.27152698048220436,0.0713944094111204,0.26719732298644083
Extraembryonic visceral endoderm,1660,-0.054855312104924135,-0.14817597071329752,0.2706493771870933,0.2753012048192771,0.04723518696093513,0.2173365752949446
Foregut epithelial cells,6962,-0.05246852639088352,-0.1487941551208496,0.35946215661366787,0.2278081011203677,0.06258159251159276,0.2501631317992177
Gut,21287,0.3790184085264687,0.4118598143259684,0.9059419358571372,0.7200638887583971,0.18333429215465355,0.4281755389494518
Hepatocytes,289569,-0.0261198686920464,-0.11554822285970053,0.34891411622365326,0.23921068898949818,0.054782363234876376,0.23405632491961498
Intestinal enteroendocrine cells,536,-0.0755823789796426,-0.13703714370727538,0.20827981472015383,0.15298507462686567,0.04364011796588771,0.2089021731957035
Intestinal goblet cells,1745,-0.08478627498147595,-0.13877642313639324,0.18379667186737067,0.14441260744985673,0.03750423896077286,0.19366011195073926
Lung cells (Eln+),5308,0.10151414866274969,-0.10019776662190755,0.6747725350062054,0.39920874152223057,0.14646168496406886,0.3827031290230965
Lung progenitor cells,28988,0.19075651969765628,0.17748771905899047,0.66360733350118,0.557886021802125,0.12804010793800882,0.3578269245571228
Midgut/Hindgut epithelial cells,47855,-0.07818148354568465,-0.14285489400227866,0.22838837687174474,0.17047330477484066,0.04087773647937059,0.20218243365676106
Pancreatic acinar cells,3747,0.01863228350853901,-0.12735018412272137,0.47773976325988776,0.3482786228983187,0.09086256486330298,0.30143417998512206
Pancreatic islets,1323,-0.018888889308779508,-0.12709851582845053,0.39315981801350913,0.26832955404383974,0.062316425506507116,0.24963258101959993
