celltype_new,n_cells,mean,median,q90,frac>0,variance,std
Adrenocortical cells,3048,-0.2541952444688594,-0.3345814299583435,0.15333184719085782,0.15551181102362205,0.07820548580553315,0.27965243751044466
Airway smooth muscle cells,6938,-0.11410702849357698,-0.22701436678568526,0.41370482953389515,0.272845200345921,0.12177260285116906,0.34895931403412783
Allantois,31010,-0.0273690205190203,-0.19383074204126996,0.6233606685002648,0.4035472428248952,0.2208509635530556,0.46994783067172
Amniotic mesoderm,25520,-0.22888215644473878,-0.34367434183756507,0.25066986099879024,0.20983542319749215,0.10620571079447891,0.3258921766389597
Atrial cardiomyocytes,1286,-0.269444517286532,-0.314418576558431,0.0010241826375325669,0.10031104199066875,0.0452721326071382,0.21277249024988687
Cardiopharyngeal mesoderm,19285,0.01884741127323068,-0.12770888169606526,0.7494246718088785,0.43712730101114855,0.2735744779508346,0.5230434761574172
Extraembryonic mesoderm,57543,-0.09232745434351644,-0.2677691141764323,0.5466817518870041,0.320612411587856,0.1910652027662667,0.4371100579559646
First heart field,28647,-0.22683512914189216,-0.3152758733431499,0.18622010326385507,0.19042133556742416,0.0837415520217263,0.28938132631827906
Foregut mesenchyme,17991,0.4228705212515669,0.3487632369995117,1.4306409072875976,0.6856205880718137,0.48892816889319285,0.6992339872268745
Gastrointestinal smooth muscle cells,12120,0.271367382532168,0.00599837779998777,1.3607374114990236,0.5018151815181519,0.4933826966375188,0.7024120561590033
Gonad progenitor cells,4598,-0.2619012076672876,-0.3613633600870768,0.16719703388214116,0.16681165724227925,0.08906633901561388,0.2984398415352982
Granulosa cells,108,-0.2638807041998263,-0.34450201670328773,0.04239568599065142,0.14814814814814814,0.05972458158976348,0.2443861321551685
Gut mesenchyme,61542,0.6268162412046979,0.5680933570861817,1.5799955285390217,0.8008514510415651,0.4737159353899801,0.6882702488049154
Hepatic mesenchyme,28242,0.09679612830526427,-0.025540165901184075,0.8418558572133383,0.48852772466539196,0.2875911603123228,0.5362752654302851
Leydig cells,294,-0.09081533849104191,-0.23307588895161946,0.47130692291259746,0.3197278911564626,0.1485199543596736,0.3853828672368215
Limb mesenchyme progenitors,223422,-0.14447568917500492,-0.31527102152506514,0.43501982402801515,0.29930803591409977,0.166810645678406,0.40842458995315895
Lung mesenchyme,74124,0.5482166137352682,0.5002470191319783,1.5733578402201334,0.7083805515082834,0.5280264389330566,0.7266542774477122
Meninges,6376,-0.23809438547358658,-0.3125917561848959,0.17855969429016114,0.15150564617314932,0.079325605366323,0.28164801679813584
Mesothelial cells,59211,0.008131670737400358,-0.23000348409016927,0.8510128402709962,0.33429599229872825,0.3239054507013964,0.5691269196773215
Proepicardium,9654,-0.28915652424354316,-0.3663676198323568,0.08409796333313024,0.13351978454526622,0.06527473667874881,0.25548921049380696
Renal stromal cells,22908,0.08365963130519787,-0.14236810684204104,0.8165888703664143,0.4365287235900122,0.27842635548707023,0.5276612127938439
Second heart field,3537,-0.09970228992458025,-0.253956249554952,0.4779954751332601,0.309301668080294,0.1798940196665209,0.42413915130122204
Sertoli cells,1719,-0.18344282155030453,-0.29643168131510417,0.29743662071228033,0.2641070389761489,0.10907825892186536,0.33026997883832154
Somatic mesoderm,126741,-0.2555818440083859,-0.37963933308919273,0.21517422358194993,0.1924949306065125,0.1165233215355453,0.3413551252516143
Splanchnic mesoderm,127703,0.11896454408805562,-0.08632726192474366,1.0488540840148928,0.46751446716208706,0.384954605868105,0.6204471015873191
Vascular smooth muscle cells,24161,-0.22702961805095956,-0.30308766682942706,0.17871062596638992,0.14755183974173255,0.0925086015769202,0.3041522670915346
Vascular smooth muscle cells (Pparg+),11440,-0.26325767194877414,-0.3035312016805013,-0.0875221382776896,0.08216783216783216,0.05986409688331942,0.24467140593726808
Ventricular cardiomyocytes,3735,-0.23501035380161323,-0.26431177775065107,-0.04046273612976079,0.08969210174029452,0.046936399766775064,0.21664810123048636
