system,x,y,x_name,y_name,edge_type,x_number,y_number,x_id,y_id,n_x,sh_x,median_x,q90_x,frac>0_x,variance_x,std_x,n_y,sh_y,median_y,q90_y,frac>0_y,variance_y,std_y,abs_delta,delta,cohens_d
Mesoderm,M_M18,M_M10,Sclerotome,Fibroblasts,Developmental progression,273,265,221,92,476671,0.083815599606748,-0.1197001187006632,0.8654795583089192,0.4590923299298677,0.3073536041408291,0.5543948089050159,648059,-0.0895595056723635,-0.2562361399332682,0.5320163968404142,0.2491516976077795,0.2011650997870865,0.4485143250634104,0.17337510527911149,-0.17337510527911149,-0.34383356477239996
Mesoderm,M_M18,M_M8,Sclerotome,Early chondrocytes,Developmental progression,273,280,221,80,476671,0.083815599606748,-0.1197001187006632,0.8654795583089192,0.4590923299298677,0.3073536041408291,0.5543948089050159,144311,0.1631622070016959,0.0218922742207844,0.9465966097513836,0.5070992509233531,0.3237483855663425,0.568988915152433,0.0793466073949479,0.0793466073949479,0.14125166819818769
Mesoderm,M_M18,M_M4,Sclerotome,Chondrocytes (Atp1a2+),Developmental progression,273,276,221,49,476671,0.083815599606748,-0.1197001187006632,0.8654795583089192,0.4590923299298677,0.3073536041408291,0.5543948089050159,118412,-0.0408802135528032,-0.231036840279897,0.5968611602783206,0.3481488362665946,0.2002416528140456,0.4474836899977983,0.1246958131595512,-0.1246958131595512,-0.24751874356599335
Mesoderm,M_M12,M_M14,Muscle progenitor cells,Myoblasts,Developmental progression,267,269,155,159,27017,-0.0591014316161688,-0.2654126739501953,0.5872856051127117,0.3625124921345819,0.20630027041252,0.4542028956452392,185751,-0.2302800236187145,-0.3244761149088541,0.2087820021311442,0.1628416536115552,0.0962755930087568,0.3102830852765856,0.1711785920025457,-0.1711785920025457,-0.440095884216979
Mesoderm,M_M10,M_M17,Fibroblasts,Pre-osteoblasts (Sp7+),Developmental progression,265,272,92,206,648059,-0.0895595056723635,-0.2562361399332682,0.5320163968404142,0.2491516976077795,0.2011650997870865,0.4485143250634104,135893,0.1934681460729514,-0.0247311846415201,1.0018388951619468,0.4898044785235442,0.3507276178771381,0.592222608380614,0.2830276517453149,0.2830276517453149,0.5387862875996547
Mesoderm,M_M2,M_M3,Adipocyte progenitor cells,Brown adipocyte cells,Developmental progression,274,275,7,41,19823,-0.3018902850249486,-0.3597457377115885,-0.0082663167317708,0.097159864803511,0.0502440581333448,0.2241518639970341,80279,-0.2469006656057602,-0.2729025268554687,-0.1206038157145182,0.0559299443191868,0.0276823865925425,0.1663802470022886,0.05498961941918837,0.05498961941918837,0.2785821465729952
Mesoderm,M_M9,M_M8,Facial mesenchyme,Early chondrocytes,Developmental progression,281,280,91,80,382752,-0.0252228881155952,-0.2333683776855468,0.6294777339299521,0.3785244753783128,0.2197193962981239,0.4687423559890059,144311,0.1631622070016959,0.0218922742207844,0.9465966097513836,0.5070992509233531,0.3237483855663425,0.568988915152433,0.1883850951172911,0.1883850951172911,0.36138875512614127
Mesoderm,M_M7,M_M12,Dermomyotome,Muscle progenitor cells,Developmental progression,279,267,73,155,131048,-0.0803761205517386,-0.2519734700520833,0.5046973708470662,0.3537177217508088,0.1760442201200343,0.4195762387457544,27017,-0.0591014316161688,-0.2654126739501953,0.5872856051127117,0.3625124921345819,0.20630027041252,0.4542028956452392,0.021274688935569795,0.021274688935569795,0.04865761283271814
Mesoderm,M_M14,M_M16,Myoblasts,Myotubes,Developmental progression,269,271,159,161,185751,-0.2302800236187145,-0.3244761149088541,0.2087820021311442,0.1628416536115552,0.0962755930087568,0.3102830852765856,43267,-0.190594085000452,-0.2266176597277323,-0.015420030593872,0.0966556498023898,0.0551729247223157,0.2348891754047337,0.0396859386182625,0.0396859386182625,0.1442178911063202
Mesoderm,M_M7,M_M6,Dermomyotome,Dermatome,Developmental progression,279,278,73,72,131048,-0.0803761205517386,-0.2519734700520833,0.5046973708470662,0.3537177217508088,0.1760442201200343,0.4195762387457544,198888,0.075558483087522,-0.2329410807291666,1.0139418080647788,0.3700575198101444,0.4141872072804275,0.6435737776513487,0.1559346036392606,0.1559346036392606,0.28704258564124363
Mesoderm,M_M2,M_M1,Adipocyte progenitor cells,Adipocyte cells (Cyp2e1+),Developmental progression,274,264,7,6,19823,-0.3018902850249486,-0.3597457377115885,-0.0082663167317708,0.097159864803511,0.0502440581333448,0.2241518639970341,14376,-0.2242918514345201,-0.2605290222167968,-0.077001183827718,0.0823594880356149,0.0404470099886063,0.2011144201408897,0.07759843359042848,0.07759843359042848,0.3644061467956347
Mesoderm,M_M11,M_M7,Mesodermal progenitors (Tbx6+),Dermomyotome,Developmental progression,266,279,142,73,50325,-0.0245923028788872,-0.0914763943354288,0.4963022842407226,0.4380725285643318,0.1454313170343565,0.3813545817665713,131048,-0.0803761205517386,-0.2519734700520833,0.5046973708470662,0.3537177217508088,0.1760442201200343,0.4195762387457544,0.0557838176728514,-0.0557838176728514,-0.13913912414563812
Mesoderm,M_M7,M_M14,Dermomyotome,Myoblasts,Developmental progression,279,269,73,159,131048,-0.0803761205517386,-0.2519734700520833,0.5046973708470662,0.3537177217508088,0.1760442201200343,0.4195762387457544,185751,-0.2302800236187145,-0.3244761149088541,0.2087820021311442,0.1628416536115552,0.0962755930087568,0.3102830852765856,0.1499039030669759,-0.1499039030669759,-0.40624527091958557
Mesoderm,M_M4,M_M5,Chondrocytes (Atp1a2+),Chondrocytes (Otor+),Developmental progression,276,277,49,50,118412,-0.0408802135528032,-0.231036840279897,0.5968611602783206,0.3481488362665946,0.2002416528140456,0.4474836899977983,12063,-0.150745144491879,-0.2638214365641276,0.3468696715037028,0.1851114979689961,0.1315387161117659,0.3626826658551053,0.10986493093907582,-0.10986493093907582,-0.26974210482233496
Mesoderm,M_M9,M_M17,Facial mesenchyme,Pre-osteoblasts (Sp7+),Developmental progression,281,272,91,206,382752,-0.0252228881155952,-0.2333683776855468,0.6294777339299521,0.3785244753783128,0.2197193962981239,0.4687423559890059,135893,0.1934681460729514,-0.0247311846415201,1.0018388951619468,0.4898044785235442,0.3507276178771381,0.592222608380614,0.2186910341885466,0.2186910341885466,0.4094853045155652
Mesoderm,M_M13,M_M15,Muscle progenitor cells (Prdm1+),Myofibroblasts,Developmental progression,268,270,156,160,5017,-0.1317215259060433,-0.2561398339271545,0.3091335614522302,0.2938010763404425,0.0950168246791946,0.3082479921738253,43951,-0.2766271943429708,-0.3217369842529297,-0.074644718170166,0.0696684944597392,0.0283991519241729,0.1685204792426515,0.14490566843692748,-0.14490566843692748,-0.5833304943522696
Mesoderm,M_M12,M_M13,Muscle progenitor cells,Muscle progenitor cells (Prdm1+),Developmental progression,267,268,155,156,27017,-0.0591014316161688,-0.2654126739501953,0.5872856051127117,0.3625124921345819,0.20630027041252,0.4542028956452392,5017,-0.1317215259060433,-0.2561398339271545,0.3091335614522302,0.2938010763404425,0.0950168246791946,0.3082479921738253,0.07262009428987451,-0.07262009428987451,-0.18709402594115251
Mesoderm,M_M10,M_M2,Fibroblasts,Adipocyte progenitor cells,Developmental progression,265,274,92,7,648059,-0.0895595056723635,-0.2562361399332682,0.5320163968404142,0.2491516976077795,0.2011650997870865,0.4485143250634104,19823,-0.3018902850249486,-0.3597457377115885,-0.0082663167317708,0.097159864803511,0.0502440581333448,0.2241518639970341,0.2123307793525851,-0.2123307793525851,-0.5988766838250706
Mesoderm,M_M11,M_M9,Mesodermal progenitors (Tbx6+),Facial mesenchyme,Developmental progression,266,281,142,91,50325,-0.0245923028788872,-0.0914763943354288,0.4963022842407226,0.4380725285643318,0.1454313170343565,0.3813545817665713,382752,-0.0252228881155952,-0.2333683776855468,0.6294777339299521,0.3785244753783128,0.2197193962981239,0.4687423559890059,0.0006305852367079999,-0.0006305852367079999,-0.0014757837363088087
