celltype_new,n_cells,mean,median,q90,frac>0,variance,std
Adipocyte cells (Cyp2e1+),14376,-0.2242918514345201,-0.26052902221679686,-0.07700118382771809,0.08235948803561491,0.04044700998860632,0.20111442014088976
Adipocyte progenitor cells,19823,-0.30189028502494863,-0.3597457377115885,-0.008266316731770855,0.09715986480351108,0.050244058133344885,0.22415186399703413
Brown adipocyte cells,80279,-0.24690066560576024,-0.27290252685546873,-0.12060381571451823,0.05592994431918684,0.02768238659254256,0.1663802470022886
Chondrocytes (Atp1a2+),118412,-0.04088021355280326,-0.23103684027989704,0.5968611602783206,0.3481488362665946,0.20024165281404566,0.4474836899977983
Chondrocytes (Otor+),12063,-0.150745144491879,-0.2638214365641276,0.34686967150370285,0.1851114979689961,0.13153871611176596,0.3626826658551053
Dermatome,198888,0.07555848308752205,-0.23294108072916667,1.0139418080647788,0.3700575198101444,0.41418720728042757,0.6435737776513487
Dermomyotome,131048,-0.08037612055173868,-0.25197347005208337,0.5046973708470662,0.35371772175080884,0.1760442201200343,0.4195762387457544
Early chondrocytes,144311,0.16316220700169592,0.02189227422078449,0.9465966097513836,0.5070992509233531,0.32374838556634256,0.568988915152433
Facial mesenchyme,382752,-0.02522288811559528,-0.23336837768554686,0.6294777339299521,0.37852447537831285,0.21971939629812395,0.46874235598900593
Fibroblasts,648059,-0.08955950567236351,-0.2562361399332682,0.5320163968404142,0.24915169760777953,0.20116509978708655,0.4485143250634104
Mesodermal progenitors (Tbx6+),50325,-0.024592302878887216,-0.09147639433542887,0.49630228424072265,0.4380725285643318,0.1454313170343565,0.3813545817665713
Muscle progenitor cells,27017,-0.059101431616168834,-0.2654126739501953,0.5872856051127117,0.3625124921345819,0.20630027041252008,0.45420289564523925
Muscle progenitor cells (Prdm1+),5017,-0.1317215259060433,-0.25613983392715456,0.3091335614522302,0.2938010763404425,0.09501682467919469,0.3082479921738253
Myoblasts,185751,-0.23028002361871455,-0.32447611490885414,0.20878200213114423,0.16284165361155525,0.09627559300875689,0.3102830852765856
Myofibroblasts,43951,-0.27662719434297084,-0.3217369842529297,-0.07464471817016602,0.06966849445973926,0.028399151924172937,0.1685204792426515
Myotubes,43267,-0.190594085000452,-0.22661765972773235,-0.015420030593872014,0.09665564980238982,0.05517292472231579,0.23488917540473378
Pre-osteoblasts (Sp7+),135893,0.19346814607295149,-0.024731184641520184,1.0018388951619468,0.48980447852354425,0.3507276178771381,0.592222608380614
Sclerotome,476671,0.08381559960674806,-0.11970011870066327,0.8654795583089192,0.45909232992986776,0.30735360414082913,0.5543948089050159
