celltype_new,n_cells,mean,median,q90,frac>0,variance,std
Cortical Interneurons (Prox1+),7555,-0.04185247771018866,-0.0821612548828125,0.0,0.09530112508272667,0.024096946241291047,0.15523191115647275
Cranial motor neurons,23754,0.1295304858282224,-0.05717683792114257,0.6300498946507772,0.38229350846173277,0.11058843066586473,0.3325483884577773
Deep-layer neurons,236402,-0.03741445202040302,-0.07584888458251954,0.09068521149953199,0.10515985482356326,0.020560627753912097,0.14338977562543326
Di/mesencephalon GABAergic neurons,15589,0.056666693151332354,-0.06714575449625651,0.48740296395619737,0.2548591955866316,0.06665612305344418,0.25817847132060445
Di/mesencephalon glutamatergic neurons,30999,-0.0005864013707941459,-0.07503494262695312,0.35065647379557296,0.16306977644440143,0.0421455952616108,0.20529392407377964
GABAergic cortical interneurons,603448,0.015984661725704646,-0.06464454332987467,0.38547440751393636,0.17748173827736607,0.04837474533119416,0.21994259553618567
GABAergic neurons (after E13.0),292004,-0.0023757197740751817,-0.07395247141520182,0.2962472710609436,0.1982027643456939,0.0359394175010712,0.1895769434848848
Glutamatergic neurons (after E13.0),570526,-0.009946817087078003,-0.07346849441528319,0.2652231001853943,0.17753091007245944,0.033225550727816626,0.18227877201642714
Hypothalamic Sim1 neurons,19592,0.0757080723496786,-0.06266386667887369,0.5154287988344831,0.28532053899550835,0.07436001304100108,0.2726903244359819
Midbrain dopaminergic neurons,5495,0.04864895054698895,-0.06540758768717447,0.4728988367716471,0.2373066424021838,0.05894269342280872,0.24278116364909516
Neurons (Slc17a8+),1957,0.1093428102856985,-0.0587011973063151,0.549563772837321,0.34951456310679613,0.0844451951861942,0.2905945546396116
Precerebellar neurons,1286,0.030549737824993223,-0.06866918245951334,0.4150420395533244,0.22628304821150855,0.04838405586757526,0.2199637603505979
Spinal V0 interneurons,9397,0.07438667238534591,-0.0626823361714681,0.5082305908203124,0.2919016707459828,0.06883083508702315,0.26235631322120523
Spinal V1 interneurons,31325,0.1639040432265541,-0.053991902669270835,0.6891533406575521,0.3656185155626496,0.13727176024325247,0.37050203810944476
Spinal V2a interneurons,11065,0.09536534576291043,-0.06408184051513671,0.5644913495381674,0.31116131947582465,0.08686114191685759,0.2947221435807931
Spinal V2b interneurons,8575,0.050996352592223584,-0.06708473205566406,0.48003178882598885,0.24606413994169096,0.06212456195883455,0.24924799288827693
Spinal V3 interneurons,4440,0.20547928975473295,-0.030560781160990397,0.7279933862686158,0.4806306306306306,0.12211053661577342,0.3494431808116642
Spinal cord motor neurons,31680,0.08793872169590859,-0.06608421643575033,0.5220370330810549,0.3326073232323232,0.08537455569912102,0.2921892463783036
Spinal dI1 interneurons,35714,0.0036956946854629557,-0.07230346043904623,0.36849900039037076,0.16926135409083273,0.04083719952868046,0.20208216034247173
Spinal dI2 interneurons,21843,0.019252645718816505,-0.06938804626464844,0.40948125934600826,0.19603534313052237,0.04730055859915853,0.21748691592635758
Spinal dI3 interneurons,5430,0.030232349641488476,-0.07008360544840495,0.407250249862671,0.24493554327808473,0.04832856013818721,0.2198375767201486
Spinal dI4 interneurons,38632,0.016441386876626645,-0.06651517232259115,0.40388236427307145,0.1745703044108511,0.0462138386583404,0.21497404182445007
Spinal dI5 interneurons,39157,0.039096206552668496,-0.06877053578694661,0.4591226062774659,0.2293842735653906,0.058034656004335806,0.2409038314438685
Spinal dI6 interneurons,10964,0.0479311992156452,-0.06462194760640463,0.44019729471206676,0.26213060926669096,0.05324028906105016,0.2307385729804407
Striatal projection neurons,6235,-0.018424671146456045,-0.08732931772867839,0.2971319618225099,0.17145148356054532,0.03747689328552822,0.1935894968368073
Subplate neurons,103397,-0.04417862325896473,-0.0736210823059082,0.0,0.09188854608934495,0.01447076797672839,0.12029450518094495
Upper-layer neurons,238829,-0.049014933991142054,-0.06905800501505534,-0.017498978296915643,0.05166039300084998,0.012526251462700528,0.11192073741135075
