celltype_new,n_cells,mean,median,q90,frac>0,variance,std
Anterior floor plate,16274,0.07021937898472015,0.016884046395619717,0.6126277605692546,0.507005038712056,0.15814818351725562,0.39767849265110583
Anterior roof plate,16098,-0.2059160094821103,-0.295965830485026,0.20892246119181337,0.17834513604174432,0.06992704116365608,0.264437215920256
Astrocytes,109750,0.19730136180979427,0.1979304234186808,0.811021277109782,0.5984510250569476,0.23425139974048792,0.48399524764246177
Cajal-Retzius cells,81803,-0.22633422180175045,-0.2762963612874349,0.009243262132008977,0.10229453687517573,0.03663842606586376,0.19141166648316857
Cerebellar Purkinje cells,26737,-0.2340936616026,-0.2791431427001953,-0.041454302787780714,0.0899128548453454,0.029932242309309454,0.17300937058237467
Cerebellum-related cells,9252,0.21548594019154957,0.11065251588821409,0.9987064266204831,0.543450064850843,0.3124652377532234,0.5589859012114915
Choroid plexus,9441,-0.1264288450659944,-0.23240516662597657,0.29756294409434,0.26173074886134945,0.07769087826198341,0.27873083478866023
Committed oligodendrocyte precursors,1865,-0.055086631874190155,-0.18598533630371095,0.45188774172465035,0.285254691689008,0.10131227906068857,0.3182958985923139
Diencephalon,78021,0.1054517548543998,-0.031821403503417944,0.777690200805664,0.489252893451763,0.24391800996966584,0.4938805624537838
Dorsal telencephalon,30144,-0.1746025502721806,-0.2793508656819661,0.2816248394648235,0.2105228237791932,0.07978759078068048,0.2824669729024625
Ependymal cells,5895,-0.2249472718581258,-0.2805684153238932,0.05203135363260931,0.12111959287531807,0.04232094433576084,0.20572054913343207
Floorplate and p3 domain,44992,0.3423115149509001,0.3403608163197835,1.0584323539733886,0.6651849217638691,0.31098009001450994,0.5576558885320857
Hindbrain,197367,0.10305334542709317,-0.055098346074422155,0.7661683985392251,0.4858714982747876,0.24416744216508685,0.49413302071920556
Hypothalamus,53378,0.3504828058461221,0.3788475879033406,0.9213724575042727,0.7549739593090786,0.2318122571609972,0.48146885378079984
Hypothalamus (Sim1+),14611,0.22590430972724795,0.23438862800598143,0.8403410402933756,0.6365751830812402,0.23870000893147397,0.48856934915268063
Intermediate neuronal progenitors,42068,-0.23947026711316582,-0.27189530690511066,-0.13890246073404947,0.06558429209850718,0.030068556934539904,0.173402874643242
Midbrain,145124,-0.07517710412365007,-0.2531643931070964,0.5136334733963012,0.280918387034536,0.17081660813444063,0.4132996590059574
Midbrain-hindbrain boundary,66071,-0.016450506172176665,-0.19799789428710937,0.5672704060872396,0.40230963660304825,0.17371463237599483,0.416790873671671
Multiciliated ependymal cells,10452,-0.026729124486332325,-0.2114300346374512,0.552139702161153,0.38327592805204747,0.16566857960986192,0.40702405286403154
NMPs and spinal cord progenitors,53734,0.22145779240572638,0.17120473305384318,0.9033720111846935,0.6236461086090743,0.25219154338147765,0.502186761455813
Neural progenitor cells (Neurod1+),23270,0.008623298542903566,-0.20690631866455078,0.5742551129659017,0.4102707348517404,0.17104817578211862,0.41357970910347935
Neural progenitor cells (Ror1+),33240,-0.06188706156319755,-0.20573026021321614,0.47112882836659786,0.27683513838748497,0.1205618923889261,0.34722023614548464
Oligodendrocyte progenitor cells,29522,-0.09464206308633216,-0.214361572265625,0.3721180721918743,0.2725425106700088,0.08980056779954988,0.2996674286597559
Posterior roof plate,11623,0.008710391432497314,-0.17167120615641276,0.5870963999430342,0.42441710401789556,0.1683962205725321,0.41036108559722384
Spinal cord dorsal progenitors (after E13.0),8358,-0.11791970612615398,-0.1997200393676758,0.29873067363103234,0.14465183058147882,0.07374224231509416,0.2715552288487448
Spinal cord ventral progenitors (after E13.0),2021,-0.0023262114326650708,-0.19321868896484376,0.5504414272308349,0.34438396833250867,0.15093667550056383,0.3885056955831714
Spinal cord/r7/r8,395636,0.13668909069339094,0.04021773974100751,0.7779166746139526,0.5118897168104015,0.2382131561914407,0.48807085161013325
Telencephalon,430409,-0.10010949389611062,-0.2848587799072266,0.5164819984436037,0.2724199540437119,0.1868956151073665,0.4323142550360403
Thalamic neuronal precursors,81788,-0.22215503612829549,-0.29058359781901044,0.08420067898432426,0.12743923313933583,0.04508290951094977,0.21232736401827668
