celltype_new,n_cells,mean,median,q90,frac>0,variance,std
Anterior intermediate mesoderm,7846,-0.06809012358165736,-0.18569721857706706,0.375129607518514,0.27287789956665814,0.0779006783675062,0.2791069299883222
Ascending loop of Henle,4087,-0.10473751463719735,-0.16141835530598958,0.17919760449727376,0.13750917543430388,0.04432105823675792,0.21052567120605012
Collecting duct intercalated cells,434,-0.0127542939109187,-0.14382685343424478,0.5339341503779094,0.29723502304147464,0.09642240232925345,0.310519568351583
Collecting duct principal cells,1895,-0.08887444406973236,-0.16346538543701172,0.26558989270528194,0.23905013192612137,0.0558755056373572,0.23638000261730518
Connecting tubule,563,-0.1373267294176236,-0.19770929972330728,0.14178017997741704,0.1705150976909414,0.03833454388428113,0.19579209351830612
Distal convoluted tubule,1287,-0.14699663952730135,-0.1837274424235026,-0.03150460131963053,0.09324009324009325,0.028348560974865624,0.16837030906565928
Metanephric mesenchyme,29547,0.0013708019250943406,-0.13546836853027344,0.48498859596252447,0.3433174264730768,0.0979990854076627,0.3130480560675353
Nephron progenitors,20280,-0.05019245919228619,-0.15495540618896483,0.3796464082400006,0.2725838264299803,0.07454113131202397,0.27302221761612
Podocytes,4879,-0.010884127289233918,-0.13010233561197918,0.4651973012288409,0.27177700348432055,0.08571221645346426,0.2927664879276046
Posterior intermediate mesoderm,10600,0.04063168707370009,-0.14956496556599935,0.5597441584269207,0.41377358490566035,0.13678846074239298,0.3698492405594379
Proximal tubule cells,16160,-0.1134329417299467,-0.17427906036376953,0.18835678291320804,0.14987623762376237,0.04555180592099022,0.2134286904823019
Renal pericytes and mesangial cells,7956,0.2308461242648491,-0.07399367332458497,0.9331284999847412,0.45739064856711914,0.2651180326487434,0.5148961377294875
Ureteric bud,5851,-0.0490144061200783,-0.16497138977050782,0.3888626988728841,0.27704665869082207,0.08182599863366359,0.2860524403560711
Ureteric bud stalk,401,0.0324178979145123,-0.0834353764851888,0.46094984372456865,0.456359102244389,0.09783491317413566,0.3127857304515915
