system	x	y	x_name	y_name	edge_type	x_number	y_number	x_id	y_id	n_x	sh_x	median_x	q90_x	frac>0_x	variance_x	std_x	n_y	sh_y	median_y	q90_y	frac>0_y	variance_y	std_y	abs_delta	delta	cohens_d	system_name	pct_change	abs_pct_change
Blood	B_M8	B_M9	Definitive early erythroblasts (CD36-)	Definitive erythroblasts (CD36+)	Developmental progression	206	207	67	70	929291	0.0159490046732279	-0.0448514080047607	0.345475047429403	0.158886721166997	0.0410108856370428	0.202511445693923	92446	-0.003717530398278	-0.0147486591339111	0	0.0158362719858079	0.0098087002131005	0.0990388823296211	0.0196665350715059	-0.0196665350715059	-0.123375034754467	Blood	NA	NA
Blood	B_M11	B_M18	Hematopoietic stem cells (Cd34+)	Monocytes	Developmental progression	183	190	111	151	37750	-0.021665549749107	-0.095818395614624	0.313457964261373	0.188105960264901	0.0413378035918838	0.203317002712227	29268	-0.0747154647080123	-0.100413366953532	-0.0291513586044312	0.0705890392237255	0.0182218089136221	0.134988180644167	0.0530499149589052	-0.0530499149589052	-0.307414082244991	Blood	NA	NA
Blood	B_M19	B_M23	Monocytic myeloid-derived suppressor cells	PMN myeloid-derived suppressor cells	Developmental progression	191	196	152	186	24741	-0.0684136497151592	-0.081294085184733	-0.027624880472819	0.0280910229982619	0.0106165934386326	0.103036854759026	15382	-0.0558068342634694	-0.0595329984029134	-0.0189791377385457	0.0087114809517618	0.0057130809610288	0.0755849254880151	0.0126068154516898	0.0126068154516898	0.139518446061916	Blood	NA	NA
Blood	B_M25	B_M26	Regulatory T cells	T cells	Developmental progression	198	199	213	247	9800	0.0008719443543427	-0.0859500376383463	0.404383331775665	0.185918367346939	0.0555656378831123	0.235723647271784	70028	-0.0222611683199682	-0.0796690781911214	0.222346569379171	0.110170217627235	0.0427364730688886	0.206728017135773	0.0231331126743109	-0.0231331126743109	-0.104344040294789	Blood	NA	NA
Blood	B_M26	B_M1	T cells	Activated T cells	Developmental progression	199	181	247	5	70028	-0.0222611683199682	-0.0796690781911214	0.222346569379171	0.110170217627235	0.0427364730688886	0.206728017135773	6621	-0.0297947386961199	-0.0755596669514973	-0.0254071521759033	0.0690228062226249	0.0397177235441743	0.199293059448076	0.0075335703761517	-0.0075335703761517	-0.0371030374952523	Blood	NA	NA
Blood	B_M15	B_M8	Megakaryocyte-erythroid progenitors	Definitive early erythroblasts (CD36-)	Developmental progression	187	206	138	67	13436	0.0170045965121203	-0.0950595347086588	0.398443210919698	0.299866031557011	0.0557985721985432	0.236217214018249	929291	0.0159490046732279	-0.0448514080047607	0.345475047429403	0.158886721166997	0.0410108856370428	0.202511445693923	0.0010555918388924	-0.0010555918388924	-0.0047979103382568	Blood	NA	NA
Blood	B_M5	B_M17	Border-associated macrophages	Microglia	Developmental progression	203	189	36	145	65191	-0.0428894282681379	-0.0711910947163899	-0.0174603160222371	0.0577993894862787	0.0216704989814881	0.147209031589397	8382	-0.0430267996422233	-0.0756041876475016	-0.0183721868197123	0.0617990932951562	0.0235506693290573	0.153462273308645	0.0001373713740853	-0.0001373713740853	-0.0009135668895713	Blood	NA	NA
Blood	B_M11	B_M5	Hematopoietic stem cells (Cd34+)	Border-associated macrophages	Developmental progression	183	203	111	36	37750	-0.021665549749107	-0.095818395614624	0.313457964261373	0.188105960264901	0.0413378035918838	0.203317002712227	65191	-0.0428894282681379	-0.0711910947163899	-0.0174603160222371	0.0577993894862787	0.0216704989814881	0.147209031589397	0.0212238785190309	-0.0212238785190309	-0.119575129257704	Blood	NA	NA
Blood	B_M12	B_M19	Hematopoietic stem cells (Mpo+)	Monocytic myeloid-derived suppressor cells	Developmental progression	184	191	112	152	23128	-0.0502673521867971	-0.0980870374043782	0.164117279370626	0.133734002075406	0.0277914387328579	0.16670764449436	24741	-0.0684136497151592	-0.081294085184733	-0.027624880472819	0.0280910229982619	0.0106165934386326	0.103036854759026	0.0181462975283621	-0.0181462975283621	-0.130945927697013	Blood	NA	NA
Blood	B_M11	B_M12	Hematopoietic stem cells (Cd34+)	Hematopoietic stem cells (Mpo+)	Developmental progression	183	184	111	112	37750	-0.021665549749107	-0.095818395614624	0.313457964261373	0.188105960264901	0.0413378035918838	0.203317002712227	23128	-0.0502673521867971	-0.0980870374043782	0.164117279370626	0.133734002075406	0.0277914387328579	0.16670764449436	0.0286018024376901	-0.0286018024376901	-0.153842915565531	Blood	NA	NA
