system	meta_group	celltype_new	celltype_num	id	new_id
Pre_gastrulation	PGa_M2	1-cell	3	2	1
Pre_gastrulation	PGa_M3	2-cell	3	3	2
Pre_gastrulation	PGa_M4	4-cell	3	4	3
Pre_gastrulation	PGa_M5	8-cell	3	5	4
Blood	B_M1	Activated T cells	6621	181	5
Mesoderm	M_M1	Adipocyte cells (Cyp2e1+)	14376	264	6
Mesoderm	M_M2	Adipocyte progenitor cells	19823	274	7
Blood	B_M2	Adipose tissue macrophages	4190	192	8
Lateral_plate_mesoderm	L_M1	Adrenocortical cells	3048	153	9
Gut	G_M1	Airway club cells	6264	109	10
Gut	G_M2	Airway goblet cells	408	117	11
Lateral_plate_mesoderm	L_M2	Airway smooth muscle cells	6938	164	12
Gastrulation	Ga_M7	Allantois	2804	23	13
Gut	G_M3	Alveolar Type 1 cells	14321	118	14
Gut	G_M4	Alveolar Type 2 cells	21443	119	15
Eye	Ey_M1	Amacrine cells	10061	91	16
Eye	Ey_M2	Amacrine/Horizontal precursor cells	5154	101	17
Gastrulation	Ga_M8	Amniotic ectoderm	524	24	18
Gastrulation	Ga_M9	Amniotic mesoderm	1152	25	19
Brain_spinal_cord	BS_M1	Anterior floor plate	16274	208	20
Renal	R_M1	Anterior intermediate mesoderm	7846	139	21
Gastrulation	Ga_M10	Anterior primitive streak	893	26	22
Brain_spinal_cord	BS_M2	Anterior roof plate	16098	219	23
Epithelial_cells	Ep_M2	Apical ectodermal ridge	6330	76	24
Endothelium	En_M1	Arterial endothelial cells	26943	53	25
Renal	R_M2	Ascending loop of Henle	4087	145	26
Brain_spinal_cord	BS_M3	Astrocytes	109750	230	27
Lateral_plate_mesoderm	L_M5	Atrial cardiomyocytes	1286	176	28
Blood	B_M3	B cell progenitors	1295	201	29
Blood	B_M4	B cells	43057	202	30
Epithelial_cells	Ep_M3	Basal keratinocytes	19591	84	31
Gut	G_M5	Biliary epithelial cells	1742	120	32
Eye	Ey_M3	Bipolar precursor cells	3414	102	33
Epithelial_cells	Ep_M4	Bladder urothelial cells	1313	85	34
Gastrulation	Ga_M11	Blood progenitors	2978	27	35
Blood	B_M5	Border-associated macrophages	65191	203	36
Blood	B_M6	Border-associated macrophages (Ms4a8a+)	4736	204	37
Endothelium	En_M2	Brain capillary endothelial cells	15179	57	38
Endothelium	En_M3	Brain pericytes	3617	58	39
Epithelial_cells	Ep_M5	Branchial arch epithelium	41134	86	40
Mesoderm	M_M3	Brown adipocyte cells	80279	275	41
Gastrulation	Ga_M14	CLE and NMPs	4992	30	42
Brain_spinal_cord	BS_M4	Cajal-Retzius cells	81803	241	43
Gastrulation	Ga_M12	Cardiogenic mesoderm	877	28	44
Gastrulation	Ga_M13	Cardiopharyngeal mesoderm	2214	29	45
Brain_spinal_cord	BS_M5	Cerebellar Purkinje cells	26737	252	46
Brain_spinal_cord	BS_M6	Cerebellum-related cells	9252	260	47
Eye	Ey_M4	Cholinergic amacrine cells	1426	103	48
Mesoderm	M_M4	Chondrocytes (Atp1a2+)	118412	276	49
Mesoderm	M_M5	Chondrocytes (Otor+)	12063	277	50
Brain_spinal_cord	BS_M7	Choroid plexus	9441	261	51
Eye	Ey_M5	Ciliary margin cells	725	104	52
Notochord	No_M2	Ciliated nodal cells	60	283	53
Epithelial_cells	Ep_M6	Cochlear hair cells	574	87	54
Renal	R_M3	Collecting duct intercalated cells	434	146	55
Renal	R_M4	Collecting duct principal cells	1895	147	56
Brain_spinal_cord	BS_M8	Committed oligodendrocyte precursors	1865	262	57
Eye	Ey_M6	Cone precursor cells	5744	105	58
Epithelial_cells	Ep_M7	Conjunctival goblet cells	1244	88	59
Renal	R_M5	Connecting tubule	563	148	60
Blood	B_M7	Conventional dendritic cells	4582	205	61
Epithelial_cells	Ep_M8	Corneal epithelial cells	1078	89	62
Brain_spinal_cord	BS_M9	Cortical Interneurons (Prox1+)	7555	263	63
PNS_neurons	PN_M1	Corticofugal neurons	2807	131	64
Brain_spinal_cord	BS_M10	Cranial motor neurons	23754	209	65
Brain_spinal_cord	BS_M11	Deep-layer neurons	236402	210	66
Blood	B_M8	Definitive early erythroblasts (CD36-)	929291	206	67
Gastrulation	Ga_M15	Definitive ectoderm	6516	31	68
Gastrulation	Ga_M16	Definitive endoderm	354	32	69
Blood	B_M9	Definitive erythroblasts (CD36+)	92446	207	70
Epithelial_cells	Ep_M9	Dental epithelial cells	9903	90	71
Mesoderm	M_M6	Dermatome	198888	278	72
Mesoderm	M_M7	Dermomyotome	131048	279	73
Brain_spinal_cord	BS_M12	Di/mesencephalon GABAergic neurons	15589	211	74
Brain_spinal_cord	BS_M13	Di/mesencephalon glutamatergic neurons	30999	212	75
Brain_spinal_cord	BS_M14	Diencephalon	78021	213	76
Renal	R_M6	Distal convoluted tubule	1287	149	77
PNS_neurons	PN_M2	Dorsal root ganglion neurons	13077	132	78
Brain_spinal_cord	BS_M15	Dorsal telencephalon	30144	214	79
Mesoderm	M_M8	Early chondrocytes	144311	280	80
Pre_gastrulation	PGa_M14	Embryonic visceral endoderm	165	14	81
Endothelium	En_M4	Endocardial cells	14071	59	82
Gastrulation	Ga_M17	Endothelium	982	33	83
PNS_neurons	PN_M3	Enteric neurons	4787	133	84
Brain_spinal_cord	BS_M16	Ependymal cells	5895	215	85
Pre_gastrulation	PGa_M15	Epiblast	877	15	86
Pre_gastrulation	PGa_M9	Extraembryonic ectoderm	299	9	87
Gastrulation	Ga_M18	Extraembryonic mesoderm	3194	34	88
Pre_gastrulation	PGa_M13	Extraembryonic visceral endoderm	337	13	89
Eye	Ey_M7	Eye field	43440	106	90
Mesoderm	M_M9	Facial mesenchyme	382752	281	91
Mesoderm	M_M10	Fibroblasts	648059	265	92
Lateral_plate_mesoderm	L_M8	First heart field	28647	179	93
Gastrulation	Ga_M19	Floor plate	258	35	94
Brain_spinal_cord	BS_M34	Floorplate and p3 domain	44992	235	95
Gastrulation	Ga_M20	Forebrain	1429	36	96
Gut	G_M7	Foregut epithelial cells	6962	122	97
Lateral_plate_mesoderm	L_M9	Foregut mesenchyme	17991	180	98
Brain_spinal_cord	BS_M17	GABAergic cortical interneurons	603448	216	99
Brain_spinal_cord	BS_M18	GABAergic neurons (after E13.0)	292004	217	100
Lateral_plate_mesoderm	L_M10	Gastrointestinal smooth muscle cells	12120	154	101
Endothelium	En_M6	Glomerular endothelial cells	17038	61	102
Brain_spinal_cord	BS_M19	Glutamatergic neurons (after E13.0)	570526	218	103
Lateral_plate_mesoderm	L_M11	Gonad progenitor cells	4598	155	104
Epithelial_cells	Ep_M10	Granular keratinocytes	41185	66	105
Blood	B_M10	Granulocytes	3547	182	106
Lateral_plate_mesoderm	L_M12	Granulosa cells	108	156	107
Gastrulation	Ga_M21	Gut	1896	37	108
Gastrulation	Ga_M22	Gut mesenchyme	1065	38	109
Gastrulation	Ga_M23	Hematoendothelial progenitors	2598	39	110
Blood	B_M11	Hematopoietic stem cells (Cd34+)	37750	183	111
Blood	B_M12	Hematopoietic stem cells (Mpo+)	23128	184	112
Lateral_plate_mesoderm	L_M14	Hepatic mesenchyme	28242	158	113
Gut	G_M9	Hepatocytes	289569	124	114
Gastrulation	Ga_M24	Hindbrain	1075	40	115
Eye	Ey_M8	Horizontal cells	910	107	116
Pre_gastrulation	PGa_M10	Hypoblast	44	10	117
