id	meta_group	celltype_new	system	sh
1	PGa_M1	Oocyte	Pre_gastrulation	0.0060943415950886
2	PGa_M2	1-cell	Pre_gastrulation	0.00182557232433535
3	PGa_M3	2-cell	Pre_gastrulation	0.00595921713737655
4	PGa_M4	4-cell	Pre_gastrulation	0.00512236894228105
5	PGa_M5	8-cell	Pre_gastrulation	-0.0230316873914206
6	PGa_M6	Morula	Pre_gastrulation	-0.0042801994542779
7	PGa_M7	Inner cell mass	Pre_gastrulation	0.0054410149940789
8	PGa_M8	Trophectoderm	Pre_gastrulation	0.00096490019252405
9	PGa_M9	Extraembryonic ectoderm	Pre_gastrulation	-0.00528061597821115
10	PGa_M10	Hypoblast	Pre_gastrulation	0.0144533443210647
11	PGa_M11	Parietal endoderm	Pre_gastrulation	-0.0108734456078855
12	PGa_M12	Visceral endoderm	Pre_gastrulation	0.00221053269279083
13	PGa_M13	Extraembryonic visceral endoderm	Pre_gastrulation	-0.00863698639234125
14	PGa_M14	Embryonic visceral endoderm	Pre_gastrulation	0.0098473020665799
15	PGa_M15	Epiblast	Pre_gastrulation	-0.000631930794872267
16	PGa_M16	Primitive streak	Pre_gastrulation	-0.0102501884050779
17	Ga_M1	Extraembryonic ectoderm	Gastrulation	0.013011855756494
18	Ga_M2	Parietal endoderm	Gastrulation	0.0046432264613343
19	Ga_M3	Extraembryonic visceral endoderm	Gastrulation	0.0108630853661039
20	Ga_M4	Embryonic visceral endoderm	Gastrulation	-0.00824481215691235
21	Ga_M5	Epiblast	Gastrulation	-0.0353162047780171
22	Ga_M6	Primitive streak	Gastrulation	-0.00266203882915476
23	Ga_M7	Allantois	Gastrulation	-0.0068110339543884
24	Ga_M8	Amniotic ectoderm	Gastrulation	0.0007800042408821
25	Ga_M9	Amniotic mesoderm	Gastrulation	0.0027957818930041
26	Ga_M10	Anterior primitive streak	Gastrulation	0
27	Ga_M11	Blood progenitors	Gastrulation	0.000137415118274733
28	Ga_M12	Cardiogenic mesoderm	Gastrulation	0.00207306051775833
29	Ga_M13	Cardiopharyngeal mesoderm	Gastrulation	0.00332864933587607
30	Ga_M14	CLE and NMPs	Gastrulation	0.0012183271011396
31	Ga_M15	Definitive ectoderm	Gastrulation	0
32	Ga_M16	Definitive endoderm	Gastrulation	0
33	Ga_M17	Endothelium	Gastrulation	-0.0537590731673197
34	Ga_M18	Extraembryonic mesoderm	Gastrulation	0.00480482154038822
35	Ga_M19	Floor plate	Gastrulation	0.0643838644846397
36	Ga_M20	Forebrain	Gastrulation	0.00736956690770544
37	Ga_M21	Gut	Gastrulation	0.0631948466445822
38	Ga_M22	Gut mesenchyme	Gastrulation	0.0247912710832899
39	Ga_M23	Hematoendothelial progenitors	Gastrulation	0.000366663815470567
40	Ga_M24	Hindbrain	Gastrulation	0.00686959517657187
41	Ga_M25	Intermediate mesoderm	Gastrulation	0.0262550522486728
42	Ga_M26	Lateral plate mesoderm	Gastrulation	0.00801368552014547
43	Ga_M27	Midbrain	Gastrulation	0.00256086379539147
44	Ga_M28	Nascent mesoderm	Gastrulation	-0.0008669156862975
45	Ga_M29	Neural crest	Gastrulation	-0.0367680657559934
46	Ga_M30	Notochord	Gastrulation	0.121646179570779
47	Ga_M31	Paraxial mesoderm (Tbx6+)	Gastrulation	0.00172839306566063
48	Ga_M32	Paraxial mesoderm (Tbx6-)	Gastrulation	0.00991949361656472
49	Ga_M33	Primitive erythroid cells	Gastrulation	0.00021524889417045
50	Ga_M34	Primordial germ cells	Gastrulation	0.0004057894736842
51	Ga_M35	Spinal cord	Gastrulation	0.0720371812980341
52	Ga_M36	Surface ectoderm	Gastrulation	-0.01674747781456
53	En_M1	Arterial endothelial cells	Endothelium	0.0202074294997647
54	En_M10	Microvascular endothelial cells	Endothelium	-0.0259317765105471
55	En_M11	Pericytes	Endothelium	0.105592934747134
56	En_M12	Venous and capillary endothelial cells	Endothelium	-0.0359895360969035
57	En_M2	Brain capillary endothelial cells	Endothelium	-0.0416709249983307
58	En_M3	Brain pericytes	Endothelium	-0.0664769853475335
59	En_M4	Endocardial cells	Endothelium	-0.0103698197049186
60	En_M5	Endothelium	Endothelium	-0.0011204762219409
61	En_M6	Glomerular endothelial cells	Endothelium	0.0250167238457398
62	En_M7	Hematoendothelial progenitors	Endothelium	0.0166762951804042
63	En_M8	Liver sinusoidal endothelial cells	Endothelium	-0.0317246070165741
64	En_M9	Lymphatic vessel endothelial cells	Endothelium	0.0254461987855457
65	Ep_M1	Amniotic ectoderm	Epithelial_cells	0
66	Ep_M10	Granular keratinocytes	Epithelial_cells	-0.198850462485564
67	Ep_M11	Lens epithelial cells	Epithelial_cells	-0.134839303058008
68	Ep_M12	Nonsensory cochlear epithelium	Epithelial_cells	-0.213504126399171
69	Ep_M13	Olfactory bulb cells	Epithelial_cells	-0.271035894687436
70	Ep_M14	Olfactory epithelial cells	Epithelial_cells	-0.228698686726453
71	Ep_M15	Olfactory pit cells	Epithelial_cells	-0.0854449206935315
72	Ep_M16	Otic epithelial cells	Epithelial_cells	-0.161797323354236
73	Ep_M17	Parathyroid epithelial cells	Epithelial_cells	-0.0317064692296827
74	Ep_M18	Pineal gland	Epithelial_cells	-0.205692828958417
75	Ep_M19	Pituitary gland cells	Epithelial_cells	-0.143073684705415
76	Ep_M2	Apical ectodermal ridge	Epithelial_cells	-0.193016234028898
77	Ep_M20	Pituitary/Pineal gland progenitors	Epithelial_cells	0.120383613702012
78	Ep_M21	Placodal area	Epithelial_cells	0.057258031108542
79	Ep_M22	Pre-epidermal keratinocytes	Epithelial_cells	-0.0765948375414121
80	Ep_M23	Primordial germ cells	Epithelial_cells	0
81	Ep_M24	Thymic epithelial cells	Epithelial_cells	-0.168800586695475
