celltype_new,n_cells,median,mean,q90,frac>0,variance,std
Activated T cells,6621,0.0,0.014762842135293426,0.0,0.06736142576650053,0.0033148966886082255,0.057575139501422186
Adipose tissue macrophages,4190,0.0,0.0058215857862635905,0.0,0.03699284009546539,0.0011030829853099354,0.03321269313545554
B cell progenitors,1295,0.0,0.029331788931788935,0.14620000000000005,0.1861003861003861,0.005115157743715601,0.07152033098158593
B cells,43057,0.0,0.014974537628415045,0.0,0.08293657245047263,0.0030366934368175422,0.055106201437021066
Border-associated macrophages,65191,0.0,0.007769830191284073,0.0,0.04884109769753493,0.0015727115106012358,0.03965742692865027
Border-associated macrophages (Ms4a8a+),4736,0.0,0.003984093468468468,0.0,0.026393581081081082,0.0007576308627331135,0.027525095144851245
Conventional dendritic cells,4582,0.0,0.00959627043018575,0.0,0.05718027062418158,0.0019485258751459503,0.044142109998797634
Definitive early erythroblasts (CD36-),929291,0.0,0.018832959272774143,0.06188888888888888,0.11842576760132187,0.003459775323524008,0.05881985484106542
Definitive erythroblasts (CD36+),92446,0.0,0.003971443990125166,0.0,0.01576055210609437,0.001031282353783886,0.032113585190443716
Granulocytes,3547,0.0,0.007446229990915641,0.0,0.053284465745700595,0.001345508638089914,0.03668117552764516
Hematopoietic stem cells (Cd34+),37750,0.0,0.015801277409860193,0.03400000000000003,0.1134569536423841,0.0027579163465405875,0.052515867569150824
Hematopoietic stem cells (Mpo+),23128,0.0,0.009523281063837964,0.0,0.06792632307160153,0.0017161458946865565,0.04142639128244888
Kupffer cells,33417,0.0,0.005052431729691807,0.0,0.03510189424544394,0.0009416371102763261,0.03068610614392654
Mast cells,23828,0.0,0.023093093093093094,0.10699999999999998,0.13954171562867215,0.004342080270698923,0.0658944631262667
Megakaryocyte-erythroid progenitors,13436,0.0,0.02643524858588866,0.12672222222222224,0.18398332837153916,0.004475008901540445,0.06689550733450225
Megakaryocytes,14777,0.0,0.010802681344130894,0.0,0.0793801177505583,0.0018940326034832102,0.04352048487187626
Microglia,8382,0.0,0.008815901800153769,0.0,0.05476020042949177,0.0017259274419915275,0.041544282903806726
Monocytes,29268,0.0,0.0056960540901705315,0.0,0.04062457291239579,0.0010604886199337069,0.03256514424862428
Monocytic myeloid-derived suppressor cells,24741,0.0,0.003304438426543434,0.0,0.021421931207307707,0.0006530035094920648,0.02555393334678763
Natural killer cells,2961,0.0,0.01269417238920785,0.0,0.07328605200945626,0.002553474797901023,0.05053191860498692
Osteoclasts,3323,0.0,0.012625004179623499,0.0,0.09027986758952754,0.0022656184166791864,0.047598512757009395
PMN myeloid-derived suppressor cells,15382,0.0,0.0018243834785246825,0.0,0.00864646989988298,0.00041851979610900956,0.02045775638013635
Plasmacytoid dendritic cells,1101,0.0,0.02377101624785548,0.10966666666666669,0.13533151680290645,0.004643106879043737,0.06814034692488538
Primitive erythroid cells,108610,0.0,0.04052129024337845,0.20311111111111113,0.2103397477212043,0.007299434605760227,0.08543672866958464
Regulatory T cells,9800,0.0,0.023990204081632653,0.116688888888889,0.14653061224489797,0.0044051856007314046,0.06637157223338472
T cells,70028,0.0,0.017122393899583026,0.0,0.09493345518935283,0.0034540435011949882,0.058771111110774384
T-NK progenitors,1901,0.0,0.013896136536325909,0.0030000000000000027,0.10047343503419252,0.0024397510975414276,0.049393836635165604
