celltype_new,n_cells,median,mean,q90,frac>0,variance,std
Anterior floor plate,16274,0.2675890757822391,0.1739209636885499,0.3262796165671912,0.5374831018802999,0.0295990169648572,0.1720436484292787
Anterior roof plate,16098,0.0,0.0683586702095352,0.2902875746066197,0.2271710771524413,0.0171861235703433,0.1310958564194284
Astrocytes,109750,0.2745523602821487,0.2187713901149087,0.506800506420692,0.6340501138952164,0.0371565125437079,0.1927602462742459
Cajal-Retzius cells,81803,0.0,0.0355346151882381,0.2273105444022432,0.1419263352199797,0.008067572240341,0.0898196651092679
Cerebellar Purkinje cells,26737,0.0,0.031021598872637,0.2123349611141255,0.1260799640947002,0.0069239282954644,0.083210145387834
Cerebellum-related cells,9252,0.2566467715680954,0.2216068879281877,0.5706095134744076,0.5837656722870731,0.0509024617685315,0.2256157391861914
Choroid plexus,9441,0.0,0.090335119315514,0.2825103997106167,0.3430780637644317,0.0174624798590944,0.1321456766568412
Committed oligodendrocyte precursors,1865,0.0,0.0964004078907364,0.2915536263338759,0.3152815013404825,0.0234708811585121,0.1532020925395999
Diencephalon,78021,0.2673177789835413,0.1987020069208009,0.5737022969795623,0.5265761782084311,0.0466816276230748,0.2160593150574047
Dorsal telencephalon,30144,0.0,0.0750209448616616,0.2977030204376921,0.2468816348195329,0.0184601839416799,0.1358682595078039
Ependymal cells,5895,0.0,0.0478373648942709,0.2267317778983542,0.2161153519932145,0.009125786593786,0.0955289830040395
Floorplate and p3 domain,44992,0.3047567372038343,0.2578311022098147,0.6008319768493399,0.6822546230440967,0.0452450328957174,0.2127087983505088
Hindbrain,197367,0.2676795080484717,0.1944043477067215,0.5523602821486706,0.5204365471431395,0.0454577152440473,0.2132081500413324
Hypothalamus,53378,0.3148851510218846,0.2885750404600444,0.5979381443298969,0.7748697965453932,0.0375985566409522,0.1939034724829657
Hypothalamus (Sim1+),14611,0.2986073431000181,0.2415497264385263,0.5756918068366793,0.6625829854219424,0.0409451427936319,0.2023490617562431
Intermediate neuronal progenitors,42068,0.0,0.0222655770287976,0.0,0.076946847960445,0.0062108385529683,0.0788088735674377
Midbrain,145124,0.0,0.1111955629150967,0.3219388677880267,0.3047669579118547,0.0340947598805358,0.1846476641621438
Midbrain-hindbrain boundary,66071,0.0,0.1690631785234384,0.3309820944112859,0.4839036793752175,0.0373769717221721,0.1933312486955282
Multiciliated ependymal cells,10452,0.0,0.1327805232778467,0.3172183034906854,0.4428817451205511,0.0260973117280394,0.1615466240069394
NMPs and spinal cord progenitors,53734,0.3025863628142521,0.2860191864505046,0.6066196418882257,0.7103323780101984,0.0509524869050377,0.2257265755400496
Neural progenitor cells (Neurod1+),23270,0.0,0.1503472140449742,0.3239283776451438,0.4369144821658788,0.0349463641262894,0.1869394664758874
Neural progenitor cells (Ror1+),33240,0.0,0.0922267155414433,0.297522155905227,0.3057761732851985,0.0221490556764373,0.1488255881105039
Oligodendrocyte progenitor cells,29522,0.0,0.0846382603363418,0.2807017543859649,0.3132917823995664,0.0171257767584788,0.1308654910909626
Posterior roof plate,11623,0.0,0.1877154593675138,0.5532646048109966,0.4951389486363245,0.047717405826588,0.2184431409465357
Spinal cord dorsal progenitors (after E13.0),8358,0.0,0.0467351528244708,0.2894375113040333,0.1474036850921273,0.0137107191746639,0.1170927801987125
Spinal cord ventral progenitors (after E13.0),2021,0.0,0.1150929349266236,0.3118104539699765,0.3567540821375556,0.0271784767673759,0.1648589602277532
Spinal cord/r7/r8,395636,0.2801591607885694,0.2003485609844605,0.5545306565382528,0.5359269631681647,0.045215830352988,0.2126401428540436
Telencephalon,430409,0.0,0.1093734411646474,0.3223005968529571,0.302681867711874,0.0334671402664523,0.1829402642024229
Thalamic neuronal precursors,81788,0.0,0.0449708244819441,0.2360824742268046,0.1883650413263559,0.0093420852227317,0.096654463025417
Cortical Interneurons (Prox1+),7555,0.0,0.03421632528649,0.0,0.0943745863666446,0.0117589416229698,0.1084386537308991
Cranial motor neurons,23754,0.0,0.1513655578246957,0.4424290220820189,0.3805674833712217,0.0426995447477804,0.2066386816348294
Deep-layer neurons,236402,0.0,0.0369367331357213,0.2235410094637201,0.1029094508506696,0.0124167702699905,0.1114305625490176
Di/mesencephalon GABAergic neurons,15589,0.0,0.1038728119176488,0.4203470031545742,0.2528064660978895,0.0328373783635145,0.1812108671231241
Di/mesencephalon glutamatergic neurons,30999,0.0,0.0629731950242009,0.3769716088328075,0.1607471208748669,0.0214042004808575,0.1463017446268413
GABAergic cortical interneurons,603448,0.0,0.0686051464367104,0.38801261829653,0.1756539088703583,0.0230832494412741,0.1519317262498987
GABAergic neurons (after E13.0),292004,0.0,0.0665618987890793,0.3402996845425867,0.1962541609019054,0.0197554239789605,0.1405539895519174
Glutamatergic neurons (after E13.0),570526,0.0,0.0596380055049316,0.3272870662460567,0.1757833998801106,0.0180647625616808,0.1344052177621124
Hypothalamic Sim1 neurons,19592,0.0,0.1155904988580931,0.4215299684542587,0.2837893017558187,0.0353261547380582,0.1879525332046851
Midbrain dopaminergic neurons,5495,0.0,0.0951567671212429,0.4128548895899053,0.2362147406733394,0.0298703446120702,0.1728303926167796
Neurons (Slc17a8+),1957,0.0,0.1419024403218084,0.4319400630914826,0.3490035769034236,0.0385981529675073,0.196464126413723
Precerebellar neurons,1286,0.0,0.0874845460209683,0.3931388012618296,0.2255054432348367,0.0266838220543128,0.163351835172773
Spinal V0 interneurons,9397,0.0,0.1139799298319585,0.4152208201892744,0.2900925827391721,0.0327167303218624,0.1808776667304796
Spinal V1 interneurons,31325,0.0,0.1588917323974511,0.4483438485804416,0.3640542697525937,0.0494754269688759,0.2224307239768732
Spinal V2a interneurons,11065,0.0,0.126678959004791,0.4286277602523659,0.309263443289652,0.0377528422711689,0.194300906511444
Spinal V2b interneurons,8575,0.0,0.0985949269297624,0.4160094637223974,0.2439650145772594,0.030747606637728,0.1753499547696777
Spinal V3 interneurons,4440,0.0,0.1929354235939409,0.4578470031545741,0.4797297297297297,0.0425531001964398,0.2062840279722109
Spinal cord motor neurons,31680,0.0,0.1290572822069273,0.419558359621451,0.330239898989899,0.037072849820357,0.1925431115889556
Spinal dI1 interneurons,35714,0.0,0.0653231093356633,0.3801261829652996,0.1675253402027216,0.0216249625990527,0.1470542845314368
Spinal dI2 interneurons,21843,0.0,0.0751345889529104,0.3876182965299685,0.1937004990157029,0.0240428619095095,0.1550576083573763
Spinal dI3 interneurons,5430,0.0,0.0919675276388332,0.3919558359621451,0.2434622467771639,0.026976716736053,0.1642459032550068
Spinal dI4 interneurons,38632,0.0,0.0685788652515395,0.3876182965299685,0.1727324497825637,0.023075199587104,0.1519052322571677
Spinal dI5 interneurons,39157,0.0,0.0908732471376854,0.4081230283911672,0.2273922925658247,0.0287575125211499,0.1695804013474137
Spinal dI6 interneurons,10964,0.0,0.0998397609267841,0.3998422712933753,0.2604888726742065,0.0290562360616484,0.1704588984525255
Striatal projection neurons,6235,0.0,0.0600005944867049,0.3438485804416403,0.1666399358460304,0.0189147024840694,0.1375307328711275
