celltype_new,n_cells,median,mean,q90,frac>0,variance,std
Arterial endothelial cells,26943,0.0,0.036823487444687754,0.1811111111111111,0.22666369743532644,0.006416707861783762,0.08010435607246189
Brain capillary endothelial cells,15179,0.0,0.018719846864454548,0.06904444444444456,0.13057513670202253,0.0032837361644394098,0.05730389310020227
Brain pericytes,3617,0.0,0.01594034343992873,0.02904444444444446,0.11501244124965442,0.0028789442577660442,0.053655794260881504
Endocardial cells,14071,0.0,0.028457686810540197,0.13888888888888884,0.18321370194016062,0.00512419059300758,0.07158345194950842
Endothelium,90215,0.0,0.028544555906568875,0.1409555555555562,0.1915202571634429,0.004926482462531369,0.0701889055515996
Glomerular endothelial cells,17038,0.0,0.03556063570319939,0.17795555555555578,0.16897523183472238,0.008906239247899106,0.09437287347484502
Hematoendothelial progenitors,9693,0.0,0.03208702729346493,0.15051111111111135,0.2222222222222222,0.005650933996218217,0.07517269448555251
Liver sinusoidal endothelial cells,30802,0.0,0.018327244262638067,0.04721111111111132,0.11366145055515875,0.0035644572544721947,0.05970307575386878
Lymphatic vessel endothelial cells,25269,0.0,0.038624581722883994,0.1945555555555556,0.21943883810202225,0.006954360656158604,0.08339280937921809
Microvascular endothelial cells,5624,0.0,0.020987908961593173,0.08093333333333311,0.12748933143669985,0.0039849634007648425,0.06312656652127409
Pericytes,14055,0.0,0.0609145183604095,0.24955555555555553,0.28395588758448953,0.014886816071153504,0.12201154072936504
Venous and capillary endothelial cells,59523,0.0,0.019040660286313228,0.059533333333333674,0.11644238361641718,0.0035983151699151453,0.05998595810616969
