celltype_new,SHH_UCell_score
Dental epithelial cells,0.14288888888888884
Basal keratinocytes,0.09911111111111115
Pituitary/Pineal gland progenitors,0.02966666666666662
Amniotic ectoderm,0.0
Olfactory pit cells,0.0
Thyroid gland cells,0.0
Thymic epithelial cells,0.0
Primordial germ cells,0.0
Pre-epidermal keratinocytes,0.0
Placodal area,0.0
Pituitary gland cells,0.0
Pineal gland,0.0
Parathyroid epithelial cells,0.0
Otic epithelial cells,0.0
Olfactory epithelial cells,0.0
Apical ectodermal ridge,0.0
Olfactory bulb cells,0.0
Nonsensory cochlear epithelium,0.0
Lens epithelial cells,0.0
Granular keratinocytes,0.0
Corneal epithelial cells,0.0
Conjunctival goblet cells,0.0
Cochlear hair cells,0.0
Branchial arch epithelium,0.0
Bladder urothelial cells,0.0
Tooth junctional epithelium,0.0
