celltype_new,n_cells,median,mean,q90,frac>0,variance,std
Amacrine cells,10061,0.0,0.01425207346298689,0.0,0.0834907066891959,0.002780539929323884,0.05273082522892927
Amacrine/Horizontal precursor cells,5154,0.0,0.018701741904885095,0.01994444444444432,0.1016686069072565,0.003776167490574319,0.06145052880630336
Bipolar precursor cells,3414,0.0,0.024772668098678643,0.11785555555555562,0.14176918570591682,0.004835159711705147,0.06953531269581771
Cholinergic amacrine cells,1426,0.0,0.02642200405173757,0.1338888888888889,0.17040673211781207,0.004618184637942402,0.06795722653215332
Ciliary margin cells,725,0.0,0.04524934865900383,0.19822222222222227,0.2413793103448276,0.00944545699112587,0.09718774095083119
Cone precursor cells,5744,0.0,0.023332559579077684,0.11278888888888862,0.1189066852367688,0.004909091393540705,0.07006490843168715
Eye field,43440,0.0,0.08374964190710046,0.2996777777777776,0.37886740331491714,0.017444260897870094,0.13207672352791802
Horizontal cells,910,0.0,0.021473137973137973,0.08940000000000009,0.14505494505494507,0.003800074920387163,0.0616447477112784
Iris pigment epithelium,592,0.0,0.0430335960960961,0.19741111111111112,0.26013513513513514,0.007983932127523742,0.08935285181528199
Naive retinal progenitor cells,52693,0.0,0.13284630891305402,0.3603111111111114,0.482492930749815,0.028641503220355108,0.16923800761163288
Optic stalk,3457,0.0,0.10022646482177869,0.29942222222222226,0.4787387908591264,0.01728443889660419,0.13147029663237317
PV-containing retinal ganglion cells,1133,0.0,0.013719035010297146,0.025177777777777827,0.1147396293027361,0.0021645957370080293,0.04652521614144344
Photoreceptor precursor cells,4703,0.0,0.021724572967609327,0.061511111111111176,0.10376355517754625,0.004613783920803095,0.0679248402339166
Retinal ganglion cells,11197,0.0,0.013523830788008692,0.00997777777777765,0.1044922747164419,0.002280824044503599,0.04775797362225075
Retinal pigment cells,3242,0.0,0.063407190348893,0.24805555555555556,0.3130783466995682,0.013543855114612481,0.11637806973228454
Retinal progenitor cells,10201,0.0,0.04667143744077378,0.22366666666666668,0.21576316047446328,0.010528993768087178,0.10261088523196346
Rod precursor cells,2743,0.0,0.02025754445659659,0.0,0.09515129420342691,0.0044152015415939785,0.06644698293823413
Suprachiasmatic nucleus,6017,0.0,0.0847104315550385,0.29533333333333334,0.3383746052850258,0.018414137523178758,0.13569870125826097
