celltype_new,SHH_UCell_score
Amacrine cells,0.0
Amacrine/Horizontal precursor cells,0.0
Bipolar precursor cells,0.0
Cholinergic amacrine cells,0.0
Ciliary margin cells,0.0
Cone precursor cells,0.0
Eye field,0.0
Horizontal cells,0.0
Iris pigment epithelium,0.0
Naive retinal progenitor cells,0.0
Optic stalk,0.0
PV-containing retinal ganglion cells,0.0
Photoreceptor precursor cells,0.0
Retinal ganglion cells,0.0
Retinal pigment cells,0.0
Retinal progenitor cells,0.0
Rod precursor cells,0.0
Suprachiasmatic nucleus,0.0
