celltype_update,n_cells,median,mean,q90,frac>0,variance,std
Allantois,2804,0,0.004547115232207957,0,0.05420827389443652,5.838386244891942e-4,0.02416275283342513
Amniotic ectoderm,524,0,0.0015600084817642065,0,0.030534351145038167,1.1664844695599805e-4,0.010800391055697847
Amniotic mesoderm,1152,0,0.008387345679012346,0,0.08680555555555555,0.0010742258881464082,0.032775385400425246
Anterior primitive streak,893,0,0.0011593878312803282,0,0.014557670772676373,1.3574959056764058e-4,0.011651162627293491
Blood progenitors,2978,0,4.122453548242668e-4,0,0.007387508394895903,3.890097707805488e-5,0.006237064780652425
CLE and NMPs,4992,0,0.006091635505698006,0,0.058693910256410256,9.089940649455623e-4,0.030149528436537152
Cardiogenic mesoderm,877,0,0.0031095907766375266,0,0.03192702394526796,4.717513083573464e-4,0.021719836747944178
Cardiopharyngeal mesoderm,2214,0,0.009985948007628224,0.010199999999999985,0.10569105691056911,0.0012668771545747029,0.035593217817088456
Definitive ectoderm,6516,0,0.0031198247049996587,0,0.0334561080417434,4.280646843962777e-4,0.020689724125668704
Definitive endoderm,354,0,2.6051475204017573e-4,0,0.011299435028248588,8.463398552172195e-6,0.002909192078940852
Embryonic visceral endoderm,1260,0,0.0010089065255731921,0,0.00873015873015873,1.960701801740383e-4,0.014002506210462408
Endothelium,982,0,7.445123331070378e-4,0,0.009164969450101833,9.901385559750572e-5,0.00995057061667851
Epiblast,11315,0,5.461285412677371e-4,0,0.008837825894829872,5.6891390488127416e-5,0.0075426381650008515
Extraembryonic ectoderm,10351,0,1.3656222157816208e-4,0,0.0024152255820693654,1.2646147669533898e-5,0.0035561422454021573
Extraembryonic mesoderm,3194,0,0.02402410770194114,0.11234444444444457,0.2100814026299311,0.0032573043062573723,0.057072798304072775
Extraembryonic visceral endoderm,8894,0,2.1376458536341605e-4,0,0.004834720035979312,1.9082193190675176e-5,0.004368316974611066
Floor plate,258,0.07666666666666666,0.09657579672695951,0.255,0.5930232558139535,0.009900191787384565,0.09949970747386429
Forebrain,1429,0,0.009211958634631832,0,0.07557732680195942,0.0015672469464921841,0.03958846986803335
Gut,1896,0,0.01805227379278012,0.07600000000000001,0.14767932489451477,0.0026614150060001404,0.05158890390384487
Gut mesenchyme,1065,0.022888888888888848,0.0743738132498696,0.21584444444444445,0.536150234741784,0.007867894605079034,0.0887011533469494
Hematoendothelial progenitors,2598,0,0.0010999914464117696,0,0.016166281755196306,1.4221518646864424e-4,0.011925400893414201
Hindbrain,1075,0,0.010304392764857881,0,0.09116279069767441,0.0015086130430807577,0.03884086820709287
Intermediate mesoderm,1064,0,0.00891530910609858,0.0025444444444444733,0.10150375939849623,0.0010831281005442947,0.032910911572672896
Lateral plate mesoderm,2580,0,0.018030792420327305,0.0815666666666667,0.1631782945736434,0.002354953431326982,0.04852786242280801
Midbrain,1228,0,0.0038412956930872237,0,0.04560260586319218,5.452337297011789e-4,0.023350240463455164
Nascent mesoderm,5501,0,0.003222585792482175,0,0.046173423013997454,3.4003048247160857e-4,0.018439915468125352
Neural crest,721,0,2.7693018955154893e-4,0,0.008321775312066574,1.2388309465781613e-5,0.003519703036590106
Notochord,952,0,0.03146451914098973,0.15843333333333337,0.23319327731092437,0.00435248293445976,0.06597335018368977
Paraxial mesoderm (Tbx6+),6185,0,0.006913572262642594,0,0.07809215844785772,8.626574927838471e-4,0.029371031524000772
Paraxial mesoderm (Tbx6-),3107,0,0.016532489360941243,0.06204444444444451,0.14419053749597682,0.002450627670461553,0.04950381470615727
Parietal endoderm,268,0,0,0,0,0,0
Primitive erythroid cells,6732,0,4.3049778834092564e-4,0,0.00920974450386215,3.115952711093565e-5,0.005582071937097877
Primitive streak,7573,0,5.834176973751779e-4,0,0.00792288392975043,6.965135490751202e-5,0.008345738727489138
Primordial germ cells,380,0,0.002028947368421053,0,0.02368421052631579,2.7204407986887967e-4,0.016493758815651443
Spinal cord,2150,0,0.01567514211886305,0.04396666666666675,0.12930232558139534,0.0024370790749084132,0.04936678108716846
Surface ectoderm,2795,0,0.002611568276684556,0,0.03148479427549195,3.417553695426857e-4,0.01848662677566369
