celltype_new,n_cells,median,mean,q90,frac>0,variance,std
Airway club cells,6264,0.0,0.03035325315737193,0.16675555555555543,0.16235632183908047,0.0059353729539749185,0.07704137170361726
Airway goblet cells,408,0.0,0.020398148148148148,0.08960000000000004,0.14215686274509803,0.0035048866796089017,0.059202083405982445
Alveolar Type 1 cells,14321,0.0,0.04143598755518314,0.21266666666666667,0.21660498568535716,0.007757596324779217,0.08807721796684553
Alveolar Type 2 cells,21443,0.0,0.02226382606082275,0.08586666666666659,0.11299724851933032,0.004608202427602562,0.06788374199764302
Biliary epithelial cells,1742,0.0,0.03461181273121572,0.17693333333333344,0.20321469575200918,0.006367953832624495,0.07979946010233713
Extraembryonic visceral endoderm,1660,0.0,0.02061305220883534,0.08275555555555587,0.1566265060240964,0.0035425659700799444,0.05951945875157086
Foregut epithelial cells,6962,0.0,0.029237559449711133,0.14876666666666674,0.17394426888825051,0.0055058292468059605,0.07420127523706019
Gut,21287,0.1754444444444444,0.16317908165129474,0.3268888888888889,0.6573495560670832,0.021072478864557567,0.14516362789816728
Hepatocytes,289569,0.0,0.027505404008486174,0.1383333333333333,0.1748426109148424,0.004879823186727655,0.06985573123751304
Intestinal enteroendocrine cells,536,0.0,0.01689158374792703,0.01766666666666672,0.11007462686567164,0.003714844921765352,0.060949527658262885
Intestinal goblet cells,1745,0.0,0.01396829035339064,0.0,0.08939828080229226,0.0025835272530677572,0.05082840990103622
Lung cells (Eln+),5308,0.0,0.06971154651260153,0.26458888888888893,0.3285606631499623,0.014435863278638446,0.1201493374040758
Lung progenitor cells,28988,0.0,0.10068299526240744,0.2954444444444444,0.4826134952394094,0.01567436026705932,0.12519728538214925
Midgut/Hindgut epithelial cells,47855,0.0,0.015894890816006688,0.015955555555555383,0.10464946191620521,0.0029861300961631634,0.05464549474717164
Pancreatic acinar cells,3747,0.0,0.043391424250511526,0.1988,0.2570056044835869,0.007971691512260131,0.0892843296007767
Pancreatic islets,1323,0.0,0.031707734945830186,0.1523111111111111,0.19501133786848074,0.0056576216755243975,0.07521716343710655
