celltype_new,SHH_UCell_score
Gut mesenchyme,0.4734290147401086
Foregut mesenchyme,0.4553917765709853
Lung mesenchyme,0.44685802948021724
Leydig cells,0.37238169123351433
Cardiopharyngeal mesoderm,0.37083010085337476
Hepatic mesenchyme,0.3619084561675717
Second heart field,0.32777346780449956
Splanchnic mesoderm,0.31186966640806824
Gastrointestinal smooth muscle cells,0.2323506594259116
Allantois,0.0
Airway smooth muscle cells,0.0
Gonad progenitor cells,0.0
First heart field,0.0
Atrial cardiomyocytes,0.0
Extraembryonic mesoderm,0.0
Amniotic mesoderm,0.0
Adrenocortical cells,0.0
Limb mesenchyme progenitors,0.0
Meninges,0.0
Proepicardium,0.0
Mesothelial cells,0.0
Sertoli cells,0.0
Renal stromal cells,0.0
Somatic mesoderm,0.0
Vascular smooth muscle cells,0.0
Vascular smooth muscle cells (Pparg+),0.0
Ventricular cardiomyocytes,0.0
