celltype_new,pos
Gut mesenchyme,0.8260135135135135
Foregut mesenchyme,0.7532467532467533
Leydig cells,0.75
Lung mesenchyme,0.6994609164420486
Second heart field,0.6
Cardiopharyngeal mesoderm,0.580110497237569
Hepatic mesenchyme,0.5789473684210527
Splanchnic mesoderm,0.5134511913912375
Gastrointestinal smooth muscle cells,0.5094339622641509
Sertoli cells,0.47058823529411764
Renal stromal cells,0.4279475982532751
Allantois,0.4208860759493671
Adrenocortical cells,0.41379310344827586
Extraembryonic mesoderm,0.4064625850340136
Limb mesenchyme progenitors,0.35726950354609927
Mesothelial cells,0.3487603305785124
First heart field,0.3438485804416404
Proepicardium,0.34146341463414637
Airway smooth muscle cells,0.328125
Amniotic mesoderm,0.3193916349809886
Somatic mesoderm,0.3127035830618892
Meninges,0.25396825396825395
Ventricular cardiomyocytes,0.2391304347826087
Gonad progenitor cells,0.17647058823529413
Vascular smooth muscle cells,0.16379310344827586
Vascular smooth muscle cells (Pparg+),0.08403361344537816
Atrial cardiomyocytes,0.0
