celltype_new,n_cells,median,mean,q90,frac>0,variance,std
Adipocyte cells (Cyp2e1+),14376,0.0,0.02915994293784693,0.2171845275840203,0.10684474123539232,0.007372689946103165,0.08586436947944802
Adipocyte progenitor cells,19823,0.0,0.05520558485611827,0.2682308180088776,0.20400544821671796,0.012513033236344097,0.11186167009455963
Brown adipocyte cells,80279,0.0,0.018681187342655486,0.0,0.07020515950622205,0.0046896209006268876,0.06848080680473097
Chondrocytes (Atp1a2+),118412,0.0,0.1439179968227897,0.3303741280913126,0.41695098469749686,0.03669650965826147,0.1915633306722909
Chondrocytes (Otor+),12063,0.0,0.07318104295434945,0.29169308814204187,0.22042609632761337,0.023003474945206197,0.15166896500341195
Dermatome,198888,0.0,0.17147634761767502,0.5789473684210527,0.41497224568601426,0.05677663468316856,0.2382784813682691
Dermomyotome,131048,0.0,0.16772464344508503,0.39023462270135256,0.45880135522861853,0.042407397889496636,0.20593056569993837
Early chondrocytes,144311,0.26358063834284506,0.217367385409744,0.5842316634960896,0.5513647608290428,0.053668537287470994,0.23166470876564474
Facial mesenchyme,382752,0.0,0.1666921636886145,0.33333333333333337,0.45007733467101413,0.0427483215718753,0.20675667237570666
Fibroblasts,648059,0.0,0.10495091514727066,0.3121961530331854,0.29028066888971527,0.03449320396242367,0.18572346099086046
Mesodermal progenitors (Tbx6+),50325,0.28196998520397376,0.20365356739006646,0.33143098710632,0.5902036761053154,0.03550809782333788,0.1884359249807156
Muscle progenitor cells,27017,0.0,0.17547574322553058,0.5554850982878884,0.4509753118406929,0.05016740730072745,0.2239808190464698
Muscle progenitor cells (Prdm1+),5017,0.0,0.11767405743321996,0.29169308814204187,0.4090093681482958,0.02358157945412876,0.1535629494836849
Myoblasts,185751,0.0,0.07705205062425632,0.2974001268230818,0.23109431443168543,0.023461945617954755,0.1531729271704199
Myofibroblasts,43951,0.0,0.03972530351134056,0.2060875079264426,0.18304475438556575,0.00767436717219278,0.08760346552615815
Myotubes,43267,0.0,0.040378770728092296,0.23441132952864085,0.14068458640534356,0.011757560227480765,0.1084322840646676
Pre-osteoblasts (Sp7+),135893,0.24730500951173118,0.22782606031677075,0.5937433946311562,0.5550396267651756,0.06119793478124251,0.24738216342582686
Sclerotome,476671,0.2627351511308391,0.21319998278893393,0.5988163179031918,0.5227546882440929,0.0571365608129446,0.23903255178520058
