celltype_new,n_cells,median,mean,q90,frac>0,variance,std
Cortical Interneurons (Prox1+),7555,0.0,0.03421632528649003,0.0,0.0943745863666446,0.011758941622969843,0.10843865373089913
Cranial motor neurons,23754,0.0,0.15136555782469577,0.44242902208201895,0.3805674833712217,0.04269954474778042,0.20663868163482949
Deep-layer neurons,236402,0.0,0.03693673313572131,0.22354100946372016,0.10290945085066962,0.012416770269990541,0.11143056254901768
Di/mesencephalon GABAergic neurons,15589,0.0,0.1038728119176488,0.4203470031545742,0.25280646609788954,0.03283737836351456,0.18121086712312415
Di/mesencephalon glutamatergic neurons,30999,0.0,0.06297319502420094,0.37697160883280756,0.16074712087486692,0.02140420048085751,0.14630174462684137
GABAergic cortical interneurons,603448,0.0,0.06860514643671048,0.38801261829653,0.17565390887035834,0.023083249441274163,0.15193172624989873
GABAergic neurons (after E13.0),292004,0.0,0.0665618987890793,0.34029968454258674,0.19625416090190545,0.019755423978960514,0.14055398955191742
Glutamatergic neurons (after E13.0),570526,0.0,0.05963800550493163,0.32728706624605675,0.17578339988011063,0.01806476256168086,0.13440521776211242
Hypothalamic Sim1 neurons,19592,0.0,0.11559049885809311,0.4215299684542587,0.2837893017558187,0.03532615473805828,0.18795253320468516
Midbrain dopaminergic neurons,5495,0.0,0.09515676712124299,0.41285488958990535,0.2362147406733394,0.029870344612070214,0.17283039261677968
Neurons (Slc17a8+),1957,0.0,0.14190244032180846,0.43194006309148264,0.3490035769034236,0.03859815296750735,0.19646412641372304
Precerebellar neurons,1286,0.0,0.08748454602096835,0.39313880126182965,0.2255054432348367,0.026683822054312824,0.16335183517277307
Spinal V0 interneurons,9397,0.0,0.11397992983195858,0.4152208201892744,0.2900925827391721,0.03271673032186245,0.1808776667304796
Spinal V1 interneurons,31325,0.0,0.15889173239745116,0.44834384858044163,0.36405426975259375,0.049475426968875955,0.2224307239768732
Spinal V2a interneurons,11065,0.0,0.12667895900479104,0.42862776025236593,0.30926344328965205,0.03775284227116891,0.19430090651144402
Spinal V2b interneurons,8575,0.0,0.09859492692976243,0.41600946372239744,0.24396501457725947,0.03074760663772802,0.1753499547696777
Spinal V3 interneurons,4440,0.0,0.19293542359394092,0.45784700315457416,0.4797297297297297,0.042553100196439896,0.2062840279722109
Spinal cord motor neurons,31680,0.0,0.12905728220692733,0.41955835962145105,0.330239898989899,0.03707284982035704,0.19254311158895568
Spinal dI1 interneurons,35714,0.0,0.06532310933566333,0.38012618296529965,0.1675253402027216,0.021624962599052788,0.14705428453143685
Spinal dI2 interneurons,21843,0.0,0.07513458895291043,0.3876182965299685,0.19370049901570296,0.024042861909509515,0.15505760835737636
Spinal dI3 interneurons,5430,0.0,0.09196752763883322,0.3919558359621451,0.2434622467771639,0.02697671673605308,0.16424590325500688
Spinal dI4 interneurons,38632,0.0,0.06857886525153957,0.3876182965299685,0.1727324497825637,0.023075199587104078,0.15190523225716776
Spinal dI5 interneurons,39157,0.0,0.0908732471376854,0.4081230283911672,0.22739229256582474,0.02875751252114992,0.16958040134741373
Spinal dI6 interneurons,10964,0.0,0.09983976092678418,0.39984227129337535,0.2604888726742065,0.029056236061648415,0.17045889845252554
Striatal projection neurons,6235,0.0,0.06000059448670499,0.34384858044164035,0.16663993584603048,0.018914702484069432,0.13753073287112752
Subplate neurons,103397,0.0,0.0298443689629836,0.0,0.09055388454210471,0.0093228159353381,0.0965547302587403
Upper-layer neurons,238829,0.0,0.018635188451624107,0.0,0.05037076736912184,0.006780958797090012,0.08234657732468309
