celltype_new,n_cells,median,mean,q90,frac>0,variance,std
Anterior floor plate,16274,0.2675890757822391,0.17392096368854998,0.3262796165671912,0.5374831018802999,0.02959901696485726,0.17204364842927872
Anterior roof plate,16098,0.0,0.06835867020953523,0.2902875746066197,0.2271710771524413,0.017186123570343385,0.1310958564194284
Astrocytes,109750,0.2745523602821487,0.2187713901149087,0.506800506420692,0.6340501138952164,0.03715651254370796,0.19276024627424598
Cajal-Retzius cells,81803,0.0,0.03553461518823813,0.22731054440224327,0.14192633521997972,0.008067572240341036,0.0898196651092679
Cerebellar Purkinje cells,26737,0.0,0.031021598872637012,0.21233496111412553,0.12607996409470024,0.006923928295464479,0.08321014538783404
Cerebellum-related cells,9252,0.25664677156809546,0.22160688792818778,0.5706095134744076,0.5837656722870731,0.05090246176853155,0.2256157391861914
Choroid plexus,9441,0.0,0.09033511931551405,0.28251039971061676,0.34307806376443173,0.017462479859094427,0.1321456766568412
Committed oligodendrocyte precursors,1865,0.0,0.09640040789073648,0.29155362633387594,0.31528150134048255,0.023470881158512143,0.15320209253959993
Diencephalon,78021,0.26731777898354137,0.1987020069208009,0.5737022969795623,0.5265761782084311,0.046681627623074894,0.21605931505740478
Dorsal telencephalon,30144,0.0,0.07502094486166166,0.29770302043769215,0.2468816348195329,0.018460183941679947,0.1358682595078039
Ependymal cells,5895,0.0,0.047837364894270956,0.2267317778983542,0.21611535199321458,0.009125786593786068,0.0955289830040395
Floorplate and p3 domain,44992,0.30475673720383434,0.2578311022098147,0.6008319768493399,0.6822546230440967,0.04524503289571742,0.21270879835050882
Hindbrain,197367,0.26767950804847174,0.19440434770672158,0.5523602821486706,0.5204365471431395,0.04545771524404732,0.21320815004133242
Hypothalamus,53378,0.31488515102188464,0.28857504046004445,0.5979381443298969,0.7748697965453932,0.03759855664095227,0.19390347248296577
Hypothalamus (Sim1+),14611,0.29860734310001813,0.24154972643852632,0.5756918068366793,0.6625829854219424,0.040945142793631914,0.20234906175624318
Intermediate neuronal progenitors,42068,0.0,0.022265577028797633,0.0,0.076946847960445,0.006210838552968395,0.07880887356743779
Midbrain,145124,0.0,0.11119556291509677,0.3219388677880267,0.3047669579118547,0.03409475988053585,0.18464766416214382
Midbrain-hindbrain boundary,66071,0.0,0.16906317852343844,0.3309820944112859,0.48390367937521755,0.03737697172217218,0.1933312486955282
Multiciliated ependymal cells,10452,0.0,0.13278052327784676,0.3172183034906854,0.4428817451205511,0.02609731172803945,0.1615466240069394
NMPs and spinal cord progenitors,53734,0.3025863628142521,0.2860191864505046,0.6066196418882257,0.7103323780101984,0.050952486905037744,0.22572657554004966
Neural progenitor cells (Neurod1+),23270,0.0,0.15034721404497425,0.3239283776451438,0.4369144821658788,0.03494636412628943,0.1869394664758874
Neural progenitor cells (Ror1+),33240,0.0,0.09222671554144334,0.297522155905227,0.30577617328519857,0.02214905567643736,0.1488255881105039
Oligodendrocyte progenitor cells,29522,0.0,0.08463826033634186,0.2807017543859649,0.3132917823995664,0.017125776758478813,0.1308654910909626
Posterior roof plate,11623,0.0,0.1877154593675138,0.5532646048109966,0.4951389486363245,0.047717405826588066,0.21844314094653572
Spinal cord dorsal progenitors (after E13.0),8358,0.0,0.04673515282447082,0.28943751130403333,0.1474036850921273,0.013710719174663998,0.1170927801987125
Spinal cord ventral progenitors (after E13.0),2021,0.0,0.11509293492662369,0.31181045396997653,0.35675408213755566,0.027178476767375913,0.1648589602277532
Spinal cord/r7/r8,395636,0.2801591607885694,0.20034856098446058,0.5545306565382528,0.5359269631681647,0.04521583035298806,0.2126401428540436
Telencephalon,430409,0.0,0.10937344116464749,0.3223005968529571,0.30268186771187405,0.0334671402664523,0.1829402642024229
Thalamic neuronal precursors,81788,0.0,0.04497082448194412,0.23608247422680467,0.18836504132635595,0.009342085222731713,0.09665446302541705
