system	x	y	x_name	y_name	edge_type	abs_delta	delta	sh_x	sh_y	x_id	y_id
Pre_gastrulation	PGa_M1	PGa_M2	Oocyte	1-cell	Developmental progression	0.018356485178392	0.018356485178392	0.00609434159508863	0.0244508267734806	1	2
Pre_gastrulation	PGa_M2	PGa_M3	1-cell	2-cell	Developmental progression	0.0177090924834339	0.0177090924834339	-0.0207996821248099	-0.00309058964137604	2	3
Pre_gastrulation	PGa_M3	PGa_M4	2-cell	4-cell	Developmental progression	0.0235755803593913	-0.0235755803593913	0.0150090239161291	-0.00856655644326215	3	4
Pre_gastrulation	PGa_M4	PGa_M5	4-cell	8-cell	Developmental progression	0.0258539653375889	-0.0258539653375889	0.0188112943278243	-0.00704267100976459	4	5
Pre_gastrulation	PGa_M5	PGa_M6	8-cell	Morula	Developmental progression	0.0496668874841437	0.0496668874841437	-0.0390207037730767	0.010646183711067	5	6
Pre_gastrulation	PGa_M6	PGa_M7	Morula	Inner cell mass	Developmental progression	0.0333524714245279	0.0333524714245279	-0.0260435901372464	0.00730888128728157	6	7
Pre_gastrulation	PGa_M6	PGa_M8	Morula	Trophectoderm	Developmental progression	0.00569784416857406	0.00569784416857406	0.00255680806334571	0.00825465223191977	6	8
Pre_gastrulation	PGa_M8	PGa_M9	Trophectoderm	Extraembryonic ectoderm	Developmental progression	0.0149412719070293	0.0149412719070293	-0.00632485184687164	0.00861642006015765	8	9
Pre_gastrulation	PGa_M7	PGa_M10	Inner cell mass	Hypoblast	Developmental progression	0.043168975167495	0.043168975167495	-0.000336023150085776	0.0428329520174092	7	10
Pre_gastrulation	PGa_M10	PGa_M11	Hypoblast	Parietal endoderm	Developmental progression	0.00893257822377929	0.00893257822377929	-0.0170608785514716	-0.00812830032769231	10	11
Pre_gastrulation	PGa_M10	PGa_M12	Hypoblast	Visceral endoderm	Developmental progression	0.0278328140786873	-0.0278328140786873	0.0175879594972566	-0.0102448545814307	10	12
Pre_gastrulation	PGa_M12	PGa_M13	Visceral endoderm	Extraembryonic visceral endoderm	Developmental progression	0.0318312932735365	-0.0318312932735365	0.015555838708579	-0.0162754545649576	12	13
Pre_gastrulation	PGa_M12	PGa_M14	Visceral endoderm	Embryonic visceral endoderm	Developmental progression	0.0109989745002856	0.0109989745002856	0.00132061395122432	0.0123195884515099	12	14
Pre_gastrulation	PGa_M7	PGa_M15	Inner cell mass	Epiblast	Developmental progression	0.0116291359981384	-0.0116291359981384	0.00935018684504091	-0.0022789491530975	7	15
Pre_gastrulation	PGa_M15	PGa_M16	Epiblast	Primitive streak	Developmental progression	0.000382719718414203	0.000382719718414203	-0.0171858492576648	-0.0168031295392506	15	16
Pre_gastrulation	PGa_M14	Ga_M4	Embryonic visceral endoderm	Embryonic visceral endoderm	Dataset equivalence	0.0238646399954748	-0.0238646399954748	0.00737501568164998	-0.0164896243138248	14	20
Pre_gastrulation	PGa_M9	Ga_M1	Extraembryonic ectoderm	Extraembryonic ectoderm	Dataset equivalence	0.032189507773074	0.032189507773074	-0.01917765201658	0.013011855756494	9	17
Pre_gastrulation	PGa_M15	Ga_M5	Epiblast	Epiblast	Dataset equivalence	0.00270392260207661	-0.00270392260207661	0.0175690060261455	0.0148650834240688	15	21
Pre_gastrulation	PGa_M13	Ga_M3	Extraembryonic visceral endoderm	Extraembryonic visceral endoderm	Dataset equivalence	0.011861603585829	0.011861603585829	-0.000998518219725058	0.0108630853661039	13	19
Pre_gastrulation	PGa_M16	Ga_M6	Primitive streak	Primitive streak	Dataset equivalence	0.00961294687486867	-0.00961294687486867	-0.00369724727090521	-0.0133101941457739	16	22
Pre_gastrulation	PGa_M11	Ga_M2	Parietal endoderm	Parietal endoderm	Dataset equivalence	0.0182618173494132	0.0182618173494132	-0.0136185908880788	0.0046432264613344	11	18
Gastrulation	Ga_M10	Ga_M16	Anterior primitive streak	Definitive endoderm	Developmental progression	0.0008988730792401	-0.0008988730792401	0.0011593878312803	0.0002605147520401	26	32
Gastrulation	Ga_M11	Ga_M33	Blood progenitors	Primitive erythroid cells	Developmental progression	1.82524335166588e-05	1.82524335166588e-05	0.0004122453548242	0.0004304977883409	27	49
Gastrulation	Ga_M5	Ga_M6	Epiblast	Primitive streak	Developmental progression	3.72891561074408e-05	3.72891561074408e-05	0.0005461285412677	0.0005834176973751	21	22
Gastrulation	Ga_M31	Ga_M25	Paraxial mesoderm (Tbx6+)	Intermediate mesoderm	Developmental progression	0.0020017368434559	0.0020017368434559	0.0069135722626425	0.0089153091060985	47	41
Gastrulation	Ga_M4	Ga_M21	Embryonic visceral endoderm	Gut	Developmental progression	0.0170433672672069	0.0170433672672069	0.0010089065255731	0.0180522737927801	20	37
Gastrulation	Ga_M15	Ga_M36	Definitive ectoderm	Surface ectoderm	Developmental progression	0.0005082564283151	-0.0005082564283151	0.0031198247049996	0.0026115682766845	31	52
Gastrulation	Ga_M18	Ga_M7	Extraembryonic mesoderm	Allantois	Developmental progression	0.0194769924697331	-0.0194769924697331	0.0240241077019411	0.0045471152322079	34	23
Gastrulation	Ga_M13	Ga_M32	Cardiopharyngeal mesoderm	Paraxial mesoderm (Tbx6-)	Developmental progression	0.006546541353313	0.006546541353313	0.0099859480076282	0.0165324893609412	29	48
Gastrulation	Ga_M5	Ga_M15	Epiblast	Definitive ectoderm	Developmental progression	0.0025736961637319	0.0025736961637319	0.0005461285412677	0.0031198247049996	21	31
Gastrulation	Ga_M14	Ga_M31	CLE and NMPs	Paraxial mesoderm (Tbx6+)	Developmental progression	0.0008219367569445	0.0008219367569445	0.006091635505698	0.0069135722626425	30	47
Gastrulation	Ga_M15	Ga_M35	Definitive ectoderm	Spinal cord	Developmental progression	0.0125553174138633	0.0125553174138633	0.0031198247049996	0.015675142118863	31	51
Gastrulation	Ga_M28	Ga_M31	Nascent mesoderm	Paraxial mesoderm (Tbx6+)	Developmental progression	0.0036909864701604	0.0036909864701604	0.0032225857924821	0.0069135722626425	44	47
Gastrulation	Ga_M15	Ga_M27	Definitive ectoderm	Midbrain	Developmental progression	0.0007214709880875	0.0007214709880875	0.0031198247049996	0.0038412956930872	31	43
Gastrulation	Ga_M14	Ga_M35	CLE and NMPs	Spinal cord	Developmental progression	0.009583506613165	0.009583506613165	0.006091635505698	0.015675142118863	30	51
Gastrulation	Ga_M26	Ga_M25	Lateral plate mesoderm	Intermediate mesoderm	Developmental progression	0.0091154833142287	-0.0091154833142287	0.0180307924203273	0.0089153091060985	42	41
Gastrulation	Ga_M15	Ga_M20	Definitive ectoderm	Forebrain	Developmental progression	0.0060921339296321	0.0060921339296321	0.0031198247049996	0.0092119586346318	31	36
Gastrulation	Ga_M6	Ga_M28	Primitive streak	Nascent mesoderm	Developmental progression	0.0026391680951069	0.0026391680951069	0.0005834176973751	0.0032225857924821	22	44
Gastrulation	Ga_M23	Ga_M11	Hematoendothelial progenitors	Blood progenitors	Developmental progression	0.0006877460915875	-0.0006877460915875	0.0010999914464117	0.0004122453548242	39	27
Gastrulation	Ga_M36	Ga_M8	Surface ectoderm	Amniotic ectoderm	Developmental progression	0.0010515597949203	-0.0010515597949203	0.0026115682766845	0.0015600084817642	52	24
Gastrulation	Ga_M28	Ga_M18	Nascent mesoderm	Extraembryonic mesoderm	Developmental progression	0.0208015219094589	0.0208015219094589	0.0032225857924821	0.0240241077019411	44	34
Gastrulation	Ga_M16	Ga_M21	Definitive endoderm	Gut	Developmental progression	0.0177917590407399	0.0177917590407399	0.0002605147520401	0.0180522737927801	32	37
