"system","x","y","x_name","y_name","edge_type","x_number.x","y_number.x","x_id.x","y_id.x","x_number.y","y_number.y","x_id.y","y_id.y","n_x","median_x","sh_x","q90_x","frac>0_x","variance_x","std_x","n_y","median_y","sh_y","q90_y","frac>0_y","variance_y","std_y","abs_delta","delta","cohens_d","pct_change","abs_pct_change","system_name"
"Pre_gastrulation","PGa_M1","PGa_M2","Oocyte","1-cell","Developmental progression",1,2,181,1,NA,NA,"","",NA,NA,0.00609434159508863,NA,NA,NA,NA,NA,NA,0.0244508267734806,NA,NA,NA,NA,0.018356485178392,0.018356485178392,NA,NA,NA,""
"Pre_gastrulation","PGa_M2","PGa_M3","1-cell","2-cell","Developmental progression",2,3,1,2,NA,NA,"","",NA,NA,-0.0207996821248099,NA,NA,NA,NA,NA,NA,-0.00309058964137604,NA,NA,NA,NA,0.0177090924834339,0.0177090924834339,NA,NA,NA,""
"Pre_gastrulation","PGa_M3","PGa_M4","2-cell","4-cell","Developmental progression",3,4,2,3,NA,NA,"","",NA,NA,0.0150090239161291,NA,NA,NA,NA,NA,NA,-0.00856655644326215,NA,NA,NA,NA,0.0235755803593913,-0.0235755803593913,NA,NA,NA,""
"Pre_gastrulation","PGa_M4","PGa_M5","4-cell","8-cell","Developmental progression",4,5,3,4,NA,NA,"","",NA,NA,0.0188112943278243,NA,NA,NA,NA,NA,NA,-0.00704267100976459,NA,NA,NA,NA,0.0258539653375889,-0.0258539653375889,NA,NA,NA,""
"Pre_gastrulation","PGa_M5","PGa_M6","8-cell","Morula","Developmental progression",5,6,4,153,NA,NA,"","",NA,NA,-0.0390207037730767,NA,NA,NA,NA,NA,NA,0.010646183711067,NA,NA,NA,NA,0.0496668874841437,0.0496668874841437,NA,NA,NA,""
"Pre_gastrulation","PGa_M6","PGa_M7","Morula","Inner cell mass","Developmental progression",6,7,153,121,NA,NA,"","",NA,NA,-0.0260435901372464,NA,NA,NA,NA,NA,NA,0.00730888128728157,NA,NA,NA,NA,0.0333524714245279,0.0333524714245279,NA,NA,NA,""
"Pre_gastrulation","PGa_M6","PGa_M8","Morula","Trophectoderm","Developmental progression",6,8,153,254,NA,NA,"","",NA,NA,0.00255680806334571,NA,NA,NA,NA,NA,NA,0.00825465223191977,NA,NA,NA,NA,0.00569784416857406,0.00569784416857406,NA,NA,NA,""
"Pre_gastrulation","PGa_M8","PGa_M9","Trophectoderm","Extraembryonic ectoderm","Developmental progression",8,9,254,87,NA,NA,"","",NA,NA,-0.00632485184687164,NA,NA,NA,NA,NA,NA,0.00861642006015765,NA,NA,NA,NA,0.0149412719070293,0.0149412719070293,NA,NA,NA,""
"Pre_gastrulation","PGa_M7","PGa_M10","Inner cell mass","Hypoblast","Developmental progression",7,10,121,117,NA,NA,"","",NA,NA,-0.000336023150085776,NA,NA,NA,NA,NA,NA,0.0428329520174092,NA,NA,NA,NA,0.043168975167495,0.043168975167495,NA,NA,NA,""
"Pre_gastrulation","PGa_M10","PGa_M11","Hypoblast","Parietal endoderm","Developmental progression",10,11,117,194,NA,NA,"","",NA,NA,-0.0170608785514716,NA,NA,NA,NA,NA,NA,-0.00812830032769231,NA,NA,NA,NA,0.00893257822377929,0.00893257822377929,NA,NA,NA,""
