"system"	"x"	"y"	"x_name"	"y_name"	"edge_type"	"x_number"	"y_number"	"x_id"	"y_id"
"Pre_gastrulation"	"PGa_M1"	"PGa_M2"	"Oocyte"	"1-cell"	"Developmental progression"	1	2	181	1
"Pre_gastrulation"	"PGa_M2"	"PGa_M3"	"1-cell"	"2-cell"	"Developmental progression"	2	3	1	2
"Pre_gastrulation"	"PGa_M3"	"PGa_M4"	"2-cell"	"4-cell"	"Developmental progression"	3	4	2	3
"Pre_gastrulation"	"PGa_M4"	"PGa_M5"	"4-cell"	"8-cell"	"Developmental progression"	4	5	3	4
"Pre_gastrulation"	"PGa_M5"	"PGa_M6"	"8-cell"	"Morula"	"Developmental progression"	5	6	4	153
"Pre_gastrulation"	"PGa_M6"	"PGa_M7"	"Morula"	"Inner cell mass"	"Developmental progression"	6	7	153	121
"Pre_gastrulation"	"PGa_M6"	"PGa_M8"	"Morula"	"Trophectoderm"	"Developmental progression"	6	8	153	254
"Pre_gastrulation"	"PGa_M8"	"PGa_M9"	"Trophectoderm"	"Extraembryonic ectoderm"	"Developmental progression"	8	9	254	87
"Pre_gastrulation"	"PGa_M7"	"PGa_M10"	"Inner cell mass"	"Hypoblast"	"Developmental progression"	7	10	121	117
"Pre_gastrulation"	"PGa_M10"	"PGa_M11"	"Hypoblast"	"Parietal endoderm"	"Developmental progression"	10	11	117	194
"Pre_gastrulation"	"PGa_M10"	"PGa_M12"	"Hypoblast"	"Visceral endoderm"	"Developmental progression"	10	12	117	262
"Pre_gastrulation"	"PGa_M12"	"PGa_M13"	"Visceral endoderm"	"Extraembryonic visceral endoderm"	"Developmental progression"	12	13	262	89
"Pre_gastrulation"	"PGa_M12"	"PGa_M14"	"Visceral endoderm"	"Embryonic visceral endoderm"	"Developmental progression"	12	14	262	81
"Pre_gastrulation"	"PGa_M7"	"PGa_M15"	"Inner cell mass"	"Epiblast"	"Developmental progression"	7	15	121	86
"Pre_gastrulation"	"PGa_M15"	"PGa_M16"	"Epiblast"	"Primitive streak"	"Developmental progression"	15	16	86	209
"Pre_gastrulation"	"PGa_M14"	"Ga_M4"	"Embryonic visceral endoderm"	"Embryonic visceral endoderm"	"Dataset equivalence"	14	20	81	81
"Pre_gastrulation"	"PGa_M9"	"Ga_M1"	"Extraembryonic ectoderm"	"Extraembryonic ectoderm"	"Dataset equivalence"	9	17	87	87
"Pre_gastrulation"	"PGa_M15"	"Ga_M5"	"Epiblast"	"Epiblast"	"Dataset equivalence"	15	21	86	86
