system,x,y,x_name,y_name,edge_type,x_number,y_number,x_id,y_id,n_x,median_x,sh_x,q90_x,frac>0_x,variance_x,std_x,n_y,median_y,sh_y,q90_y,frac>0_y,variance_y,std_y,abs_delta,delta,cohens_d,pct_change,abs_pct_change,system_name
Blood,B_M8,B_M9,Definitive early erythroblasts (CD36-),Definitive erythroblasts (CD36+),Developmental progression,206.0,207.0,188,189,929291,0.0,0.0188329592727741,0.0618888888888888,0.1184257676013218,0.003459775323524,0.0588198548410653,92446,0.0,0.0039714439901251,0.0,0.0157605521060943,0.0010312823537838,0.0321135851904423,0.014862,-0.014862,-0.3136,-78.91,78.91,Blood
Blood,B_M11,B_M18,Hematopoietic stem cells (Cd34+),Monocytes,Developmental progression,183.0,190.0,166,173,37750,0.0,0.0158012774098601,0.034,0.1134569536423841,0.0027579163465405,0.0525158675691499,29268,0.0,0.0056960540901705,0.0,0.0406245729123957,0.0010604886199337,0.0325651442486241,0.010105,-0.010105,-0.2313,-63.95,63.95,Blood
Blood,B_M19,B_M23,Monocytic myeloid-derived suppressor cells,PMN myeloid-derived suppressor cells,Developmental progression,191.0,196.0,174,179,24741,0.0,0.0033044384265434,0.0,0.0214219312073077,0.000653003509492,0.0255539333467863,15382,0.0,0.0018243834785246,0.0,0.0086464698998829,0.000418519796109,0.0204577563801361,0.00148,-0.00148,-0.0639,-44.79,44.79,Blood
Blood,B_M25,B_M26,Regulatory T cells,T cells,Developmental progression,198.0,199.0,180,181,9800,0.0,0.0239902040816326,0.116688888888889,0.1465306122448979,0.0044051856007314,0.0663715722333846,70028,0.0,0.017122393899583,0.0,0.0949334551893528,0.0034540435011949,0.0587711111107736,0.006868,-0.006868,-0.1096,-28.63,28.63,Blood
Blood,B_M26,B_M1,T cells,Activated T cells,Developmental progression,199.0,181.0,181,164,70028,0.0,0.017122393899583,0.0,0.0949334551893528,0.0034540435011949,0.0587711111107736,6621,0.0,0.0147628421352934,0.0,0.0673614257665005,0.0033148966886082,0.0575751395014219,0.00236,-0.00236,-0.0406,-13.78,13.78,Blood
Blood,B_M15,B_M8,Megakaryocyte-erythroid progenitors,Definitive early erythroblasts (CD36-),Developmental progression,187.0,206.0,170,188,13436,0.0,0.0264352485858886,0.1267222222222222,0.1839833283715391,0.0044750089015404,0.0668955073345019,929291,0.0,0.0188329592727741,0.0618888888888888,0.1184257676013218,0.003459775323524,0.0588198548410653,0.007602,-0.007602,-0.1207,-28.76,28.76,Blood
Blood,B_M5,B_M17,Border-associated macrophages,Microglia,Developmental progression,203.0,189.0,185,172,65191,0.0,0.007769830191284,0.0,0.0488410976975349,0.0015727115106012,0.0396574269286498,8382,0.0,0.0088159018001537,0.0,0.0547602004294917,0.0017259274419915,0.0415442829038063,0.001046,0.001046,0.0258,13.46,13.46,Blood
Blood,B_M11,B_M5,Hematopoietic stem cells (Cd34+),Border-associated macrophages,Developmental progression,183.0,203.0,166,185,37750,0.0,0.0158012774098601,0.034,0.1134569536423841,0.0027579163465405,0.0525158675691499,65191,0.0,0.007769830191284,0.0,0.0488410976975349,0.0015727115106012,0.0396574269286498,0.008031,-0.008031,-0.1726,-50.83,50.83,Blood
Blood,B_M12,B_M19,Hematopoietic stem cells (Mpo+),Monocytic myeloid-derived suppressor cells,Developmental progression,184.0,191.0,167,174,23128,0.0,0.0095232810638379,0.0,0.0679263230716015,0.0017161458946865,0.0414263912824482,24741,0.0,0.0033044384265434,0.0,0.0214219312073077,0.000653003509492,0.0255539333467863,0.006219,-0.006219,-0.1807,-65.3,65.3,Blood
Blood,B_M11,B_M12,Hematopoietic stem cells (Cd34+),Hematopoietic stem cells (Mpo+),Developmental progression,183.0,184.0,166,167,37750,0.0,0.0158012774098601,0.034,0.1134569536423841,0.0027579163465405,0.0525158675691499,23128,0.0,0.0095232810638379,0.0,0.0679263230716015,0.0017161458946865,0.0414263912824482,0.006278,-0.006278,-0.1327,-39.73,39.73,Blood
Blood,B_M11,B_M7,Hematopoietic stem cells (Cd34+),Conventional dendritic cells,Developmental progression,183.0,205.0,166,187,37750,0.0,0.0158012774098601,0.034,0.1134569536423841,0.0027579163465405,0.0525158675691499,4582,0.0,0.0095962704301857,0.0,0.0571802706241815,0.0019485258751459,0.044142109998797,0.006205,-0.006205,-0.1279,-39.27,39.27,Blood
Blood,B_M3,B_M4,B cell progenitors,B cells,Developmental progression,201.0,202.0,183,184,1295,0.0,0.0293317889317889,0.1462,0.1861003861003861,0.0051151577437156,0.0715203309815859,43057,0.0,0.014974537628415,0.0,0.0829365724504726,0.0030366934368175,0.0551062014370206,0.014357,-0.014357,-0.2249,-48.95,48.95,Blood
Blood,B_M11,B_M8,Hematopoietic stem cells (Cd34+),Definitive early erythroblasts (CD36-),Developmental progression,183.0,206.0,166,188,37750,0.0,0.0158012774098601,0.034,0.1134569536423841,0.0027579163465405,0.0525158675691499,929291,0.0,0.0188329592727741,0.0618888888888888,0.1184257676013218,0.003459775323524,0.0588198548410653,0.003032,0.003032,0.0544,19.19,19.19,Blood
Blood,B_M5,B_M13,Border-associated macrophages,Kupffer cells,Developmental progression,203.0,185.0,185,168,65191,0.0,0.007769830191284,0.0,0.0488410976975349,0.0015727115106012,0.0396574269286498,33417,0.0,0.0050524317296918,0.0,0.0351018942454439,0.0009416371102763,0.0306861061439261,0.002717,-0.002717,-0.0766,-34.97,34.97,Blood
Blood,B_M27,B_M26,T-NK progenitors,T cells,Developmental progression,200.0,199.0,182,181,1901,0.0,0.0138961365363259,0.003,0.1004734350341925,0.0024397510975414,0.0493938366351653,70028,0.0,0.017122393899583,0.0,0.0949334551893528,0.0034540435011949,0.0587711111107736,0.003226,0.003226,0.0594,23.22,23.22,Blood
Blood,B_M27,B_M25,T-NK progenitors,Regulatory T cells,Developmental progression,200.0,198.0,182,180,1901,0.0,0.0138961365363259,0.003,0.1004734350341925,0.0024397510975414,0.0493938366351653,9800,0.0,0.0239902040816326,0.116688888888889,0.1465306122448979,0.0044051856007314,0.0663715722333846,0.010094,0.010094,0.1725,72.64,72.64,Blood
Blood,B_M5,B_M6,Border-associated macrophages,Border-associated macrophages (Ms4a8a+),Developmental progression,203.0,204.0,185,186,65191,0.0,0.007769830191284,0.0,0.0488410976975349,0.0015727115106012,0.0396574269286498,4736,0.0,0.0039840934684684,0.0,0.026393581081081,0.0007576308627331,0.027525095144851,0.003786,-0.003786,-0.1109,-48.72,48.72,Blood
Blood,B_M11,B_M3,Hematopoietic stem cells (Cd34+),B cell progenitors,Developmental progression,183.0,201.0,166,183,37750,0.0,0.0158012774098601,0.034,0.1134569536423841,0.0027579163465405,0.0525158675691499,1295,0.0,0.0293317889317889,0.1462,0.1861003861003861,0.0051151577437156,0.0715203309815859,0.013531,0.013531,0.2157,85.63,85.63,Blood
