system	meta_group	celltype_new	celltype_num
Pre_gastrulation	PGa_M1	Oocyte	2
Pre_gastrulation	PGa_M2	1-cell	3
Pre_gastrulation	PGa_M3	2-cell	3
Pre_gastrulation	PGa_M4	4-cell	3
Pre_gastrulation	PGa_M5	8-cell	3
Pre_gastrulation	PGa_M6	Morula	3
Pre_gastrulation	PGa_M7	Inner cell mass	90
Pre_gastrulation	PGa_M8	Trophectoderm	0
Pre_gastrulation	PGa_M9	Extraembryonic ectoderm	299
Pre_gastrulation	PGa_M10	Hypoblast	44
Pre_gastrulation	PGa_M11	Parietal endoderm	79
Pre_gastrulation	PGa_M12	Visceral endoderm	120
Pre_gastrulation	PGa_M13	Extraembryonic visceral endoderm	337
Pre_gastrulation	PGa_M14	Embryonic visceral endoderm	165
Pre_gastrulation	PGa_M15	Epiblast	877
Pre_gastrulation	PGa_M16	Primitive streak	222
Gastrulation	Ga_M7	Allantois	2804
Gastrulation	Ga_M8	Amniotic ectoderm	524
Gastrulation	Ga_M9	Amniotic mesoderm	1152
Gastrulation	Ga_M10	Anterior primitive streak	893
Gastrulation	Ga_M11	Blood progenitors	2978
Gastrulation	Ga_M12	Cardiogenic mesoderm	877
Gastrulation	Ga_M13	Cardiopharyngeal mesoderm	2214
Gastrulation	Ga_M14	CLE and NMPs	4992
Gastrulation	Ga_M15	Definitive ectoderm	6516
Gastrulation	Ga_M16	Definitive endoderm	354
Gastrulation	Ga_M17	Endothelium	982
Gastrulation	Ga_M18	Extraembryonic mesoderm	3194
Gastrulation	Ga_M19	Floor plate	258
Gastrulation	Ga_M20	Forebrain	1429
Gastrulation	Ga_M21	Gut	1896
Gastrulation	Ga_M22	Gut mesenchyme	1065
Gastrulation	Ga_M23	Hematoendothelial progenitors	2598
Gastrulation	Ga_M24	Hindbrain	1075
Gastrulation	Ga_M25	Intermediate mesoderm	1064
Gastrulation	Ga_M26	Lateral plate mesoderm	2580
Gastrulation	Ga_M27	Midbrain	1228
Gastrulation	Ga_M28	Nascent mesoderm	5501
Gastrulation	Ga_M29	Neural crest	721
Gastrulation	Ga_M30	Notochord	952
