system,celltype_new,n_cells,median_collection_day,frac_before_E9,pct_before_E9
Blood,Activated T cells,1304,18.5,0.0,0.0
Blood,Adipose tissue macrophages,2295,18.0,0.0,0.0
Blood,B cell progenitors,1091,16.0,0.0,0.0
Blood,B cells,19810,17.75,0.0,0.0
Blood,Border-associated macrophages,44202,15.25,2.2623410705397947e-05,0.0022623410705397947
Blood,Border-associated macrophages (Ms4a8a+),1739,17.75,0.0034502587694077054,0.3450258769407705
Blood,Conventional dendritic cells,2711,16.5,0.0,0.0
Blood,Definitive early erythroblasts (CD36-),801843,15.5,6.2356346566597205e-06,0.0006235634656659721
Blood,Definitive erythroblasts (CD36+),75904,16.0,0.0,0.0
Blood,Granulocytes,3000,15.75,0.0,0.0
Blood,Hematopoietic stem cells (Cd34+),33790,14.25,0.0002071618822136727,0.020716188221367268
Blood,Hematopoietic stem cells (Mpo+),16073,16.0,0.0,0.0
Blood,Kupffer cells,20086,16.25,0.0,0.0
Blood,Mast cells,13724,16.5,0.0,0.0
Blood,Megakaryocyte-erythroid progenitors,11684,13.5,0.0005135227661759672,0.05135227661759672
Blood,Megakaryocytes,12849,13.0,0.006926609074636159,0.6926609074636159
Blood,Microglia,4814,14.75,0.0,0.0
Blood,Monocytes,19886,16.25,5.0286633812732576e-05,0.005028663381273258
Blood,Monocytic myeloid-derived suppressor cells,15537,17.0,0.0,0.0
Blood,Natural killer cells,1441,17.0,0.0013879250520471894,0.13879250520471895
Blood,Osteoclasts,2236,16.5,0.0,0.0
Blood,PMN myeloid-derived suppressor cells,7503,18.0,0.0,0.0
Blood,Plasmacytoid dendritic cells,709,16.25,0.0,0.0
Blood,Primitive erythroid cells,108609,10.25,0.06884328186430222,6.884328186430222
Blood,Regulatory T cells,4961,17.0,0.0,0.0
Blood,T cells,22941,18.25,0.0,0.0
Blood,T-NK progenitors,1083,14.75,0.0009233610341643582,0.09233610341643582
Brain_spinal_cord,Anterior floor plate,16272,10.5,0.058321042281219274,5.832104228121928
Brain_spinal_cord,Anterior roof plate,16098,9.75,0.10131693378059387,10.131693378059387
Brain_spinal_cord,Astrocytes,54953,16.25,0.0,0.0
Brain_spinal_cord,Cajal-Retzius cells,69992,13.5,0.0,0.0
Brain_spinal_cord,Cerebellar Purkinje cells,22233,13.5,0.0,0.0
Brain_spinal_cord,Cerebellum-related cells,4362,16.5,0.0,0.0
Brain_spinal_cord,Choroid plexus,7519,14.0,0.0,0.0
Brain_spinal_cord,Committed oligodendrocyte precursors,517,18.25,0.0,0.0
Brain_spinal_cord,Cortical Interneurons (Prox1+),2868,17.0,0.0,0.0
Brain_spinal_cord,Cranial motor neurons,21340,10.75,0.007450796626054358,0.7450796626054358
Brain_spinal_cord,Deep-layer neurons,173279,15.25,0.0,0.0
Brain_spinal_cord,Di/mesencephalon GABAergic neurons,15589,12.0,0.0,0.0
Brain_spinal_cord,Di/mesencephalon glutamatergic neurons,30999,12.0,9.677731539727088e-05,0.009677731539727088
Brain_spinal_cord,Diencephalon,77607,10.5,0.04460937802002397,4.460937802002396
Brain_spinal_cord,Dorsal telencephalon,29602,11.25,0.01729612863995676,1.7296128639956758
Brain_spinal_cord,Ependymal cells,2876,17.0,0.0,0.0
Brain_spinal_cord,Floorplate and p3 domain,44983,9.75,0.08776648956272369,8.77664895627237
Brain_spinal_cord,GABAergic cortical interneurons,396663,15.0,0.0,0.0
Brain_spinal_cord,GABAergic neurons (after E13.0),222705,15.0,0.0,0.0
Brain_spinal_cord,Glutamatergic neurons (after E13.0),399589,15.0,0.0,0.0
Brain_spinal_cord,Hindbrain,197031,10.0,0.0898183534570702,8.98183534570702
Brain_spinal_cord,Hypothalamic Sim1 neurons,19592,12.0,0.0007145773785218457,0.07145773785218457
Brain_spinal_cord,Hypothalamus,53292,10.5,0.02585753959318472,2.5857539593184717
Brain_spinal_cord,Hypothalamus (Sim1+),14611,10.0,0.029019232085415098,2.90192320854151
Brain_spinal_cord,Intermediate neuronal progenitors,39765,14.0,0.0,0.0
Brain_spinal_cord,Midbrain,144922,11.25,0.02393011413035978,2.3930114130359783
Brain_spinal_cord,Midbrain dopaminergic neurons,5495,12.0,0.0,0.0
Brain_spinal_cord,Midbrain-hindbrain boundary,66069,9.75,0.2211475881275636,22.11475881275636
Brain_spinal_cord,Multiciliated ependymal cells,4597,17.0,0.0,0.0
Brain_spinal_cord,NMPs and spinal cord progenitors,53726,9.25,0.39593492908461453,39.59349290846145
Brain_spinal_cord,Neural progenitor cells (Neurod1+),23221,11.0,0.003402092933120882,0.3402092933120882
Brain_spinal_cord,Neural progenitor cells (Ror1+),12210,17.5,0.0,0.0
Brain_spinal_cord,Neurons (Slc17a8+),1955,12.25,0.0,0.0
Brain_spinal_cord,Oligodendrocyte progenitor cells,11190,17.5,0.0,0.0
Brain_spinal_cord,Posterior roof plate,11618,9.75,0.2239628163195042,22.396281631950423
Brain_spinal_cord,Precerebellar neurons,1286,12.25,0.0,0.0
Brain_spinal_cord,Spinal V0 interneurons,9397,11.25,0.0,0.0
Brain_spinal_cord,Spinal V1 interneurons,31325,11.25,0.000446927374301676,0.0446927374301676
Brain_spinal_cord,Spinal V2a interneurons,11065,11.5,0.0002711251694532309,0.02711251694532309
Brain_spinal_cord,Spinal V2b interneurons,8575,11.5,0.0,0.0
Brain_spinal_cord,Spinal V3 interneurons,4440,11.5,0.0,0.0
Brain_spinal_cord,Spinal cord dorsal progenitors (after E13.0),8315,13.25,0.0,0.0
Brain_spinal_cord,Spinal cord motor neurons,31656,10.5,0.0010108668182966893,0.10108668182966893
Brain_spinal_cord,Spinal cord ventral progenitors (after E13.0),2020,13.25,0.0,0.0
Brain_spinal_cord,Spinal cord/r7/r8,395472,10.0,0.06670004450378282,6.670004450378282
Brain_spinal_cord,Spinal dI1 interneurons,35714,11.5,0.0,0.0
Brain_spinal_cord,Spinal dI2 interneurons,21843,11.25,0.00032046880007325,0.032046880007325
Brain_spinal_cord,Spinal dI3 interneurons,5430,11.75,0.0,0.0
Brain_spinal_cord,Spinal dI4 interneurons,38632,12.0,0.0,0.0
Brain_spinal_cord,Spinal dI5 interneurons,39157,11.75,0.0,0.0
Brain_spinal_cord,Spinal dI6 interneurons,10964,11.5,0.0,0.0
Brain_spinal_cord,Striatal projection neurons,6235,10.0,0.013151563753007217,1.3151563753007216
Brain_spinal_cord,Subplate neurons,36014,17.75,0.0,0.0
Brain_spinal_cord,Telencephalon,423466,12.5,0.00697576664950669,0.6975766649506691
Brain_spinal_cord,Thalamic neuronal precursors,60233,14.333,0.0,0.0
Brain_spinal_cord,Upper-layer neurons,98025,17.5,0.0,0.0
Endothelium,Arterial endothelial cells,23467,10.0,0.09681680657945199,9.681680657945199
Endothelium,Brain capillary endothelial cells,11681,13.0,8.56091088091773e-05,0.008560910880917729
Endothelium,Brain pericytes,1690,16.0,0.0,0.0
Endothelium,Endocardial cells,12239,10.0,0.05278209004003595,5.278209004003595
Endothelium,Endothelium,89566,10.0,0.05556796105665096,5.5567961056650965
Endothelium,Glomerular endothelial cells,10480,16.75,0.0,0.0
Endothelium,Hematoendothelial progenitors,9693,9.0,0.5868152274837511,58.681522748375116
Endothelium,Liver sinusoidal endothelial cells,18639,16.25,0.0,0.0
Endothelium,Lymphatic vessel endothelial cells,10346,16.75,0.0,0.0
Endothelium,Microvascular endothelial cells,2932,18.0,0.00034106412005457026,0.034106412005457026
Endothelium,Pericytes,11742,14.25,0.0042582183614375746,0.42582183614375746
Endothelium,Venous and capillary endothelial cells,29887,17.5,0.0,0.0
Epithelial_cells,Amniotic ectoderm,11509,9.75,0.21643930836736466,21.643930836736466
Epithelial_cells,Apical ectodermal ridge,6330,10.25,0.0001579778830963665,0.01579778830963665
Epithelial_cells,Basal keratinocytes,13524,16.5,0.0,0.0
Epithelial_cells,Bladder urothelial cells,547,17.0,0.0,0.0
Epithelial_cells,Branchial arch epithelium,30699,14.0,6.51487019121144e-05,0.006514870191211441
Epithelial_cells,Cochlear hair cells,260,17.0,0.0,0.0
Epithelial_cells,Conjunctival goblet cells,569,17.0,0.0,0.0
Epithelial_cells,Corneal epithelial cells,894,16.75,0.0,0.0
Epithelial_cells,Dental epithelial cells,4351,16.75,0.0,0.0
Epithelial_cells,Granular keratinocytes,34770,15.0,0.0,0.0
